"id" "Label" "mouseID" "treatmentID" "Exercise" "Weight" "metabolite" "area"
"160711-10" "plasmaD35" "15-02-M22" "EX_ER" "EX" "ER" "Pyruvate" -1.35526410320585
"160711-101" "tumor" "15-02-M18" "EX_AL" "EX" "AL" "Pyruvate" -0.800333616815104
"160711-102" "plasmaD7" "15-02-M1" "SED_AL" "SED" "AL" "Pyruvate" -0.579847796310356
"160711-11" "plasmaD35" "15-02-M10" "SED_ER" "SED" "ER" "Pyruvate" -1.42526452140255
"160711-12" "plasmaD35" "15-02-M11" "SED_ER" "SED" "ER" "Pyruvate" -1.18354577666938
"160711-13" "plasmaD35" "15-02-M20" "EX_AL" "EX" "AL" "Pyruvate" 0.893182628898501
"160711-14" "plasmaD35" "15-02-M3" "SED_AL" "SED" "AL" "Pyruvate" -0.486781059514271
"160711-15" "plasmaD7" "15-02-M2" "SED_AL" "SED" "AL" "Pyruvate" -1.63882484367873
"160711-16" "plasmaD35" "15-02-M24" "EX_ER" "EX" "ER" "Pyruvate" 0.704437477481081
"160711-17" "tumor" "15-02-M16" "EX_AL" "EX" "AL" "Pyruvate" -2.6950372832638
"160711-18" "plasmaD7" "15-02-M26" "EX_ER" "EX" "ER" "Pyruvate" 0.528136417887789
"160711-19" "plasmaD21" "15-02-M12" "SED_ER" "SED" "ER" "Pyruvate" 0.528136417887789
"160711-20" "tumor" "15-02-M23" "EX_ER" "EX" "ER" "Pyruvate" -1.73002417049306
"160711-21" "plasmaD35" "15-02-M21" "EX_ER" "EX" "ER" "Pyruvate" -1.18354577666938
"160711-22" "plasmaD35" "15-02-M27" "EX_ER" "EX" "ER" "Pyruvate" 0.528136417887789
"160711-23" "plasmaD21" "15-02-M18" "EX_AL" "EX" "AL" "Pyruvate" 0.704437477481081
"160711-24" "plasmaD7" "15-02-M24" "EX_ER" "EX" "ER" "Pyruvate" 0.354327891377439
"160711-25" "plasmaD7" "15-02-M15" "EX_AL" "EX" "AL" "Pyruvate" 0.614029060369011
"160711-26" "tumor" "15-02-M26" "EX_ER" "EX" "ER" "Pyruvate" -2.60720475319433
"160711-27" "plasmaD35" "15-02-M26" "EX_ER" "EX" "ER" "Pyruvate" -1.42526452140255
"160711-28" "plasmaD35" "15-02-M5" "SED_AL" "SED" "AL" "Pyruvate" 0.354327891377439
"160711-29" "plasmaD7" "15-02-M22" "EX_ER" "EX" "ER" "Pyruvate" 0.614029060369011
"160711-32" "tumor" "15-02-M10" "SED_ER" "SED" "ER" "Pyruvate" -1.7997285194078
"160711-33" "tumor" "15-02-M8" "SED_ER" "SED" "ER" "Pyruvate" -2.43502948756315
"160711-34" "tumor" "15-02-M2" "SED_AL" "SED" "AL" "Pyruvate" -2.43502948756315
"160711-35" "plasmaD21" "15-02-M11" "SED_ER" "SED" "ER" "Pyruvate" 0.790565934897941
"160711-36" "tumor" "15-02-M12" "SED_ER" "SED" "ER" "Pyruvate" -1.56484398203785
