"id","Label","2-3-Dihydroxybenzoic-acid","2-Aminooctanoic-acid","2-Isopropylmalic-acid","2-Keto-D-gluconate","2-Keto-isovalerate","2-Oxo-4-methylthiobutanoate","2-Oxobutanoate","3-Hydroxybutyric-acid","3-Methylphenylacetic-acid","3-Phospho-serine","3-Phosphoglycerate","4-Phosphopantothenate","4-Pyridoxic-acid","5-Methyl-THF","6-Phospho-D-gluconate","Acetoacetate","Acetyl-aspartate","Acetyl-glycine","Acetyllysine","Acetylphosphate","Aconitate","ADP","ADP-D-glucose","Alanine-Sacrosine","Allantoate","Alpha-ketoglutarate","AMP","anthine","anthosine","anthosine-5-phosphate","Anthranilate","anthurenic-acid","Arginine","Ascorbic-acid","Asparagine","CDP","CDP-choline","CDP-ethanolamine","Chlorpropamide","Citraconic-acid","Citrate-isocitrate","Citrulline","CMP","Cyclic-AMP","Cystathionine","Cysteine","D-Sedoheptulose-1-7-phosphate","dAMP","dCMP","Deoxyribose-phosphate","Deoxyuridine","Dihydroxy-acetone-phosphate","dTMP","Erythrose-4-phosphate","FAD","FMN","Fructose-1-6-bisphosphate","Fructose-6-phosphate","Fumarate","GDP","Glucarate","Glucono-_-lactone","Glucosamine-1-6-phosphate","Glucose","Glucose-1-6-phosphate","Glutamine","Glutathione","Glutathione-disulfide","Glyceraldehdye-3-phosphate","Glycerate","GMP","Histidine","Homocysteine-Methylcysteine","Hydroxyisocaproic-acid","Hydroxyphenylacetic-acid","Hydroxyphenylpyruvate","Hydroxyproline-Aminolevulinate","IMP","Indole-3-carboxylic-acid","Inosine","Ketoleucine","Kynurenic-acid","Lactate","Leu-Asp--LD-","Leucine-Isoleucine","Lysine","Malate","Maleic-acid","Methionine","N-Acetyl-glucosamine-1-6-phosphate","N-Acetyl-glutamate","N-Acetyl-glutamine","N-Acetyl-L-alanine","N-Acetyl-L-ornithine","N-Carbamoyl-L-aspartate","Nicotinate","Octoluse-bisphosphate","Ornithine","Pantetheine","Pantothenate","Phenylalanine","Phenyllactic-acid","Phenylpyruvate","Phosphoenolpyruvate","Pipecolic-Acid","Pro-Asp--PD-","Proline","Pyroglutamic-acid","Pyruvate","Quinolinate","Riboflavin","Ribose","Ribose-5-phosphate","Ribulose-5-phosphate","S-Adenosyl-L-homocysteine","S-Methyl-5--thioadenosine","Sedoheptoluse-bisphosphate","Serine","sn-Glycerol-3-phosphate","Succinate-Methylmalonic-acid","Taurine","Threonine-Homoserine","Trehalose-6-Phosphate","Trehalose-Sucrose","Tryptophan","UDP","UDP-D-glucose","UDP-D-glucuronate","UDP-N-acetyl-glucosamine","UMP","Uracil","Uric-acid","Uridine","UTP","Val-Asp--VD-","Valine-5-Aminopentanoic-acid"
"160711-10","plasma",3846273,12513726,6930234,12136778,68546296,309174,10646081,7536350,1374511,4172,358.5,358.5,18407202,358.5,6256,16739998,48096840,43599324,814085,11487,290216320,358.5,358.5,44723732,1137891,1314026880,5487,7081122,1130736,358.5,3283778,741741,4575370,133146,18020530,358.5,358.5,7415,439773952,17386034,9802930,72866832,4190,80844,65455,14437,145187,358.5,3140,110847,2070524,57112,5046,13727,358.5,5608,358.5,215636,86813680,358.5,6388,372286,358.5,1221374080,2082273,1198215808,301944,358.5,19571,42946288,358.5,8118330,283141,46394588,1469518,14401286,1856574,358.5,1010371,18333,32820720,4490245,12073554944,12087,67095456,7608862,421958112,3183850,61628532,1907182,25872206,3708,16099454,747093,12811,18497304,358.5,396064,358.5,212884384,160795120,9041785,17784882,77895,1377621,8518,44374428,351836480,14810392,95296,14702,26836648,53946,7956927,358.5,358.5,358.5,69705168,73558344,2270354176,1656165248,213077136,358.5,2140351,240084784,358.5,13901,358.5,24512,173271,2803,643362688,29668602,358.5,3130,145046064
"160711-101","tumor",572682,16273515,3711101,3476448,79443744,370354,5753875,5738488,1726565,281451,2609617,250106,3004426,358.5,449908,6434970,23798022,9442140,410909,118863,48682112,7881,52403,16129055,83395,31046152,49889,600645248,3993071,358.5,3213060,16546,2208472,108356,15054210,9337,22071,1641460,116284552,106125232,278876576,2553324,280286,142521,199738,28224,18812502,82015,917826,3035180,1684520,259027872,21746,395555,23432,27839,27899340,29830348,127917640,358.5,51695,270327,628490,9525784,94924472,28132272,65253820,7090399,902027,13006287,213482,10868031,131252,8515659,2231843,351933,2688718,358.5,103663,7004,31179270,164000,5184356864,161275,94822200,7880326,698014272,172616080,112187176,49158212,9233566,3441,70098032,105092,1719708,169605312,156208,3790974,366455,107380304,255000720,3762111,1033370,499679,819560,580608,62044924,3036091,25097476,1001703,24458,582500,1594990,83995304,105311,358.5,4314128,28879248,148599408,425158560,906847872,41055768,358.5,128476,79488408,358.5,3799068,1322617,1311991,3887,6466,1110640,6118861,358.5,353341,130345408
"160711-102","plasma",114044,11104694,4110049,3053420,33592364,155786,2993062,5838394,718825,8564,287046,358.5,4453421,358.5,6176,18423792,7675535,26945136,198074,4162,40280808,358.5,358.5,7892588,323085,188919008,1296302,86025064,3205944,358.5,2876830,51351,987396,13770,4790048,358.5,358.5,4094,91677728,105459392,283619296,25750860,7594,132746,221671,37228,404385,358.5,358.5,480084,219340,7103938,358.5,19093,358.5,358.5,248226,1125256,9842920,358.5,51913,125807,358.5,281010880,1334523,324708960,95408,30279,108522,12261100,11632,1520608,81898,11412489,1242231,1018326,834855,358.5,257099,4148,29619448,586226,4327316480,8591,27390004,2385217,63124820,22067146,23030630,234766,6178644,8435,3606063,140598,148466,18204830,358.5,328403,2955,20024016,32796022,2269216,1523817,455943,1440346,358.5,12847404,1350920,9876391,549658,4455,7608502,4700,7625463,3727,8013,358.5,14933683,77877560,478007936,393369856,43383572,358.5,611421,106812328,358.5,358.5,358.5,11224,53618,14034,146755,6129164,358.5,2712,45377624
"160711-11","plasma",3349092,17180788,5924546,9805371,41267580,686412,5618612,8198486,1205541,3531,4329,358.5,13863668,358.5,4660,18420442,21226100,48924496,939948,4767,87978376,358.5,358.5,30816538,482103,596566080,5322,211256016,3121794,358.5,3046931,950368,2105774,132851,14900359,358.5,358.5,358.5,457321024,113549448,5153902,72164128,358.5,60796,671571,358.5,358.5,358.5,358.5,20314,2620750,174392,358.5,6216,358.5,358.5,358.5,39980,1812449,358.5,5543,869822,358.5,1024015936,168613,868289664,475085,358.5,6646,39572340,358.5,8069656,320096,42739436,1694410,9940805,4406814,358.5,1103409,8339,33365190,3195064,6578067968,20780,73822360,8643399,874581,1601817,78400112,414519,14127717,8327,15234693,327779,5631,20899260,358.5,630840,358.5,76011696,173497408,311936,9945702,13270,2763235,3930,35308292,1407072,8691014,734772,358.5,23339934,178408,464919,2261,358.5,358.5,54817068,49301292,974636864,1177293056,196206480,358.5,1705187,222360048,358.5,358.5,358.5,358.5,7425,3229,343968864,31176438,358.5,6598,143302656
"160711-12","plasma",3023144,9650731,7454927,13391322,27823140,259516,15683455,1358615,1219882,8060,358.5,358.5,12729037,358.5,196389,9523470,33284620,46864148,879101,3861,205228576,358.5,358.5,35046832,775008,798257792,358.5,51526236,3613655,358.5,2752022,725826,5812274,79760,16421506,358.5,358.5,358.5,446199104,9924739,7706162,71449888,6776,57243,299776,7493,152828,358.5,3528,34614,2232012,242719,5568,22226,358.5,358.5,358.5,194395,44231844,358.5,3840,1460075,2564,1093172736,2181026,870298752,351593,358.5,10412,39889696,358.5,8061270,351583,44918936,2486048,6790816,2340851,358.5,1290228,15464,34787612,3673235,8593088512,7985,81277408,9954965,337299,868653,88987600,2302540,15936548,2768,13702969,633341,13074,21969670,358.5,280588,358.5,119626320,164342992,8161370,8768898,76077,2591274,3290,44331516,464871616,12747907,145250,358.5,23422376,142321,3441764,3356,358.5,358.5,59991468,164503664,1328039040,1412256896,221380208,358.5,6388730,242786048,358.5,358.5,358.5,358.5,28301,2569,413207072,31905904,4096,8722,134840592
"160711-13","plasma",3508148,14180294,6312084,7221597,30228130,2542258,10057061,7073414,615104,5604,358.5,358.5,15143349,358.5,6930,10144942,27925478,38403040,801666,5978,113523616,358.5,358.5,38036180,712106,637308736,5196,2792936,990552,358.5,3091628,499758,4449775,179986,14687002,358.5,358.5,3295,447784320,113521800,9124919,48792692,16393,88672,56118,24388,180219,358.5,2966,330578,1170981,147227,358.5,6331,358.5,358.5,358.5,259095,2746783,358.5,4636,876852,358.5,849088640,1704231,816618432,632519,358.5,5758,33207682,358.5,5270970,161836,28901116,2959011,12045674,1268781,358.5,696067,33849,33980588,3203698,10011902976,4282,64432484,7817500,417703,2578449,79904248,1984398,17296358,5850,13869261,527219,5896,32958144,358.5,216543,2913,90937136,135146864,7120064,13441215,33373,1755858,8133,35176800,5719646,65063408,667259,358.5,18141950,44786,10477934,84302,4433,358.5,45277068,99451936,2275722240,1816129408,179012592,358.5,3766204,210300880,358.5,6119,358.5,9252,32626,2805,2845945,19281048,358.5,4986,129539472
"160711-14","plasma",2653434,27038160,6046352,9243288,32333654,929123,5690186,6096658,2057559,4053,358.5,358.5,11844872,358.5,5474,16944728,25458742,42113468,1003779,3450,109689976,358.5,358.5,31965862,1766707,564406272,4667,2086484,686468,358.5,3051005,299479,3814574,216720,15517961,358.5,358.5,358.5,437590176,110650840,8500712,70320160,3018,111347,350557,16708,358.5,358.5,358.5,8170,1835444,468872,358.5,20397,358.5,358.5,358.5,73713,36195092,358.5,4411,1159596,358.5,976553600,381158,784807296,826410,358.5,9769,38645304,358.5,6276835,306458,26531068,1660647,18892358,2674860,358.5,594335,17869,33085082,1841381,6372692480,9605,66489988,8708209,463668,6914617,72749296,1435747,18711868,14741,15593307,445305,4389,33997832,358.5,343997,2787,85428992,141304544,6076494,11596159,31069,2493228,9278,31101368,1520094,23373694,260713,358.5,20318348,126840,1616832,41690,4875,358.5,41869280,64078996,1074180864,1530414464,174189776,358.5,1331671,237271616,358.5,358.5,358.5,358.5,4154,7885,116923456,21948834,358.5,8836,132242824
"160711-15","plasma",2364169,21486594,4162036,5609526,56999032,109571,7247861,6501200,1275176,4561,9259,358.5,8563434,358.5,4789,19319438,14763221,38134072,390446,17084,78180864,358.5,358.5,12057917,139661,248191632,358.5,109206400,4388881,358.5,3263392,31501,2640989,218578,5721032,358.5,358.5,358.5,446703392,112650736,5220790,35188652,358.5,52607,233969,17525,18361,358.5,358.5,464935,312564,205219,4771,31822,358.5,358.5,358.5,163552,18484362,358.5,4878,973731,1911,371942432,364167,468021568,456430,358.5,4050,17739996,358.5,5088116,98336,15894562,2929048,1939085,1574613,358.5,421811,5649,32942584,664513,5678807040,16637,59000596,6829547,216305,1677389,40167080,974196,8343288,6582,5584166,284142,9567,47475460,358.5,265680,358.5,33714992,81997608,3491924,2324418,28457,1901124,2867,16416862,2313883,4994201,139162,358.5,9554783,94471,4356177,3191,358.5,358.5,20033094,143530672,724056192,486325056,68609144,358.5,417133,162890000,358.5,4665,358.5,358.5,3532,4780,98149,11075063,358.5,3648,97725720
"160711-16","plasma",2845790,15396453,3080702,11644530,47511792,231229,16039393,8659664,1232054,9013,10327,358.5,14814504,358.5,5379,7193706,34614000,43096280,687480,3561,249109808,358.5,358.5,24899938,1108515,1037853248,358.5,9541969,1514184,358.5,2485526,473661,3224150,164349,9863309,358.5,358.5,18686,434429632,114766016,9460363,43771724,117318,167993,67353,4895,454800,358.5,2958,39260,1177065,1143036,358.5,7289,358.5,358.5,358.5,202078,87472240,358.5,5458,721113,358.5,939552704,3612460,788641344,741222,358.5,26838,39540644,358.5,5515465,205956,31856842,2568381,9663373,1406775,358.5,512525,12629,32173776,2670526,9176437760,6780,46974952,5640838,268026144,71257568,37978192,2280642,18205384,4035,12655784,1137122,12427,34547800,358.5,77849,358.5,112983920,113830512,7329612,11517162,68032,1349142,5073,24432512,1966032,75737760,85041,358.5,20125036,206459,14798302,30323,5428,358.5,32643666,117258680,1896160512,1639342336,113557096,358.5,2897014,184450784,358.5,33489,358.5,88220,38656,2271,342417920,24717528,358.5,3366,90020472
"160711-17","tumor",1879446,18100202,3324677,12170502,12145945,357182,2497023,10590094,628985,100991,18932460,888035,5043850,6102,928558,8516978,189440272,36425508,2340300,1941311,235812528,893185,2184676,86223344,945917,72217672,629198,1993867648,6622883,224079,1665561,401013,7709721,800128128,39321696,10382,611324,6955175,386660672,102414856,785586880,16697208,1433306,639766,495971,2339630,143075376,4627289,18820490,10512756,2249394,64322924,3167424,811415,148615,2025516,90488272,42353000,498001536,358.5,131393,2714753,305861,35234864,255472208,168291440,298715392,26958642,270746,30856142,6224,52929896,840953,24746464,4534588,677078,11214701,5170,370955,6062,29662602,666669,11210315776,1328119,413699680,32398844,5057231360,1222602880,287468000,257035328,48119984,358.5,349427648,301447,48610616,155315840,240575,6691205,3668941,593552576,903900736,7453286,2333764,3765771,4819142,2472890,142696992,14702680,13054821,1031633,583984,1540205,4280334,43431704,616345,482526,7786812,64011156,818674816,855910400,6217357312,188314864,5887,153595,117604656,534729,57393188,15480164,22993518,296383,56365,938216,19205630,358.5,1972751,364178720
