"Metabolite"	"KEGG"	"Class"	"Subclass_1"	"Subclass_2"	"Subclass_3"	"Subclass_4"	"id"	"area"	"Exercise"	"Weight"	"treatmentID"	"tissue.type"	"Time"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M22_plasmaD35"	-1.35526410320585	"EX"	"ER"	"EX_ER"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M18_tumor"	-0.800333616815104	"EX"	"AL"	"EX_AL"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M1_plasmaD7"	-0.579847796310356	"SED"	"AL"	"SED_AL"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M10_plasmaD35"	-1.42526452140255	"SED"	"ER"	"SED_ER"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M11_plasmaD35"	-1.18354577666938	"SED"	"ER"	"SED_ER"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M20_plasmaD35"	0.893182628898501	"EX"	"AL"	"EX_AL"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M3_plasmaD35"	-0.486781059514271	"SED"	"AL"	"SED_AL"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M2_plasmaD7"	-1.63882484367873	"SED"	"AL"	"SED_AL"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M24_plasmaD35"	0.704437477481081	"EX"	"ER"	"EX_ER"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M16_tumor"	-2.6950372832638	"EX"	"AL"	"EX_AL"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M26_plasmaD7"	0.528136417887789	"EX"	"ER"	"EX_ER"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M12_plasmaD21"	0.528136417887789	"SED"	"ER"	"SED_ER"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M23_tumor"	-1.73002417049306	"EX"	"ER"	"EX_ER"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M21_plasmaD35"	-1.18354577666938	"EX"	"ER"	"EX_ER"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M27_plasmaD35"	0.528136417887789	"EX"	"ER"	"EX_ER"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M18_plasmaD21"	0.704437477481081	"EX"	"AL"	"EX_AL"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M24_plasmaD7"	0.354327891377439	"EX"	"ER"	"EX_ER"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M15_plasmaD7"	0.614029060369011	"EX"	"AL"	"EX_AL"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M26_tumor"	-2.60720475319433	"EX"	"ER"	"EX_ER"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M26_plasmaD35"	-1.42526452140255	"EX"	"ER"	"EX_ER"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M5_plasmaD35"	0.354327891377439	"SED"	"AL"	"SED_AL"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M22_plasmaD7"	0.614029060369011	"EX"	"ER"	"EX_ER"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M10_tumor"	-1.7997285194078	"SED"	"ER"	"SED_ER"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M8_tumor"	-2.43502948756315	"SED"	"ER"	"SED_ER"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M2_tumor"	-2.43502948756315	"SED"	"AL"	"SED_AL"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M11_plasmaD21"	0.790565934897941	"SED"	"ER"	"SED_ER"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M12_tumor"	-1.56484398203785	"SED"	"ER"	"SED_ER"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M13_plasmaD21"	0.893182628898501	"SED"	"ER"	"SED_ER"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M15_plasmaD35"	0.790565934897941	"EX"	"AL"	"EX_AL"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M4_plasmaD21"	0.996985550403562	"SED"	"AL"	"SED_AL"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M4_plasmaD7"	0.996985550403562	"SED"	"AL"	"SED_AL"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M7_plasmaD35"	0.614029060369011	"SED"	"ER"	"SED_ER"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M25_plasmaD35"	0.427567170342082	"EX"	"ER"	"EX_ER"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M25_plasmaD21"	0.790565934897941	"EX"	"ER"	"EX_ER"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M5_plasmaD7"	0.893182628898501	"SED"	"AL"	"SED_AL"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M24_tumor"	-2.33242995384393	"EX"	"ER"	"EX_ER"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M7_tumor"	-1.7997285194078	"SED"	"ER"	"SED_ER"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M8_plasmaD35"	0.893182628898501	"SED"	"ER"	"SED_ER"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M6_tumor"	-1.27674872829878	"SED"	"AL"	"SED_AL"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M16_plasmaD21"	0.614029060369011	"EX"	"AL"	"EX_AL"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M21_tumor"	-2.33242995384393	"EX"	"ER"	"EX_ER"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M7_plasmaD7"	0.893182628898501	"SED"	"ER"	"SED_ER"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M26_plasmaD21"	0.704437477481081	"EX"	"ER"	"EX_ER"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M27_plasmaD7"	0.528136417887789	"EX"	"ER"	"EX_ER"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M23_plasmaD7"	0.354327891377439	"EX"	"ER"	"EX_ER"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M3_tumor"	-2.23464098900444	"SED"	"AL"	"SED_AL"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M4_plasmaD35"	0.893182628898501	"SED"	"AL"	"SED_AL"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M8_plasmaD7"	0.893182628898501	"SED"	"ER"	"SED_ER"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M3_plasmaD21"	0.790565934897941	"SED"	"AL"	"SED_AL"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M6_plasmaD35"	-0.286006325022537	"SED"	"AL"	"SED_AL"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M18_plasmaD7"	1.31828208101775	"EX"	"AL"	"EX_AL"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M25_plasmaD7"	0.996985550403562	"EX"	"ER"	"EX_ER"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M2_plasmaD35"	0.790565934897941	"SED"	"AL"	"SED_AL"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M16_plasmaD7"	0.427567170342082	"EX"	"AL"	"EX_AL"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M16_plasmaD35"	0.614029060369011	"EX"	"AL"	"EX_AL"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M10_plasmaD21"	1.10715158770592	"SED"	"ER"	"SED_ER"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M6_plasmaD21"	0.893182628898501	"SED"	"AL"	"SED_AL"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M12_plasmaD35"	1.2200092574379	"SED"	"ER"	"SED_ER"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M18_plasmaD35"	0.893182628898501	"EX"	"AL"	"EX_AL"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M10_plasmaD7"	0.790565934897941	"SED"	"ER"	"SED_ER"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M5_plasmaD21"	0.893182628898501	"SED"	"AL"	"SED_AL"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M7_plasmaD21"	0.893182628898501	"SED"	"ER"	"SED_ER"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M21_plasmaD21"	0.790565934897941	"EX"	"ER"	"EX_ER"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M1_plasmaD35"	0.996985550403562	"SED"	"AL"	"SED_AL"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M19_plasmaD7"	0.704437477481081	"EX"	"AL"	"EX_AL"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M11_tumor"	-1.87720610390082	"SED"	"ER"	"SED_ER"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M12_plasmaD7"	0.790565934897941	"SED"	"ER"	"SED_ER"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M20_tumor"	-2.8035774461103	"EX"	"AL"	"EX_AL"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M4_tumor"	-0.486781059514271	"SED"	"AL"	"SED_AL"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M22_tumor"	-2.06118986972238	"EX"	"ER"	"EX_ER"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M5_tumor"	-2.6950372832638	"SED"	"AL"	"SED_AL"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M13_tumor"	-1.63882484367873	"SED"	"ER"	"SED_ER"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M15_plasmaD21"	-0.389597323129928	"EX"	"AL"	"EX_AL"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M19_plasmaD35"	1.10715158770592	"EX"	"AL"	"EX_AL"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M24_plasmaD21"	0.790565934897941	"EX"	"ER"	"EX_ER"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M23_plasmaD35"	0.790565934897941	"EX"	"ER"	"EX_ER"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M19_tumor"	1.2200092574379	"EX"	"AL"	"EX_AL"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M21_plasmaD7"	3.03629664030505	"EX"	"ER"	"EX_ER"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M1_tumor"	1.98540838384514	"SED"	"AL"	"SED_AL"	"tumor"	"tumor"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M20_plasmaD7"	1.44941136570817	"EX"	"AL"	"EX_AL"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M13_plasmaD35"	-1.01138140899949	"SED"	"ER"	"SED_ER"	"plasma"	"D35"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M6_plasmaD7"	0.266583000039931	"SED"	"AL"	"SED_AL"	"plasma"	"D7"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M1_plasmaD21"	1.31828208101775	"SED"	"AL"	"SED_AL"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M2_plasmaD21"	1.31828208101775	"SED"	"AL"	"SED_AL"	"plasma"	"D21"
"Pyruvic acid"	"C00022"	"Organic acids"	"Carboxylic acids"	"2-Oxocarboxylic acids"	"none"	"none"	"S15-02-M23_plasmaD21"	1.58711281707902	"EX"	"ER"	"EX_ER"	"plasma"	"D21"
"2-Ketobutyric acid"	"C00109"	"Lipids"	"Fatty acyls"	"Fatty Acids and Conjugates"	"Oxo fatty acids"	"none"	"S15-02-M22_plasmaD35"	0.46242764289808	"EX"	"ER"	"EX_ER"	"plasma"	"D35"
"2-Ketobutyric acid"	"C00109"	"Lipids"	"Fatty acyls"	"Fatty Acids and Conjugates"	"Oxo fatty acids"	"none"	"S15-02-M18_tumor"	-0.0648949994241101	"EX"	"AL"	"EX_AL"	"tumor"	"tumor"
"2-Ketobutyric acid"	"C00109"	"Lipids"	"Fatty acyls"	"Fatty Acids and Conjugates"	"Oxo fatty acids"	"none"	"S15-02-M1_plasmaD7"	0.11465405724357	"SED"	"AL"	"SED_AL"	"plasma"	"D7"
"2-Ketobutyric acid"	"C00109"	"Lipids"	"Fatty acyls"	"Fatty Acids and Conjugates"	"Oxo fatty acids"	"none"	"S15-02-M10_plasmaD35"	0.293725996723111	"SED"	"ER"	"SED_ER"	"plasma"	"D35"
"2-Ketobutyric acid"	"C00109"	"Lipids"	"Fatty acyls"	"Fatty Acids and Conjugates"	"Oxo fatty acids"	"none"	"S15-02-M11_plasmaD35"	1.22225732010861	"SED"	"ER"	"SED_ER"	"plasma"	"D35"
"2-Ketobutyric acid"	"C00109"	"Lipids"	"Fatty acyls"	"Fatty Acids and Conjugates"	"Oxo fatty acids"	"none"	"S15-02-M20_plasmaD35"	0.75973075602843	"EX"	"AL"	"EX_AL"	"plasma"	"D35"
"2-Ketobutyric acid"	"C00109"	"Lipids"	"Fatty acyls"	"Fatty Acids and Conjugates"	"Oxo fatty acids"	"none"	"S15-02-M3_plasmaD35"	0.019593289627777	"SED"	"AL"	"SED_AL"	"plasma"	"D35"
"2-Ketobutyric acid"	"C00109"	"Lipids"	"Fatty acyls"	"Fatty Acids and Conjugates"	"Oxo fatty acids"	"none"	"S15-02-M2_plasmaD7"	1.12027924157938	"SED"	"AL"	"SED_AL"	"plasma"	"D7"
"2-Ketobutyric acid"	"C00109"	"Lipids"	"Fatty acyls"	"Fatty Acids and Conjugates"	"Oxo fatty acids"	"none"	"S15-02-M24_plasmaD35"	1.12027924157938	"EX"	"ER"	"EX_ER"	"plasma"	"D35"
"2-Ketobutyric acid"	"C00109"	"Lipids"	"Fatty acyls"	"Fatty Acids and Conjugates"	"Oxo fatty acids"	"none"	"S15-02-M16_tumor"	-2.44493988241226	"EX"	"AL"	"EX_AL"	"tumor"	"tumor"
"2-Ketobutyric acid"	"C00109"	"Lipids"	"Fatty acyls"	"Fatty Acids and Conjugates"	"Oxo fatty acids"	"none"	"S15-02-M26_plasmaD7"	0.686337865970382	"EX"	"ER"	"EX_ER"	"plasma"	"D7"
"2-Ketobutyric acid"	"C00109"	"Lipids"	"Fatty acyls"	"Fatty Acids and Conjugates"	"Oxo fatty acids"	"none"	"S15-02-M12_plasmaD21"	-0.372363939748096	"SED"	"ER"	"SED_ER"	"plasma"	"D21"
