"id" "Label" "mouseID" "treatmentID" "Exercise" "Weight" "metabolite" "area"
"160711-10" "plasmaD35" "15-02-M22" "EX_ER" "EX" "ER" "Pyruvate" 14810392
"160711-101" "tumor" "15-02-M18" "EX_AL" "EX" "AL" "Pyruvate" 25097476
"160711-102" "plasmaD7" "15-02-M1" "SED_AL" "SED" "AL" "Pyruvate" 9876391
"160711-11" "plasmaD35" "15-02-M10" "SED_ER" "SED" "ER" "Pyruvate" 8691014
"160711-12" "plasmaD35" "15-02-M11" "SED_ER" "SED" "ER" "Pyruvate" 12747907
"160711-13" "plasmaD35" "15-02-M20" "EX_AL" "EX" "AL" "Pyruvate" 65063408
"160711-14" "plasmaD35" "15-02-M3" "SED_AL" "SED" "AL" "Pyruvate" 23373694
"160711-15" "plasmaD7" "15-02-M2" "SED_AL" "SED" "AL" "Pyruvate" 4994201
"160711-16" "plasmaD35" "15-02-M24" "EX_ER" "EX" "ER" "Pyruvate" 75737760
"160711-17" "tumor" "15-02-M16" "EX_AL" "EX" "AL" "Pyruvate" 13054821
"160711-18" "plasmaD7" "15-02-M26" "EX_ER" "EX" "ER" "Pyruvate" 83478968
"160711-19" "plasmaD21" "15-02-M12" "SED_ER" "SED" "ER" "Pyruvate" 84513024
"160711-20" "tumor" "15-02-M23" "EX_ER" "EX" "ER" "Pyruvate" 17221170
"160711-21" "plasmaD35" "15-02-M21" "EX_ER" "EX" "ER" "Pyruvate" 13696213
"160711-22" "plasmaD35" "15-02-M27" "EX_ER" "EX" "ER" "Pyruvate" 90691520
"160711-23" "plasmaD21" "15-02-M18" "EX_AL" "EX" "AL" "Pyruvate" 61720264
"160711-24" "plasmaD7" "15-02-M24" "EX_ER" "EX" "ER" "Pyruvate" 61377072
"160711-25" "plasmaD7" "15-02-M15" "EX_AL" "EX" "AL" "Pyruvate" 87634792
"160711-26" "tumor" "15-02-M26" "EX_ER" "EX" "ER" "Pyruvate" 21343210
"160711-27" "plasmaD35" "15-02-M26" "EX_ER" "EX" "ER" "Pyruvate" 16140733
"160711-28" "plasmaD35" "15-02-M5" "SED_AL" "SED" "AL" "Pyruvate" 67818352
"160711-29" "plasmaD7" "15-02-M22" "EX_ER" "EX" "ER" "Pyruvate" 26434150
"160711-32" "tumor" "15-02-M10" "SED_ER" "SED" "ER" "Pyruvate" 39581372
"160711-33" "tumor" "15-02-M8" "SED_ER" "SED" "ER" "Pyruvate" 20359666
"160711-34" "tumor" "15-02-M2" "SED_AL" "SED" "AL" "Pyruvate" 21939856
"160711-35" "plasmaD21" "15-02-M11" "SED_ER" "SED" "ER" "Pyruvate" 88567744
"160711-36" "tumor" "15-02-M12" "SED_ER" "SED" "ER" "Pyruvate" 31036878
"160711-37" "plasmaD21" "15-02-M13" "SED_ER" "SED" "ER" "Pyruvate" 81155880
"160711-38" "plasmaD35" "15-02-M15" "EX_AL" "EX" "AL" "Pyruvate" 146739856
"160711-39" "plasmaD21" "15-02-M4" "SED_AL" "SED" "AL" "Pyruvate" 156510160
"160711-40" "plasmaD7" "15-02-M4" "SED_AL" "SED" "AL" "Pyruvate" 152240960
"160711-41" "plasmaD35" "15-02-M7" "SED_ER" "SED" "ER" "Pyruvate" 98801936
"160711-42" "plasmaD35" "15-02-M25" "EX_ER" "EX" "ER" "Pyruvate" 108265832
"160711-43" "plasmaD21" "15-02-M25" "EX_ER" "EX" "ER" "Pyruvate" 91875296
"160711-44" "plasmaD7" "15-02-M5" "SED_AL" "SED" "AL" "Pyruvate" 138552624
"160711-45" "tumor" "15-02-M24" "EX_ER" "EX" "ER" "Pyruvate" 16750742
"160711-46" "tumor" "15-02-M7" "SED_ER" "SED" "ER" "Pyruvate" 36117784
"160711-47" "plasmaD35" "15-02-M8" "SED_ER" "SED" "ER" "Pyruvate" 135408256
"160711-48" "tumor" "15-02-M6" "SED_AL" "SED" "AL" "Pyruvate" 35455224
"160711-49" "plasmaD21" "15-02-M16" "EX_AL" "EX" "AL" "Pyruvate" 68103584
"160711-50" "tumor" "15-02-M21" "EX_ER" "EX" "ER" "Pyruvate" 21154268
"160711-51" "plasmaD7" "15-02-M7" "SED_ER" "SED" "ER" "Pyruvate" 138427632
"160711-52" "plasmaD21" "15-02-M26" "EX_ER" "EX" "ER" "Pyruvate" 85193560
"160711-53" "plasmaD7" "15-02-M27" "EX_ER" "EX" "ER" "Pyruvate" 122093056
"160711-54" "plasmaD7" "15-02-M23" "EX_ER" "EX" "ER" "Pyruvate" 62866512
"160711-55" "tumor" "15-02-M3" "SED_AL" "SED" "AL" "Pyruvate" 23986012
"160711-56" "plasmaD35" "15-02-M4" "SED_AL" "SED" "AL" "Pyruvate" 133297456
"160711-57" "plasmaD7" "15-02-M8" "SED_ER" "SED" "ER" "Pyruvate" 73379344
"160711-58" "plasmaD21" "15-02-M3" "SED_AL" "SED" "AL" "Pyruvate" 113799600
"160711-59" "plasmaD35" "15-02-M6" "SED_AL" "SED" "AL" "Pyruvate" 34523216
"160711-62" "plasmaD7" "15-02-M18" "EX_AL" "EX" "AL" "Pyruvate" 181036832
"160711-63" "plasmaD7" "15-02-M25" "EX_ER" "EX" "ER" "Pyruvate" 125888168
"160711-64" "plasmaD35" "15-02-M2" "SED_AL" "SED" "AL" "Pyruvate" 91542200
"160711-65" "plasmaD7" "15-02-M16" "EX_AL" "EX" "AL" "Pyruvate" 74334608
"160711-66" "plasmaD35" "15-02-M16" "EX_AL" "EX" "AL" "Pyruvate" 96945600
"160711-67" "plasmaD21" "15-02-M10" "SED_ER" "SED" "ER" "Pyruvate" 75219480
"160711-68" "plasmaD21" "15-02-M6" "SED_AL" "SED" "AL" "Pyruvate" 162860064
"160711-69" "plasmaD35" "15-02-M12" "SED_ER" "SED" "ER" "Pyruvate" 111213520
"160711-70" "plasmaD35" "15-02-M18" "EX_AL" "EX" "AL" "Pyruvate" 167671360
"160711-71" "plasmaD7" "15-02-M10" "SED_ER" "SED" "ER" "Pyruvate" 140112592
"160711-72" "plasmaD21" "15-02-M5" "SED_AL" "SED" "AL" "Pyruvate" 116877480
"160711-73" "plasmaD21" "15-02-M7" "SED_ER" "SED" "ER" "Pyruvate" 134746032
"160711-74" "plasmaD21" "15-02-M21" "EX_ER" "EX" "ER" "Pyruvate" 110157616
"160711-75" "plasmaD35" "15-02-M1" "SED_AL" "SED" "AL" "Pyruvate" 179639648
"160711-76" "plasmaD7" "15-02-M19" "EX_AL" "EX" "AL" "Pyruvate" 76658552
"160711-77" "tumor" "15-02-M11" "SED_ER" "SED" "ER" "Pyruvate" 33032684
"160711-78" "plasmaD7" "15-02-M12" "SED_ER" "SED" "ER" "Pyruvate" 127031208
"160711-79" "tumor" "15-02-M20" "EX_AL" "EX" "AL" "Pyruvate" 19689576
"160711-80" "tumor" "15-02-M4" "SED_AL" "SED" "AL" "Pyruvate" 44459280
"160711-81" "tumor" "15-02-M22" "EX_ER" "EX" "ER" "Pyruvate" 20746160
"160711-82" "tumor" "15-02-M5" "SED_AL" "SED" "AL" "Pyruvate" 16293592
"160711-83" "tumor" "15-02-M13" "SED_ER" "SED" "ER" "Pyruvate" 18786310
"160711-84" "plasmaD21" "15-02-M15" "EX_AL" "EX" "AL" "Pyruvate" 12915554
"160711-85" "plasmaD35" "15-02-M19" "EX_AL" "EX" "AL" "Pyruvate" 159958496
