"Metabolite"	"avgchange_PA+AL_Day 21"	"avgchange_PA+AL_Day 35"	"avgchange_PA+AL_Day 7"	"avgchange_PA+ER_Day 21"	"avgchange_PA+ER_Day 35"	"avgchange_PA+ER_Day 7"	"avgchange_SED+AL_Day 21"	"avgchange_SED+AL_Day 35"	"avgchange_SED+AL_Day 7"	"avgchange_SED+ER_Day 21"	"avgchange_SED+ER_Day 35"	"avgchange_SED+ER_Day 7"	"sechange_PA+AL_Day 21"	"sechange_PA+AL_Day 35"	"sechange_PA+AL_Day 7"	"sechange_PA+ER_Day 21"	"sechange_PA+ER_Day 35"	"sechange_PA+ER_Day 7"	"sechange_SED+AL_Day 21"	"sechange_SED+AL_Day 35"	"sechange_SED+AL_Day 7"	"sechange_SED+ER_Day 21"	"sechange_SED+ER_Day 35"	"sechange_SED+ER_Day 7"
"Adenosine monophosphate"	-0.134	-0.093	0.694	0.462	-0.82	1.261	0	0	0	-0.361	0.004	1.996	0.319	0.406	0.248	0.866	0.475	0.886	0	0	0	0.441	0.56	0.652
"D-4'-Phosphopantothenate"	-0.692	-0.075	0.789	0.613	-0.853	0.156	0	0	0	1.038	0.566	0.151	0.075	0.522	0.455	0.507	0.148	0.443	0	0	0	0.362	0.498	0.838
"Glycerol 3-phosphate"	-0.537	0.414	-0.656	-1.073	0.318	-0.078	0	0	0	-0.191	0.554	0.372	0.4	0.171	0.885	0.571	0.144	0.288	0	0	0	0.126	0.371	0.054
"Homocysteine"	0.416	0.21	-0.414	-0.164	0.023	-0.463	0	0	0	0.114	0.023	-0.446	0.127	0.105	0.221	0.269	0.172	0.357	0	0	0	0.259	0.394	0.147
"Hydroxyproline"	0.484	-0.213	-0.545	-0.724	-0.726	-1.119	0	0	0	-0.164	-0.303	-1.087	0.206	0.212	0.262	0.487	0.176	0.281	0	0	0	0.083	0.527	0.468
"L-Alanine"	0.09	0.409	-1.046	-1.157	0.527	-0.865	0	0	0	-0.28	-0.115	-0.727	0.185	0.258	0.845	0.145	0.176	0.263	0	0	0	0.28	0.446	0.178
"L-Asparagine"	0.423	0.294	-1.299	-1.353	0.013	-1.187	0	0	0	-0.25	0.028	-0.777	0.304	0.16	1.02	0.573	0.125	0.328	0	0	0	0.225	0.233	0.172
"L-Histidine"	0.334	0.01	-0.661	-0.506	0.219	-0.434	0	0	0	-0.01	-0.287	-0.265	0.167	0.106	0.564	0.251	0.111	0.176	0	0	0	0.052	0.672	0.153
"L-Lysine"	0.571	0.154	0.667	-0.34	0.054	-0.865	0	0	0	0.461	0.063	-0.422	0.212	0.093	0.526	0.203	0.188	0.129	0	0	0	0.14	0.247	0.347
"L-Proline"	0.387	0.197	-0.35	-0.633	0.59	-0.274	0	0	0	0.07	0.376	-0.085	0.09	0.254	0.741	0.306	0.245	0.236	0	0	0	0.254	0.186	0.152
"Pipecolic acid"	0.163	-0.481	0.502	0.05	-0.478	-0.368	0	0	0	0.138	-0.35	-0.16	0.368	0.212	0.233	0.195	0.122	0.252	0	0	0	0.176	0.435	0.084
"Quinolinic acid"	-0.52	0.388	0.425	0.863	-0.809	-0.457	0	0	0	-0.685	-0.404	-0.242	0.401	0.289	0.583	0.242	0.427	0.281	0	0	0	0.379	0.269	0.078
"Sedoheptulose 1,7-bisphosphate"	0.926	-0.455	-0.319	-0.179	-0.41	0.006	0	0	0	-0.063	0.391	0.479	0.075	0.074	0.15	0.333	0.098	0.223	0	0	0	0.274	0.775	0.373
"Uridine 5'-monophosphate"	0.203	0.433	-0.081	-0.023	1.19	0.679	0	0	0	0.667	0.399	0.265	0.071	0.329	0.236	0.151	0.361	0.208	0	0	0	0.409	0.658	0.121
"Xanthine"	-0.551	0.841	0.857	-0.1	-0.443	0.966	0	0	0	-0.462	1.651	1.702	0.463	0.602	0.91	0.574	0.55	0.363	0	0	0	0.745	0.28	0.231
"Xanthosine"	-0.443	0.495	1.298	-1.197	0.798	0.706	0	0	0	0.038	0.797	1.63	0.427	0.305	0.4	0.674	0.206	0.571	0	0	0	0.138	0.147	0.486
