"id"	"treatmentID"	"Exercise"	"Weight"	"area"	"Metabolite"
"15-02-M22_plasmaD35"	"EX_ER"	"EX"	"ER"	-1.35526410320585	"Pyruvic acid"
"15-02-M18_tumor"	"EX_AL"	"EX"	"AL"	-0.800333616815104	"Pyruvic acid"
"15-02-M1_plasmaD7"	"SED_AL"	"SED"	"AL"	-0.579847796310356	"Pyruvic acid"
"15-02-M10_plasmaD35"	"SED_ER"	"SED"	"ER"	-1.42526452140255	"Pyruvic acid"
"15-02-M11_plasmaD35"	"SED_ER"	"SED"	"ER"	-1.18354577666938	"Pyruvic acid"
"15-02-M20_plasmaD35"	"EX_AL"	"EX"	"AL"	0.893182628898501	"Pyruvic acid"
"15-02-M3_plasmaD35"	"SED_AL"	"SED"	"AL"	-0.486781059514271	"Pyruvic acid"
"15-02-M2_plasmaD7"	"SED_AL"	"SED"	"AL"	-1.63882484367873	"Pyruvic acid"
"15-02-M24_plasmaD35"	"EX_ER"	"EX"	"ER"	0.704437477481081	"Pyruvic acid"
"15-02-M16_tumor"	"EX_AL"	"EX"	"AL"	-2.6950372832638	"Pyruvic acid"
"15-02-M26_plasmaD7"	"EX_ER"	"EX"	"ER"	0.528136417887789	"Pyruvic acid"
"15-02-M12_plasmaD21"	"SED_ER"	"SED"	"ER"	0.528136417887789	"Pyruvic acid"
"15-02-M23_tumor"	"EX_ER"	"EX"	"ER"	-1.73002417049306	"Pyruvic acid"
"15-02-M21_plasmaD35"	"EX_ER"	"EX"	"ER"	-1.18354577666938	"Pyruvic acid"
"15-02-M27_plasmaD35"	"EX_ER"	"EX"	"ER"	0.528136417887789	"Pyruvic acid"
"15-02-M18_plasmaD21"	"EX_AL"	"EX"	"AL"	0.704437477481081	"Pyruvic acid"
"15-02-M24_plasmaD7"	"EX_ER"	"EX"	"ER"	0.354327891377439	"Pyruvic acid"
"15-02-M15_plasmaD7"	"EX_AL"	"EX"	"AL"	0.614029060369011	"Pyruvic acid"
"15-02-M26_tumor"	"EX_ER"	"EX"	"ER"	-2.60720475319433	"Pyruvic acid"
"15-02-M26_plasmaD35"	"EX_ER"	"EX"	"ER"	-1.42526452140255	"Pyruvic acid"
"15-02-M5_plasmaD35"	"SED_AL"	"SED"	"AL"	0.354327891377439	"Pyruvic acid"
"15-02-M22_plasmaD7"	"EX_ER"	"EX"	"ER"	0.614029060369011	"Pyruvic acid"
"15-02-M10_tumor"	"SED_ER"	"SED"	"ER"	-1.7997285194078	"Pyruvic acid"
"15-02-M8_tumor"	"SED_ER"	"SED"	"ER"	-2.43502948756315	"Pyruvic acid"
"15-02-M2_tumor"	"SED_AL"	"SED"	"AL"	-2.43502948756315	"Pyruvic acid"
"15-02-M11_plasmaD21"	"SED_ER"	"SED"	"ER"	0.790565934897941	"Pyruvic acid"
"15-02-M12_tumor"	"SED_ER"	"SED"	"ER"	-1.56484398203785	"Pyruvic acid"
"15-02-M13_plasmaD21"	"SED_ER"	"SED"	"ER"	0.893182628898501	"Pyruvic acid"
"15-02-M15_plasmaD35"	"EX_AL"	"EX"	"AL"	0.790565934897941	"Pyruvic acid"
"15-02-M4_plasmaD21"	"SED_AL"	"SED"	"AL"	0.996985550403562	"Pyruvic acid"
"15-02-M4_plasmaD7"	"SED_AL"	"SED"	"AL"	0.996985550403562	"Pyruvic acid"
"15-02-M7_plasmaD35"	"SED_ER"	"SED"	"ER"	0.614029060369011	"Pyruvic acid"
"15-02-M25_plasmaD35"	"EX_ER"	"EX"	"ER"	0.427567170342082	"Pyruvic acid"
"15-02-M25_plasmaD21"	"EX_ER"	"EX"	"ER"	0.790565934897941	"Pyruvic acid"
"15-02-M5_plasmaD7"	"SED_AL"	"SED"	"AL"	0.893182628898501	"Pyruvic acid"
"15-02-M24_tumor"	"EX_ER"	"EX"	"ER"	-2.33242995384393	"Pyruvic acid"
"15-02-M7_tumor"	"SED_ER"	"SED"	"ER"	-1.7997285194078	"Pyruvic acid"
"15-02-M8_plasmaD35"	"SED_ER"	"SED"	"ER"	0.893182628898501	"Pyruvic acid"
"15-02-M6_tumor"	"SED_AL"	"SED"	"AL"	-1.27674872829878	"Pyruvic acid"
"15-02-M16_plasmaD21"	"EX_AL"	"EX"	"AL"	0.614029060369011	"Pyruvic acid"
"15-02-M21_tumor"	"EX_ER"	"EX"	"ER"	-2.33242995384393	"Pyruvic acid"
"15-02-M7_plasmaD7"	"SED_ER"	"SED"	"ER"	0.893182628898501	"Pyruvic acid"
"15-02-M26_plasmaD21"	"EX_ER"	"EX"	"ER"	0.704437477481081	"Pyruvic acid"
"15-02-M27_plasmaD7"	"EX_ER"	"EX"	"ER"	0.528136417887789	"Pyruvic acid"
"15-02-M23_plasmaD7"	"EX_ER"	"EX"	"ER"	0.354327891377439	"Pyruvic acid"
"15-02-M3_tumor"	"SED_AL"	"SED"	"AL"	-2.23464098900444	"Pyruvic acid"
"15-02-M4_plasmaD35"	"SED_AL"	"SED"	"AL"	0.893182628898501	"Pyruvic acid"
"15-02-M8_plasmaD7"	"SED_ER"	"SED"	"ER"	0.893182628898501	"Pyruvic acid"
"15-02-M3_plasmaD21"	"SED_AL"	"SED"	"AL"	0.790565934897941	"Pyruvic acid"
"15-02-M6_plasmaD35"	"SED_AL"	"SED"	"AL"	-0.286006325022537	"Pyruvic acid"
"15-02-M18_plasmaD7"	"EX_AL"	"EX"	"AL"	1.31828208101775	"Pyruvic acid"
"15-02-M25_plasmaD7"	"EX_ER"	"EX"	"ER"	0.996985550403562	"Pyruvic acid"
"15-02-M2_plasmaD35"	"SED_AL"	"SED"	"AL"	0.790565934897941	"Pyruvic acid"
"15-02-M16_plasmaD7"	"EX_AL"	"EX"	"AL"	0.427567170342082	"Pyruvic acid"
"15-02-M16_plasmaD35"	"EX_AL"	"EX"	"AL"	0.614029060369011	"Pyruvic acid"
"15-02-M10_plasmaD21"	"SED_ER"	"SED"	"ER"	1.10715158770592	"Pyruvic acid"
"15-02-M6_plasmaD21"	"SED_AL"	"SED"	"AL"	0.893182628898501	"Pyruvic acid"
"15-02-M12_plasmaD35"	"SED_ER"	"SED"	"ER"	1.2200092574379	"Pyruvic acid"
"15-02-M18_plasmaD35"	"EX_AL"	"EX"	"AL"	0.893182628898501	"Pyruvic acid"
"15-02-M10_plasmaD7"	"SED_ER"	"SED"	"ER"	0.790565934897941	"Pyruvic acid"
"15-02-M5_plasmaD21"	"SED_AL"	"SED"	"AL"	0.893182628898501	"Pyruvic acid"
"15-02-M7_plasmaD21"	"SED_ER"	"SED"	"ER"	0.893182628898501	"Pyruvic acid"
"15-02-M21_plasmaD21"	"EX_ER"	"EX"	"ER"	0.790565934897941	"Pyruvic acid"
"15-02-M1_plasmaD35"	"SED_AL"	"SED"	"AL"	0.996985550403562	"Pyruvic acid"
"15-02-M19_plasmaD7"	"EX_AL"	"EX"	"AL"	0.704437477481081	"Pyruvic acid"
"15-02-M11_tumor"	"SED_ER"	"SED"	"ER"	-1.87720610390082	"Pyruvic acid"
"15-02-M12_plasmaD7"	"SED_ER"	"SED"	"ER"	0.790565934897941	"Pyruvic acid"
"15-02-M20_tumor"	"EX_AL"	"EX"	"AL"	-2.8035774461103	"Pyruvic acid"
"15-02-M4_tumor"	"SED_AL"	"SED"	"AL"	-0.486781059514271	"Pyruvic acid"
"15-02-M22_tumor"	"EX_ER"	"EX"	"ER"	-2.06118986972238	"Pyruvic acid"
"15-02-M5_tumor"	"SED_AL"	"SED"	"AL"	-2.6950372832638	"Pyruvic acid"
"15-02-M13_tumor"	"SED_ER"	"SED"	"ER"	-1.63882484367873	"Pyruvic acid"
"15-02-M15_plasmaD21"	"EX_AL"	"EX"	"AL"	-0.389597323129928	"Pyruvic acid"
"15-02-M19_plasmaD35"	"EX_AL"	"EX"	"AL"	1.10715158770592	"Pyruvic acid"
"15-02-M24_plasmaD21"	"EX_ER"	"EX"	"ER"	0.790565934897941	"Pyruvic acid"
"15-02-M23_plasmaD35"	"EX_ER"	"EX"	"ER"	0.790565934897941	"Pyruvic acid"
"15-02-M19_tumor"	"EX_AL"	"EX"	"AL"	1.2200092574379	"Pyruvic acid"
"15-02-M21_plasmaD7"	"EX_ER"	"EX"	"ER"	3.03629664030505	"Pyruvic acid"
"15-02-M1_tumor"	"SED_AL"	"SED"	"AL"	1.98540838384514	"Pyruvic acid"
"15-02-M20_plasmaD7"	"EX_AL"	"EX"	"AL"	1.44941136570817	"Pyruvic acid"
"15-02-M13_plasmaD35"	"SED_ER"	"SED"	"ER"	-1.01138140899949	"Pyruvic acid"
"15-02-M6_plasmaD7"	"SED_AL"	"SED"	"AL"	0.266583000039931	"Pyruvic acid"
"15-02-M1_plasmaD21"	"SED_AL"	"SED"	"AL"	1.31828208101775	"Pyruvic acid"
"15-02-M2_plasmaD21"	"SED_AL"	"SED"	"AL"	1.31828208101775	"Pyruvic acid"
"15-02-M23_plasmaD21"	"EX_ER"	"EX"	"ER"	1.58711281707902	"Pyruvic acid"
"15-02-M22_plasmaD35"	"EX_ER"	"EX"	"ER"	1.1649904041967	"L-Alanine"
"15-02-M18_tumor"	"EX_AL"	"EX"	"AL"	-0.767342157544169	"L-Alanine"
"15-02-M1_plasmaD7"	"SED_AL"	"SED"	"AL"	-0.184464511102478	"L-Alanine"
"15-02-M10_plasmaD35"	"SED_ER"	"SED"	"ER"	0.766927286303281	"L-Alanine"
"15-02-M11_plasmaD35"	"SED_ER"	"SED"	"ER"	1.03302165280924	"L-Alanine"
"15-02-M20_plasmaD35"	"EX_AL"	"EX"	"AL"	1.68321088091598	"L-Alanine"
"15-02-M3_plasmaD35"	"SED_AL"	"SED"	"AL"	1.03302165280924	"L-Alanine"
"15-02-M2_plasmaD7"	"SED_AL"	"SED"	"AL"	0.292458707369454	"L-Alanine"
"15-02-M24_plasmaD35"	"EX_ER"	"EX"	"ER"	0.292458707369454	"L-Alanine"
"15-02-M16_tumor"	"EX_AL"	"EX"	"AL"	0.440278201295888	"L-Alanine"
"15-02-M26_plasmaD7"	"EX_ER"	"EX"	"ER"	0.597843340127449	"L-Alanine"
