"","LIPPOS16JULY_04-D21_M26","LIPPOS16JULY_10-D21_M3","LIPPOS16JULY_17-D21_M10","LIPPOS16JULY_18-D21_M6","LIPPOS16JULY_22-D21_M5","LIPPOS16JULY_23-D21_M7","LIPPOS16JULY_24-D21_M21","LIPPOS16JULY_34-D21_M15","LIPPOS16JULY_36-D21_M24","LIPPOS16JULY_44-D21_M1","LIPPOS16JULY_45-D21_M2","LIPPOS16JULY_46-D21_M23","LIPPOS16JULY_48-D21_M8","LIPPOS16JULY_50-D21_M19","LIPPOS16JULY_51-D21_M22","LIPPOS16JULY_53-D21_M27","LIPPOS16JULY_55-D21_M20","LIPPOS16JULY_65-D21_M12","LIPPOS16JULY_69-D21_M18","LIPPOS16JULY_79-D21_M11","LIPPOS16JULY_81-D21_M13","LIPPOS16JULY_84-D21_M4","LIPPOS16JULY_88-D21_M25","LIPPOS16JULY_94-D21_M16","LIPPOS16JULY_08-D35_M4","LIPPOS16JULY_11-D35_M6","LIPPOS16JULY_14-D35_M2","LIPPOS16JULY_16-D35_M16","LIPPOS16JULY_19-D35_M12","LIPPOS16JULY_20-D35_M18","LIPPOS16JULY_25-D35_M1","LIPPOS16JULY_35-D35_M19","LIPPOS16JULY_37-D35_M23","LIPPOS16JULY_42-D35_M13","LIPPOS16JULY_56-D35_M22","LIPPOS16JULY_57-D35_M10","LIPPOS16JULY_58-D35_M11","LIPPOS16JULY_59-D35_M20","LIPPOS16JULY_60-D35_M3","LIPPOS16JULY_62-D35_M24","LIPPOS16JULY_67-D35_M21","LIPPOS16JULY_68-D35_M27","LIPPOS16JULY_73-D35_M26","LIPPOS16JULY_74-D35_M5","LIPPOS16JULY_83-D35_M15","LIPPOS16JULY_86-D35_M7","LIPPOS16JULY_87-D35_M25","LIPPOS16JULY_92-D35_M8","LIPPOS16JULY_03-D7_M7","LIPPOS16JULY_05-D7_M27","LIPPOS16JULY_06-D7_M23","LIPPOS16JULY_09-D7_M8","LIPPOS16JULY_12-D7_M18","LIPPOS16JULY_13-D7_M25","LIPPOS16JULY_15-D7_M16","LIPPOS16JULY_21-D7_M10","LIPPOS16JULY_26-D7_M19","LIPPOS16JULY_28-D7_M12","LIPPOS16JULY_39-D7_M21","LIPPOS16JULY_41-D7_M20","LIPPOS16JULY_43-D7_M6","LIPPOS16JULY_47-D7_M13","LIPPOS16JULY_52-D7_M11","LIPPOS16JULY_54-D7_M3","LIPPOS16JULY_61-D7_M2","LIPPOS16JULY_64-D7_M26","LIPPOS16JULY_70-D7_M24","LIPPOS16JULY_71-D7_M15","LIPPOS16JULY_75-D7_M22","LIPPOS16JULY_82-M1_D7","LIPPOS16JULY_85-D7_M4","LIPPOS16JULY_89-D7_M5","LIPPOS16JULY_02-M21","LIPPOS16JULY_07-M3","LIPPOS16JULY_27-M11","LIPPOS16JULY_29-M20","LIPPOS16JULY_30-M4","LIPPOS16JULY_31-M22","LIPPOS16JULY_32-M5","LIPPOS16JULY_33-M13","LIPPOS16JULY_38-M19","LIPPOS16JULY_40-M1","LIPPOS16JULY_49-M27","LIPPOS16JULY_63-M16","LIPPOS16JULY_66-M23","LIPPOS16JULY_72-M26","LIPPOS16JULY_76-M10","LIPPOS16JULY_77-M8","LIPPOS16JULY_78-M2","LIPPOS16JULY_80-M12","LIPPOS16JULY_90-M24","LIPPOS16JULY_91-M7","LIPPOS16JULY_93-M6","LIPPOS16JULY_95-M18"
"Label","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM"
"ACar 14:0; [M]+"," 1.588057893","-0.492549764","-0.282227558","-0.642865514"," 0.760566577","-0.086837283"," 0.767311070","-0.487165631"," 0.714935962","-0.294784077","-1.017390827"," 1.068961741"," 0.364603038"," 0.539020990"," 3.918968997"," 0.097883420"," 0.013762094","-1.101875633"," 0.819376812","-0.185951035"," 1.055869914","-0.339164218"," 0.031875562","-0.061613936"," 0.906199241"," 0.228774806","-0.061613936"," 0.309185535","-0.093160911"," 0.187443646","-0.427695265"," 0.171361209","-0.226475660"," 0.258515166"," 0.013762094"," 0.218213005"," 0.080170636"," 0.827298285"," 0.142207493"," 0.316461749"," 0.125003438"," 0.268996321","-0.789993480","-0.603305640","-0.197648939"," 0.019367610","-0.517639998","-0.099290608","-0.169680275"," 0.634060573"," 1.734674134"," 0.178450993"," 1.309033980"," 0.431553190"," 1.121115643","-0.055719131"," 0.562063586"," 0.322107487"," 0.532516101"," 1.903457176"," 0.780307978"," 0.419747405"," 0.322107487"," 0.639438484","-0.158397514","-0.153117531"," 0.639438484","-0.439458226"," 1.076461211"," 0.206850979"," 1.121115643"," 0.055553001","-1.660567880","-1.716642800","-0.276006757","-1.660567880","-1.126283872","-1.012287750","-0.269920435","-2.758902126","-0.007972066","-0.744791388","-1.869351293","-1.381569028","-1.223692177","-1.598978074"," 0.409171154","-0.203471961","-1.420172505","-1.500984182","-2.054472271","-2.287852148"," 0.182944247"," 3.363785945"
"ACar 14:1; [M]+"," 1.24768671"," 0.54882886"," 0.57676747"," 0.31962316"," 1.21438077"," 0.61853770"," 0.66250104"," 0.21687161"," 0.85737000"," 0.35616259","-0.28655980"," 1.13701333"," 0.80597532"," 1.08943174"," 2.58212852"," 0.54510610"," 0.61853770","-0.21582961"," 1.40763388"," 0.23589927"," 0.93345072"," 0.29079449"," 0.58048259"," 0.48194126"," 1.53352255"," 0.85737000"," 0.58488197"," 1.01920270"," 0.66692833"," 0.88509292"," 0.54882886"," 0.76914654"," 0.36015078"," 0.49475523"," 0.73862434"," 0.69607940"," 0.66250104"," 1.06221174"," 0.93345072"," 0.78522365"," 0.88004131"," 0.74315993"," 0.06604981"," 0.19070747"," 0.53327523"," 0.43278832"," 0.26366714"," 0.29834430"," 0.11896819"," 0.72066472"," 1.36396969"," 0.64221237"," 1.22841877"," 0.73862434"," 1.27547857"," 0.19921462"," 0.83401165"," 0.52892051"," 0.94606264"," 1.74344806"," 1.07547749"," 0.69607940"," 0.88913232"," 0.85352398"," 0.26824856"," 0.36884179"," 0.77749828"," 0.54882886"," 1.19962837"," 1.79676119"," 1.16994925"," 0.68308156","-2.30258163","-2.41601079","-2.19155912","-2.08282479","-2.07131414","-1.85452039","-2.18450058","-2.97641641","-1.87365756","-2.09747697","-2.49073397","-2.88650165","-1.88702108","-2.23360197","-1.52679289","-1.86798076","-2.72912470","-2.64524283","-2.75358791","-3.26451184","-1.78571922","-5.37610370"
"ACar 15:0; [M]+"," 0.4657617"," 0.4657617"," 0.6890022"," 0.7392813"," 0.6338006"," 0.6338006"," 0.5773877"," 0.3633090"," 0.5773877"," 0.9770629"," 0.2354840"," 0.6890022"," 0.9163048"," 1.1859829"," 0.5773877"," 0.7392813"," 0.9163048"," 0.2026158"," 0.9163048"," 0.6338006"," 0.7923517"," 0.2780224"," 0.2780224"," 0.2354840"," 1.0365887"," 0.3174743"," 0.5226034"," 0.4059330"," 0.8524025"," 0.5773877"," 0.3174743"," 0.2354840"," 0.3633090"," 0.9770629"," 0.5226034"," 0.7923517"," 0.6890022"," 0.9163048"," 0.7923517"," 0.7923517"," 0.9163048"," 0.1164081"," 0.7392813"," 0.6338006"," 0.5226034"," 0.9770629"," 0.7392813"," 0.3633090"," 0.5773877"," 0.4059330"," 0.6338006"," 0.8524025"," 0.5773877"," 0.2780224"," 0.5773877"," 0.6890022"," 0.6890022"," 0.4657617"," 0.8524025"," 0.6890022"," 0.5773877"," 0.5226034"," 1.1859829"," 0.9770629"," 0.5226034"," 0.1164081"," 0.9163048"," 0.6890022"," 2.0044674"," 0.4657617"," 0.6890022"," 0.3633090","-1.9049458","-2.2901695","-1.9847533","-1.8442526","-1.9938941","-2.3964883","-2.1293951","-1.6375380","-1.7838555","-2.2443305","-1.3147848","-1.7214334","-1.2365304","-2.1206903","-1.8442526","-2.1679715","-2.5652530","-2.2340394","-2.2831657","-2.5652530","-1.8563530","-4.0356813"
"ACar 16:0; [M]+"," 1.332198225","-0.817067735","-0.468192521","-0.756133703"," 0.215444154","-0.148871477"," 0.355252562","-0.749390843"," 0.006717341","-0.939684235","-1.326685184"," 0.760578370"," 0.519128670","-0.460847802","-0.689722518","-0.736077673","-0.452873202","-1.393771465"," 0.016044363","-0.570638376"," 0.270039537","-0.933344152","-0.529870169","-0.523406169"," 0.541966980","-0.523406169","-0.563880152","-0.295822940","-0.749390843","-0.436390051","-0.384207368","-0.315924689","-0.697427824","-0.156781350","-0.357847904","-0.112294140"," 0.052641413"," 0.150815163","-0.674620722","-0.325575500","-0.638393890","-0.165976810","-0.784456455","-0.609013363","-0.824341531","-0.112294140","-1.479891897","-0.422012232"," 0.355252562"," 0.746741777"," 1.211459793"," 0.257199192"," 0.831886609","-0.130876089"," 0.624263305","-0.234837908"," 0.553694765"," 0.006717341"," 0.311546287"," 1.456969965"," 0.355252562","-0.112294140","-0.101890517"," 0.193222615","-0.375894890","-0.939684235"," 0.246785136","-0.770389263"," 0.297626558","-0.632421845"," 0.236692678","-0.020735606"," 0.733092942"," 0.746741777"," 1.652317993"," 0.193222615"," 0.720118108"," 1.228441783"," 1.170717520"," 0.062135660"," 1.802399573"," 1.141785698"," 0.691158855"," 0.967805506"," 0.173098412"," 0.733092942"," 2.178098754"," 2.100242202"," 1.058122350"," 0.789986747"," 0.481751403"," 0.443677648"," 1.669349123","-7.197943849"
"ACar 16:1; [M]+"," 1.92407381"," 0.05411914","-0.25846080","-0.22842952"," 1.18869462"," 0.18814876"," 0.86424082","-0.04256546"," 1.07087485"," 0.07826604","-0.81331436"," 0.81801751"," 0.63606018"," 1.00318439"," 0.00508062"," 0.17438178","-0.02837654","-0.79950036"," 1.57557488","-0.17675797"," 0.53252334"," 0.06283194"," 0.41171241"," 0.38613353"," 1.29743791"," 0.80614111"," 0.53787956"," 0.92739760"," 0.01117157"," 0.53252334"," 0.25355479"," 0.42222489"," 0.08269840"," 0.15228279"," 0.27659618"," 0.26437035"," 0.38121904"," 0.89380957"," 0.45478987"," 0.78859432","-0.02837654"," 0.51043096","-0.65689726","-0.11459987","-0.09872806"," 0.35497009","-0.30648057"," 0.19254490","-0.24826502"," 1.09273407"," 1.91198609"," 0.52693889"," 1.53902882"," 0.43353400"," 1.60450005"," 0.36068140"," 1.17341491"," 0.65356448"," 0.67655749"," 2.11916047"," 1.23616401"," 0.64186722"," 0.69960432"," 0.92739760"," 0.02061663"," 0.42839573"," 0.83073760","-0.36508076"," 0.84194936"," 1.70776717"," 1.29743791"," 0.57127210","-2.14574207","-2.08957074","-0.91827679","-1.58779616","-1.35195629","-1.52464115","-0.75026951","-2.89486545","-0.39021987","-1.10644354","-2.11562789","-1.66939251","-1.34134544","-1.62397808","-0.22287006","-0.66677423","-1.57725768","-1.88593880","-1.96666033","-2.75212455","-0.41074704","-6.25153490"
"ACar 18:0; [M]+"," 0.23218692","-0.98346632","-0.72314683","-1.15419937","-0.83033328","-0.84694991","-0.39482972","-0.93038571","-0.30914421","-0.86858362","-1.18091101","-0.04096154"," 0.19532674","-0.66354799","-1.00675219","-0.62960117","-0.64436336","-0.91532195","-0.32592993","-0.54536546","-0.02288569","-0.97868897","-0.53494411","-0.90513266","-0.47276219","-0.75912546","-0.82540541","-0.46619246","-1.07285141","-0.35241573","-0.89017807","-0.60301427","-0.99564003","-0.13573819","-0.80223654","-0.50339860"," 0.07350963","-0.43481368","-0.89494539","-0.48747112","-1.20953027","-0.46109489","-1.21930733","-0.79638739","-0.73444033","-0.42837084","-1.27721702","-0.63459537","-0.22495043"," 0.09140333"," 0.29830245","-0.16323034","-0.27111585","-0.65413150","-0.38788842","-0.41189143","-0.28408204","-0.29014655","-0.11198897"," 0.49186544","-0.29014655","-0.00495546","-0.28408204","-0.44664945","-0.74394050","-0.81936695","-0.10640799","-0.84157746","-0.01768514","-0.77448141","-0.81936695","-0.62960117"," 1.53471065"," 2.09077890"," 2.56877680"," 0.99604440"," 2.13704123"," 2.65440168"," 1.81634754"," 1.27761141"," 2.67112605"," 1.88888805"," 1.28744255"," 1.72444981"," 1.55627060"," 1.88888805"," 2.76557690"," 2.82118966"," 1.67204269"," 1.74958323"," 2.07738735"," 1.80145816"," 2.06048211","-1.95282871"
"ACar 18:1; [M]+"," 1.643208740","-0.200237402","-0.468205141","-0.735740067"," 0.996874382","-0.336891807"," 0.887772792"," 0.003175254"," 0.425290693","-0.349366101","-1.137276761"," 1.096657123"," 1.253985814"," 0.801430438","-0.770399163","-0.296144765"," 0.425290693","-1.028079609"," 1.071522824","-0.229842224"," 0.743447269"," 0.358973798"," 0.069764614","-0.079968810"," 1.115566982"," 0.087525313","-0.011220785"," 0.574606269","-0.735740067"," 0.743447269","-0.296144765"," 0.446538780","-0.440052792"," 0.358973798","-0.455597629","-0.096652795","-0.166912243"," 0.358973798"," 0.596005315","-0.125695669","-0.125695669","-0.138499360","-1.449616481","-0.307880865","-0.213953189","-0.151037032","-0.853137705"," 0.104823398","-0.600655146"," 0.699653728"," 1.511289902"," 0.222673663"," 1.297399884"," 0.153805586"," 1.161969121","-0.166912243"," 1.020632035"," 0.173616341"," 0.761129743"," 2.488584859"," 0.780438108"," 0.866195383"," 0.358973798"," 0.996874382","-0.229842224","-0.213953189"," 1.044519870","-0.714922441"," 0.222673663"," 1.115566982"," 0.699653728"," 0.780438108","-1.271223879","-1.200188773","-0.421325465","-1.271223879","-0.138499360","-0.829288565"," 0.281650882","-2.344557038"," 0.596005315"," 0.087525313","-1.457798153","-0.675925535","-1.666118448","-1.062334453"," 0.953576216","-0.110850740","-0.506147305","-1.125099826","-1.232100189","-1.658083035"," 0.337745605","-2.679408785"
"ACar 18:2; [M]+"," 1.1750102020","-0.0624631324"," 0.2117537684","-1.1674593064"," 0.9605062978"," 0.4795031075"," 0.3520444148"," 0.1062752799"," 0.2117537684"," 0.3049407281","-0.9176629955"," 0.7643680013"," 0.1377975695"," 0.6765440336"," 0.2593014535"," 0.4228212022","-0.0624631324","-0.5040064615"," 0.7989456803"," 0.3049407281"," 0.3905470706"," 0.0786094465","-0.0791002353"," 0.4725546893"," 1.6866254445","-0.3029342788"," 0.3972321868"," 0.8120735994","-0.5805566553"," 0.5235112746"," 0.7643680013"," 1.1923458062"," 0.1377975695"," 0.1000802856","-0.1328980546"," 0.0108784924"," 0.0739102739"," 0.8501856409"," 0.3724784112"," 0.6571237050","-0.1385713811"," 0.3849743763","-0.4206010066","-0.1328980546"," 0.2117537684"," 0.2117537684","-0.8214060822"," 0.3171643167"," 0.1747939612"," 0.3849743763"," 1.6312811287"," 0.2872558949"," 1.4978466836","-0.0600117767"," 1.1217688634"," 0.3412735013"," 0.9083981259","-0.6048799963"," 0.1238088640"," 2.0498139204"," 1.1418783507"," 0.5852134580"," 0.5653539377"," 0.6047889279"," 0.3849743763"," 0.0843048022"," 0.4655718431","-0.0349117543"," 0.2704114155","-0.1619176478"," 1.0834736847"," 0.6633851333","-1.6841957147","-1.4683141632"," 0.0571756608","-1.2982366350","-0.1120512058","-0.7531694061"," 0.2117537684","-2.2888575433"," 0.6951587801","-0.1661611793","-2.3345688936","-0.8269052048","-0.9076992866","-1.2676881569"," 0.0843048022","-0.0624631324","-0.5587836480","-1.7941813356","-1.4746760661","-2.2702176629","-0.0007297291","-6.7777977079"
"ACar 20:0; [M]+","-0.37549362","-0.32261660"," 0.22696926","-0.13614417","-0.26438574","-0.66903408","-0.92241406","-0.62940671","-0.56509481","-0.18290731","-0.25231234"," 0.07976325","-0.13104382","-0.61658683","-1.83992479","-0.24615727","-0.15317386","-0.54099769","-0.89502458"," 0.05418459","-1.21422890","-0.81740412","-1.14789191","-1.12904505","-1.71148845","-1.19639941","-0.18898866","-0.51375997","-0.34974830","-0.50814189","-0.81740412","-0.89502458","-1.83992479","-0.19922837","-0.49650812"," 0.15969109"," 0.21075994","-1.02035437","-0.33538292","-0.47688814","-1.05282392","-0.44193330","-1.54285373","-0.02371035"," 0.01230800","-0.31323588","-0.50252343","-0.74041622","-1.59689229","-1.38458170","-0.42898369","-1.01315942","-0.06119246","-1.14789191","-1.31061082"," 0.01876939","-0.20452717","-0.23402615","-0.81123712"," 0.14844165","-0.98843577","-0.19419067","-0.14229640","-0.16300556","-0.37549362","-1.05282392","-0.83200501","-1.05282392","-0.14462519","-0.76969077","-0.87717372","-1.20031310"," 1.16785878"," 2.06755105"," 2.86726855"," 0.68647660"," 2.81189735"," 2.76018450"," 1.57738373"," 0.90770781"," 2.95603903"," 2.12294978"," 0.52125629"," 1.60616561"," 1.32135993"," 1.41134049"," 2.62409931"," 2.59526260"," 1.41584599"," 1.67306802"," 2.51810478"," 2.11802777"," 1.84572471"," 3.71754771"
"ACar 20:1; [M]+","-0.82055533","-2.33644324","-0.97146585","-0.14100490","-1.20133141","-1.17377162","-0.37378294","-1.28495568","-0.33065378","-0.15745659","-0.82320299"," 0.23069065","-1.22583979","-0.93974855","-1.20133141","-0.51768368","-0.75920078","-0.92904968","-0.81791352","-0.16284736"," 0.04882036","-0.25737481","-0.30082704","-0.97694275"," 0.26713463","-0.51251759","-1.20513166"," 0.19911092","-0.12977253"," 0.35085739","-0.44852096"," 0.17267820","-0.02165791"," 0.03226072"," 0.35085739","-0.32039757"," 0.24648776","-0.09130050"," 0.17825877","-2.03194604","-1.73739767","-0.55778451","-1.51729511","-1.05585678","-0.91262020","-0.23208549","-0.33605937","-0.79633675","-0.26828874","-0.28953799","-1.21711538","-1.53084485"," 0.71562368","-0.81791352","-0.62790833"," 0.05331468"," 0.02774346","-0.21764317","-0.26351290"," 0.86913689","-0.26828874","-0.38469151"," 0.15591616"," 0.51706387","-0.59484089","-0.89596653","-1.15365596","-0.69431373","-0.01555135","-3.37507832","-0.15745659"," 0.01646196"," 1.62258119"," 1.80147165"," 2.08742289"," 1.42368110"," 1.89898845"," 2.46707815"," 2.16928972"," 0.80136714"," 2.65813634"," 1.82042631"," 2.00915906"," 1.59718613"," 0.80136714"," 1.67627950"," 2.67522071"," 2.47572338"," 2.09934887"," 0.30105336"," 1.98186447"," 1.75066963"," 2.43816842","-0.60622817"
