"","Label","Pyruvate","Alanine.Sacrosine","Lactate","X2.Oxobutanoate","Acetoacetate","X3.Hydroxybutyric.acid","Serine","Glycerate","Uracil","Proline","Maleic.acid","Fumarate","X2.Keto.isovalerate","Acetyl.glycine","Valine.5.Aminopentanoic.acid","Succinate.Methylmalonic.acid","Threonine.Homoserine","Cysteine","Nicotinate","Taurine","Pyroglutamic.acid","Pipecolic.Acid","Citraconic.acid","Ketoleucine","Hydroxyproline.Aminolevulinate","N.Acetyl.L.alanine","Leucine.Isoleucine","Asparagine","Hydroxyisocaproic.acid","Ornithine","Malate","Homocysteine.Methylcysteine","Anthranilate","Acetylphosphate","Alpha.ketoglutarate","Glutamine","Lysine","X2.Oxo.4.methylthiobutanoate","Methionine","Ribose","X3.Methylphenylacetic.acid","Xanthine","Hydroxyphenylacetic.acid","X2.3.Dihydroxybenzoic.acid","Histidine","X2.Aminooctanoic.acid","Indole.3.carboxylic.acid","Phenylpyruvate","Phenylalanine","Phenyllactic.acid","Quinolinate","Phosphoenolpyruvate","Uric.acid","Dihydroxy.acetone.phosphate","Glyceraldehdye.3.phosphate","sn.Glycerol.3.phosphate","Aconitate","N.Acetyl.L.ornithine","Arginine","Acetyl.aspartate","Citrulline","Ascorbic.acid","N.Carbamoyl.L.aspartate","Allantoate","X2.Isopropylmalic.acid","Glucono._.lactone","Hydroxyphenylpyruvate","Glucose","X4.Pyridoxic.acid","X3.Phospho.serine","X3.Phosphoglycerate","N.Acetyl.glutamine","Acetyllysine","Kynurenic.acid","N.Acetyl.glutamate","Citrate.isocitrate","X2.Keto.D.gluconate","Erythrose.4.phosphate","Tryptophan","Xanthurenic.acid","Glucarate","Deoxyribose.phosphate","Pantothenate","Cystathionine","Deoxyuridine","Ribulose.5.phosphate","Ribose.5.phosphate","Pro.Asp..PD.","Val.Asp..VD.","Uridine","Leu.Asp..LD.","Glucosamine.1.6.phosphate","Glucose.1.6.phosphate","Fructose.6.phosphate","Inosine","X6.Phospho.D.gluconate","Chlorpropamide","Pantetheine","Xanthosine","D.Sedoheptulose.1.7.phosphate","S.Methyl.5..thioadenosine","X4.Phosphopantothenate","N.Acetyl.glucosamine.1.6.phosphate","dCMP","Glutathione","dTMP","CMP","UMP","Cyclic.AMP","dAMP","Fructose.1.6.bisphosphate","Trehalose.Sucrose","AMP","IMP","GMP","Xanthosine.5.phosphate","Sedoheptoluse.bisphosphate","Riboflavin","S.Adenosyl.L.homocysteine","Octoluse.bisphosphate","CDP","UDP","Trehalose.6.Phosphate","ADP","GDP","CDP.ethanolamine","FMN","X5.Methyl.THF","UTP","CDP.choline","UDP.D.glucose","UDP.D.glucuronate","ADP.D.glucose","UDP.N.acetyl.glucosamine","Glutathione.disulfide","FAD"
"160711-19","plasmaD21",84513024,46745984,8542025216,5437295,10659401,5895640,79253168,48858116,6778,58486876,135571904,98215104,25650326,24579154,167572112,2106973952,253951888,358.5,33922836,1658517504,999423,3065882,110330448,31822990,3039500,14827589,61221020,17227468,35180004,622490,539413120,203251,3636616,302184,1922518784,951928576,9075857,9941,82845240,27560196,2210750,1159050,5482963,3790096,7376848,12248840,1159310,26353008,205459824,8531026,164322,26739,388129792,3765900,40539,92333320,149525936,662435,4836086,44603640,100103888,44636,747611,530364,7543356,303782,30593830,1255356800,16381430,4953,358.5,3346,726048,4667830,26990262,20066674,12879131,3934,253839776,1136516,519895,11996,119698856,515009,1585962,8886264,21888,28323,2913,26599544,1127492,358.5,1454198,405522,13921,355461,432975360,358.5,1209799,133868,358.5,358.5,1545822,3144,1010215,4933,15863,9064,137885,358.5,358.5,13675754,4424,358.5,358.5,358.5,358.5,358.5,1807,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,4498,358.5
"160711-23","plasmaD21",61720264,19019616,4170826752,4996556,14260059,6255776,39993528,37670468,21201,30120862,25589024,32967594,61260412,56553600,167043280,834510592,184869760,1297,20112516,865344128,2483008,3070647,108713232,31451976,2392079,11873318,80544840,11574032,26343376,170800,68682592,186767,3041292,59510,682061632,686142272,8527865,1217391,86990192,17499136,733571,18984212,2120179,2124440,5426230,9179498,469249,6644398,156715232,4588798,158836,82525,209831424,461160,4365,27890002,88156928,1182323,3056710,22663878,63336748,298574,252350,694140,5287033,867434,13163159,778937344,11150204,3249,5590,4087,1072095,1983327,15349334,32351992,5438828,24479,216864320,324625,10623,8466,54511476,76376,1989859,185131,84976,9133,5820,17700236,35363,1532,216095,68807,18137,6135,426228704,3065,677879,8496,14792,358.5,429384,358.5,407552,4141,358.5,3719,110500,358.5,358.5,1348448,4846,358.5,358.5,358.5,4589,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,5685,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5
"160711-35","plasmaD21",88567744,21984040,5020591104,9743678,14106695,6969290,63051680,40986780,32015,32280792,75745744,34461372,11183157,52946136,127942120,906055872,211363088,3159,15513447,803016000,2934430,2768458,130081152,32574966,2651350,11208784,56544464,15208050,25106052,332539,278655712,636027,3263186,142844,991974080,880067200,11104839,204618,63574064,25631194,2689297,93199320,2099691,2800946,6589005,15105625,747444,7170670,116860920,4112332,347047,438452,297030176,2341265,119904,63454032,169884128,354405,3897978,26917704,79237616,111425,673793,909124,7160998,594804,9860589,1146857344,9987120,4209,538266,3288,707868,2813376,12765104,973811072,10390742,19629,235742720,583214,179942,24440,70358824,427551,1409091,1673317,34093,12034,2657,24711872,47869,358.5,833827,529871,17343,272167,397937920,4099,1135703,18659,358.5,6977,938754,358.5,316880,4850,85635,3378,171830,5316,573985,6357912,5201,358.5,358.5,358.5,8136,358.5,3840,358.5,358.5,5781,358.5,41404,358.5,358.5,6272,358.5,358.5,358.5,358.5,358.5,358.5,358.5,49714,358.5
"160711-37","plasmaD21",81155880,10145166,4709509120,5135156,7083714,6168580,20270572,30101804,31945,21862308,52993880,27656634,72019808,52677476,89686560,857210112,84219960,21325,26739716,697952000,1351162,3414436,105608512,30436866,1182346,8797633,52113708,5699029,26632230,146466,179370656,162932,2802674,146388,725094976,813277504,7047370,151240,48219068,12658131,892144,1612094,2297410,2128428,5106114,15745418,459343,4159966,102137024,5106564,536983,163273,185940560,1354044,48688,50614016,131092072,562868,1937154,19331258,51800008,25358,342876,548824,6967508,490482,6669759,573287168,10477985,4795,256039,2965,655820,1135707,9793376,696860416,6987121,64320,177927872,206843,74889,9439,53074348,104891,616809,806669,21157,10712,2509,13560550,9379,1396,697956,202172,2813,5750,399457472,358.5,479371,13374,358.5,15592,312626,358.5,530041,358.5,18434,13927,252743,358.5,612938,1224471,3928,358.5,358.5,358.5,358.5,358.5,7007,358.5,358.5,358.5,358.5,19920,358.5,358.5,358.5,6460,358.5,358.5,358.5,358.5,358.5,358.5,13868,358.5
"160711-39","plasmaD21",156510160,45231512,8166601216,12563152,14549456,5178108,89157024,39350236,32706,45739832,132972200,64135768,64888912,46930540,217835264,1612980352,330802400,21601,34619400,1455443456,4604354,2648228,111387176,31981904,3347775,13996244,106307744,27154026,28594664,422077,543643200,391816,3503714,52592,966287744,1015838656,12907544,464598,101632816,29410824,1275500,4455218,3910719,521871,8617911,6801739,780891,16935240,209259248,6049022,2485805,509801,575789056,5911202,36808,89028336,211452656,471319,4893976,32236814,92250216,3262649,540556,366324,7467332,474538,22754838,1368363264,14951552,3684,92547,3314,917286,5717494,18735512,1206873600,11434318,28028,247089040,1160133,66045,117442,77495640,276716,1903507,2049917,124914,6330,4231,24900320,23819,358.5,815789,238201,20874,5601,398248896,358.5,1151612,4255,4572,5967,1632563,3221,882959,358.5,9701,3851,64911,358.5,75871,3748795,9007,358.5,358.5,358.5,358.5,5848,2602,358.5,358.5,358.5,358.5,5209,358.5,358.5,6371,358.5,358.5,358.5,358.5,358.5,358.5,358.5,140611,3222
"160711-43","plasmaD21",91875296,20207000,4303791616,15115297,13932381,6659159,52438372,42759940,13952,27946122,81085608,39615992,28965722,56811688,135089392,930459264,167073648,19256,38005096,1053774912,2021099,3235559,110791112,31201384,2257587,9433816,62783332,13009315,28688450,329744,310357344,360445,3993774,18805,1226575488,739976640,6987012,233790,60981936,21639532,1657106,99432408,3408133,2002501,5188294,28199236,740283,9480393,129940032,5721590,1611377,715604,202152016,8724116,22308,50058972,209217520,770596,4142657,30296550,74112312,52582,645757,635461,3119874,876671,11965036,933596288,14496024,7387,595752,3382,585074,7334476,16701893,1412505088,9033548,54769,239125792,1726412,46132,198487,66749652,343399,1351223,6312028,22536,3450,3519,24171472,63955,4831,1236952,296400,12029,259279,407117824,358.5,1021122,157002,358.5,358.5,1361896,7349,1554447,358.5,135754,4019,117753,358.5,52341,1377112,4040,3511,4722,358.5,358.5,358.5,27605,358.5,358.5,358.5,358.5,358.5,358.5,3025,9214,358.5,358.5,358.5,358.5,358.5,358.5,358.5,210005,358.5
"160711-49","plasmaD21",68103584,34754732,4123535104,5795290,13842074,7320558,67687432,36244244,24279,47879640,66630900,33733700,66947084,59721916,212643040,986287552,218186896,2624,22517808,1165809536,6414802,3664984,105793600,30860262,2676453,12199257,118966888,21590210,34924736,679667,250822064,495271,3888203,30872,636362112,943001536,14267390,585402,129906512,14592977,1126897,3241018,1230489,69348,9842524,19740046,1120319,6841646,194595888,6384985,1016618,319674,267934368,4129721,48179,53454848,172069216,755393,6497446,25503348,80374792,49828,416903,1285713,7369062,329850,5426443,684164480,11147942,3910,260304,14183,918915,3090904,14008351,977442688,9039412,31300,203881680,555580,1015383,524603,68043080,169333,2215517,1426635,54081,9594,2928,35071488,60596,358.5,598824,93214,16604,272490,381892768,3475,307204,25242,4770,358.5,1155031,358.5,339846,358.5,35162,4494,129118,358.5,508908,1870664,185090,358.5,358.5,358.5,5288,358.5,7008,358.5,358.5,358.5,358.5,7051,358.5,358.5,9296,358.5,358.5,358.5,358.5,358.5,358.5,358.5,32612,358.5
"160711-52","plasmaD21",85193560,13791124,4320258560,6289922,13230333,6794399,24107526,39676572,17298,29199152,153738960,59620948,61708460,86833944,146254368,1231675264,103563360,15633,57689796,992614080,2211013,3642148,111885232,30283082,1555586,13099878,76601992,6718078,32830914,157763,617832320,292205,3354697,41729,1660687360,857188288,6875986,174515,54158068,9794868,5031438,15329091,1570247,19036,6416526,18176286,843812,6693160,168949728,5695100,2060910,697095,293973184,7049742,62588,56309872,217897376,341542,3502470,38053320,56688952,45050,530625,905765,2792239,488236,11332206,393026784,19413400,4651,265634,13186,701358,3310712,17766040,1510067584,12032802,31795,215029328,966023,720988,413176,66137872,494200,1364757,2772958,14718,10693,2804,26828714,40165,358.5,1045765,158795,12425,4531,384910304,358.5,373540,148391,5125,5592,1668309,4644,873966,5707,257588,5635,98248,4548,332752,1802865,4642,358.5,36867,358.5,7404,4701,3427,358.5,358.5,358.5,358.5,6947,358.5,3176,21928,358.5,358.5,358.5,358.5,358.5,358.5,13575,231689,358.5
"160711-58","plasmaD21",113799600,38758608,4634356736,5773764,14702687,7918168,83583200,44100860,49652,42441748,62086712,28413348,38938228,52547712,225078256,937584064,251799920,14726,28738306,1101546624,2424756,1577961,113348400,30867800,3045184,13103558,111979552,26519952,31622676,723565,228003872,449139,3366465,41498,698101888,1119172608,12485299,220522,123116280,22859344,1277545,175794864,1692853,2430324,11479258,22403176,822550,10077563,247100080,5523368,2318172,868155,330452320,6821606,37059,77243872,144163728,708843,5949072,26380858,94204712,16539,626882,2057368,2606874,449001,5636700,1024810496,14629319,14137,451256,3579,919359,2846790,15930502,1229305088,11080684,18002,249220592,487816,2176332,154595,74729296,191479,2538325,1600649,2864,9367,6276,37369532,71861,2284,610527,264874,42807,294721,397274624,358.5,1565026,18047,4827,9416,931667,358.5,171974,4216,24746,3670,137691,358.5,284986,1701436,739421,358.5,4113,358.5,358.5,358.5,358.5,358.5,5906,358.5,358.5,5151,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,120760,358.5
"160711-67","plasmaD21",75219480,14907344,7362744320,5065952,17356432,8052114,26185732,23769674,17016,16205915,61807044,24764854,31084546,23828884,85757040,950749248,96214808,57539,30558744,688774144,2922350,1267245,101606912,31502408,796706,5050827,33789984,4416686,18079782,197259,219093936,46938,3484749,4917,539225664,328177728,6229284,55958,28588344,12114491,1152260,2137482,1618745,558192,3741153,32522524,510790,6039689,70121080,3444038,735524,760650,230248,3000681,15066,60027236,138251056,123107,2234684,17595986,38796728,7041,322608,268620,6462656,598931,5450136,559184320,9285758,4722,379764,3084,427088,2204925,11528088,672213376,5966024,15793,188328080,467643,41600,5545,58580128,145422,417287,1376979,10259,2046,6262,6565200,23156,358.5,1579350,82396,6153,501709,381465120,358.5,650947,68698,358.5,5888,1598201,358.5,587892,358.5,10279,59654,286335,358.5,5494,1483355,250673,358.5,16898,358.5,358.5,358.5,2906,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,358.5,236723,358.5
