"","LIPPOS16JULY_04-D21_M26","LIPPOS16JULY_10-D21_M3","LIPPOS16JULY_17-D21_M10","LIPPOS16JULY_18-D21_M6","LIPPOS16JULY_22-D21_M5","LIPPOS16JULY_23-D21_M7","LIPPOS16JULY_24-D21_M21","LIPPOS16JULY_34-D21_M15","LIPPOS16JULY_36-D21_M24","LIPPOS16JULY_44-D21_M1","LIPPOS16JULY_45-D21_M2","LIPPOS16JULY_46-D21_M23","LIPPOS16JULY_48-D21_M8","LIPPOS16JULY_50-D21_M19","LIPPOS16JULY_51-D21_M22","LIPPOS16JULY_53-D21_M27","LIPPOS16JULY_55-D21_M20","LIPPOS16JULY_65-D21_M12","LIPPOS16JULY_69-D21_M18","LIPPOS16JULY_79-D21_M11","LIPPOS16JULY_81-D21_M13","LIPPOS16JULY_84-D21_M4","LIPPOS16JULY_88-D21_M25","LIPPOS16JULY_94-D21_M16","LIPPOS16JULY_08-D35_M4","LIPPOS16JULY_11-D35_M6","LIPPOS16JULY_14-D35_M2","LIPPOS16JULY_16-D35_M16","LIPPOS16JULY_19-D35_M12","LIPPOS16JULY_20-D35_M18","LIPPOS16JULY_25-D35_M1","LIPPOS16JULY_35-D35_M19","LIPPOS16JULY_37-D35_M23","LIPPOS16JULY_42-D35_M13","LIPPOS16JULY_56-D35_M22","LIPPOS16JULY_57-D35_M10","LIPPOS16JULY_58-D35_M11","LIPPOS16JULY_59-D35_M20","LIPPOS16JULY_60-D35_M3","LIPPOS16JULY_62-D35_M24","LIPPOS16JULY_67-D35_M21","LIPPOS16JULY_68-D35_M27","LIPPOS16JULY_73-D35_M26","LIPPOS16JULY_74-D35_M5","LIPPOS16JULY_83-D35_M15","LIPPOS16JULY_86-D35_M7","LIPPOS16JULY_87-D35_M25","LIPPOS16JULY_92-D35_M8","LIPPOS16JULY_03-D7_M7","LIPPOS16JULY_05-D7_M27","LIPPOS16JULY_06-D7_M23","LIPPOS16JULY_09-D7_M8","LIPPOS16JULY_12-D7_M18","LIPPOS16JULY_13-D7_M25","LIPPOS16JULY_15-D7_M16","LIPPOS16JULY_21-D7_M10","LIPPOS16JULY_26-D7_M19","LIPPOS16JULY_28-D7_M12","LIPPOS16JULY_39-D7_M21","LIPPOS16JULY_41-D7_M20","LIPPOS16JULY_43-D7_M6","LIPPOS16JULY_47-D7_M13","LIPPOS16JULY_52-D7_M11","LIPPOS16JULY_54-D7_M3","LIPPOS16JULY_61-D7_M2","LIPPOS16JULY_64-D7_M26","LIPPOS16JULY_70-D7_M24","LIPPOS16JULY_71-D7_M15","LIPPOS16JULY_75-D7_M22","LIPPOS16JULY_82-M1_D7","LIPPOS16JULY_85-D7_M4","LIPPOS16JULY_89-D7_M5","LIPPOS16JULY_02-M21","LIPPOS16JULY_07-M3","LIPPOS16JULY_27-M11","LIPPOS16JULY_29-M20","LIPPOS16JULY_30-M4","LIPPOS16JULY_31-M22","LIPPOS16JULY_32-M5","LIPPOS16JULY_33-M13","LIPPOS16JULY_38-M19","LIPPOS16JULY_40-M1","LIPPOS16JULY_49-M27","LIPPOS16JULY_63-M16","LIPPOS16JULY_66-M23","LIPPOS16JULY_72-M26","LIPPOS16JULY_76-M10","LIPPOS16JULY_77-M8","LIPPOS16JULY_78-M2","LIPPOS16JULY_80-M12","LIPPOS16JULY_90-M24","LIPPOS16JULY_91-M7","LIPPOS16JULY_93-M6","LIPPOS16JULY_95-M18"
"Label","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D21","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D35","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","D7","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM","TUM"
"ACar 14:0; [M]+"," 39001","  9299"," 12477","  6056"," 35870"," 11504"," 18137"," 10430"," 30732","  8982","  5973"," 34369","  9976"," 18305","295457","  8281"," 14724","  4381"," 23437"," 10901"," 29613"," 11848"," 12290"," 18213"," 27498"," 23920"," 16698"," 25387"," 12961"," 25131","  9083"," 17897"," 11912"," 13677"," 13849"," 11378"," 21021"," 32089"," 15188"," 20068"," 18496"," 14684","  7279"," 10514"," 11667"," 10478","  9205"," 14149"," 12747"," 30693"," 60892"," 14035"," 44217"," 37627"," 45733"," 14412"," 30203"," 17317"," 23006"," 60000"," 35321"," 19865"," 13007"," 13161"," 14872"," 14354"," 16291"," 11522","  9883"," 14845"," 37672"," 15572"," 18807"," 20859"," 72616"," 10711"," 37523"," 28781"," 71974"," 12851"," 58011"," 40561"," 17143"," 26146"," 16934"," 24561"," 75229"," 51426"," 31342"," 33753"," 20288"," 15245"," 81311","145784"
"ACar 14:1; [M]+"," 28432"," 15831"," 18162","  8721"," 44039"," 14491"," 12196"," 11703"," 26282"," 10519","  5652"," 31631"," 10813"," 24404","147100","  8329"," 17368","  4836"," 33459","  9236"," 24003"," 12561"," 13314"," 19221"," 42258"," 30039"," 21382"," 38369"," 17166"," 35574"," 15225"," 22607"," 12554"," 11655"," 19011"," 12688"," 24454"," 32185"," 22681"," 22428"," 25626"," 15862","  8496"," 12600"," 15746","  9917"," 11345"," 12861","  9588"," 24161"," 46178"," 15086"," 38044"," 35218"," 46114","  9704"," 29159"," 14076"," 25380"," 56252"," 38005"," 17953"," 16939"," 12173"," 13387"," 14382"," 13919"," 16998","  9344"," 51322"," 34639"," 18562","  3274","  3652","  7992","  2363","  7467","  5037","  7899","  2479","  5907","  5261","  2611","  3086","  2740","  4047","  8188","  5578","  3132","  4196","  2899","  1772"," 11349","    54"
"ACar 15:0; [M]+"," 631100"," 846682","1149926"," 678976","1080404"," 823010"," 444145"," 779832","1001902","1077321"," 633035","1108670"," 570818","1006182"," 824488"," 717973","1136200"," 437864"," 815181"," 853942"," 951405"," 660391"," 481175"," 883989","1032330"," 872077"," 990797"," 909964"," 988385","1318965"," 620086"," 541080"," 953559","1061336"," 763552"," 607460","1308523","1082601"," 762732","1013326","1076976"," 493138"," 733403","1068925"," 911108"," 723793","1117166"," 731081","1066366"," 861520","1027167"," 602058"," 830997","1246060"," 973428"," 956408","1322806"," 628371","1082127"," 805367"," 953201"," 802614","1125589"," 702269"," 999362"," 683769"," 766596"," 807430"," 839053"," 646714"," 894931"," 566901"," 325843"," 249157"," 561460"," 240233"," 443800"," 276602"," 449420"," 529362"," 388946"," 309086"," 558929"," 430907"," 470036"," 372070"," 403052"," 338570"," 238029"," 323623"," 285259"," 204653"," 524595","  22335"
"ACar 16:0; [M]+"," 137299","  36559","  46020","  26116","  96555","  45926","  54131","  38708","  73325","  28965","  26519"," 118971","  41438","  36557","  49840","  23414","  42447","  18641","  51965","  44443","  68646","  34510","  34631","  54654","  82433","  58629","  53043","  68925","  33420","  67393","  46559","  53987","  37565","  43955","  51047","  44357","  85389","  77462","  34142","  50490","  42107","  46103","  33325","  52910","  34458","  41337","  20845","  47042","  84628"," 140644"," 179649","  51244"," 126994","  98141"," 131226","  51894"," 116043","  63979","  73516"," 171197"," 111653","  59219","  45549","  45078","  52217","  34929","  52022","  38007","  25105","  33524","  77899","  60468"," 346566"," 378551","1368598"," 167303"," 531465"," 589711"," 891238"," 260424"," 976671"," 599994"," 352648"," 489494"," 192833"," 479922","1366564","1242387"," 605368"," 483661"," 384024"," 320588","1021367","    485"
"ACar 16:1; [M]+"," 78323"," 17917"," 14641","  9692"," 62303"," 17637"," 23438"," 17776"," 49099"," 16385","  7362"," 36997"," 15005"," 34518"," 24452"," 10785"," 16590","  5912"," 56382"," 13124"," 26760"," 19530"," 19987"," 29854"," 50376"," 48062"," 36402"," 52733"," 16600"," 41628"," 20913"," 28131"," 18175"," 15330"," 20894"," 14987"," 33223"," 41242"," 23881"," 35885"," 19071"," 22753","  8267"," 18504"," 15658"," 18192"," 12474"," 21328"," 13605"," 54135","101145"," 21964"," 72281"," 45502"," 92139"," 23600"," 61110"," 29430"," 31545","109521"," 71824"," 31178"," 23544"," 23682"," 20439"," 29136"," 24067"," 13158"," 10905"," 64585"," 61001"," 27484"," 10445"," 13453"," 51610"," 10466"," 31783"," 19751"," 56421","  8690"," 49097"," 32439"," 12064"," 20549"," 14260"," 21693"," 56911"," 37958"," 26209"," 24241"," 18521","  9183"," 60705","   107"
"ACar 18:0; [M]+","  28167","  11595","  16257","   7065","  18506","  11185","  13039","  13367","  25297","  11132","   9854","  28972","  16010","  13047","  16442","   8453","  16127","  10115","  18097","  16894","  26301","  12608","  14279","  17037","  17675","  19619","  16223","  25813","   9618","  31274","  12139","  17866","  11275","  20449","  13202","  11938","  41346","  22182","  10969","  19699","  10274","  15012","   8695","  17072","  14919","  14437","   8717","  17003","  24147","  37501","  42852","  19188","  25891","  28226","  27734","  19575","  29166","  19358","  25914","  43313","  27557","  27164","  15489","  10051","  16763","  15121","  17283","  15191","   7321","  12760","  14854","  16502"," 299668"," 492108","1335482"," 136552"," 689708"," 864729"," 656990"," 303714"," 940464"," 529422"," 236569"," 382629"," 254407"," 523550"," 964021","1020809"," 435749"," 456090"," 622135"," 454159"," 702817","  10329"
"ACar 18:1; [M]+","220654"," 91044"," 77430"," 46266","221654"," 67211","105709","105118","143396"," 76117"," 54398","199575"," 98545","133154"," 83539"," 55202","121340"," 42506","159462"," 87034","157011","130529"," 81561","128784","173071","140610","125946","198312"," 53926","221562"," 82560","123027"," 80277","106296"," 79538"," 74357","124838","137535","121196"," 96714"," 91718"," 84672"," 39753","109705"," 87653"," 65128"," 58371","103289"," 70694","193314","280620"," 80188","243098","204418","262313"," 90466","208827","103296","156689","403791","218507","161916","107722","118167","106230"," 99830","121459"," 65336"," 37175","160807","169077","145146","159604","168351","488491","106960","447238","247800","706266"," 96684","578602","435569","137014","236816"," 96876","222766","639627","392267","313859","218303","190949","128729","631200"," 25922"
"ACar 18:2; [M]+"," 39766"," 18829"," 25545","  4772"," 51941"," 25024"," 17737"," 22262"," 27130"," 22114","  8852"," 36966"," 11059"," 29137"," 32589"," 16314"," 19200"," 10223"," 30784"," 24402"," 26149"," 22218"," 14746"," 34688"," 63284"," 20492"," 34399"," 50845"," 10646"," 45301"," 35246"," 52570"," 21808"," 17179"," 16886"," 13371"," 27853"," 40818"," 24071"," 34279"," 19640"," 21860"," 12244"," 21859"," 23634"," 17447","  9230"," 25386"," 23574"," 33389"," 80124"," 19238"," 66722"," 33500"," 61623"," 25812"," 51202"," 10172"," 22154"," 97949"," 65951"," 31256"," 22822"," 18943"," 31300"," 23207"," 19105"," 20238","  6416"," 14469"," 50495"," 30976"," 21707"," 27511","115368"," 18880"," 82649"," 43628","123302"," 19454","117394"," 71256"," 14694"," 42339"," 27084"," 37294"," 76329"," 67900"," 59789"," 33183"," 33878"," 18126"," 87964","   168"
"ACar 20:0; [M]+","   957","  1630","  2893","  1286","  1952","  1043","   795","  1205","  1497","  1399","  1676","  2528","   939","   882","   928","   927","  1881","  1080","   826","  1866","   768","  1075","   681","   993","   633","   913","  1678","  1396","  1432","  1688","   903","  1019","   587","  1290","  1276","  1426","  3566","   919","  1355","  1579","   963","   931","   657","  2589","  1972","  1098","  1284","  1256","   690","  1052","  1702","   996","  2310","  1296","  1100","  2155","  2775","  1403","  1326","  2014","  1048","  1744","  1193","   856","  1856","   924","   962","   880","   399","  1019","  1050","   850"," 33613"," 70689","217586"," 15005","178416","127750"," 74128"," 39185","151018"," 83951"," 22007"," 51988"," 28250"," 51820","114711","114424"," 54996"," 73594","118889"," 75559"," 76076"," 85177"
"ACar 20:1; [M]+","  1330","   602","  1851","  2748","  1745","  1322","  2356","  1330","  3961","  3335","  1933","  6532","   694","  1295","  2703","  1428","  2269","  1591","  1717","  3129","  4903","  3687","  2781","  2059","  6520","  3109","  1398","  7041","  4130","  8255","  2387","  5776","  4779","  3471","  6443","  1929","  8172","  4250","  4892","   881","  1021","  1820","  1264","  2029","  1723","  2602","  2799","  2271","  4246","  5025","  1697","  1195"," 12303","  3301","  3986","  4551","  7338","  3086","  4109"," 10850","  4188","  3101","  3770","  3737","  3207","  2026","  1419","  2206","   868","   325","  3930","  5608"," 77744"," 97665","201003"," 52566","134113","199482","200218"," 55930","211278","115870","111512"," 84311"," 34521","108835","237768","199028","143099"," 48683","133295"," 96951","227441","  7466"
"ACar 20:2; [M]+","  1407","  3900","  1051","  1508","  3520","  2279","  1597","  2444","  2871","  1508","  1865","  1371","   302","  1915"," 34260","   780","  1029","  1715","   606","  2134","  2551","  2583","   445","  3183","  2650","  2013","  1459","  5023","  2891","  2271","  1859","  1746","  2158","  2118","  1806","  2067","  4119","  4098","  1408","  2437","  1727","   447","   921","  1110","  1651","   557","  1381","  2887","   448","  1824","  3165","  2056","  2418","  3111","  2803","  2078","  1057","  1790","  2167","  5797","  3699","  1397","   802","  1308","  3502","  1373","   874","  1675","   510","  1298","  1359","  3480"," 21480"," 34664"," 85859"," 12497"," 56851"," 61307","111227"," 13998"," 84403"," 50446"," 31753"," 39268"," 11865"," 40978"," 82735"," 74076"," 60971"," 22016"," 34053"," 26372","103718","   115"
"ACar 20:4; [M]+"," 9703","17483"," 6087"," 8010","17027"," 5025"," 7637","13735"," 6162"," 6724","10245"," 9052"," 4975","14496","12013"," 6941","14332"," 3888","24039"," 5278"," 8797","12336"," 8542","14636","29931","29847","23529","41226","14655","46355","16692","27955","12309"," 7035","10466","10922","16931","31352","16869","10456","17444","14995"," 8872","24730","14140"," 8272"," 8684"," 7346"," 9395","18382","10719"," 5150","29985","11697","23618"," 6722","19535"," 8195"," 9929","23195","15487"," 5395"," 6891","12273","14681"," 4388"," 7443","13933"," 2527","22034","18994","10868","30630","34137","88103","11130","83803","45502","58446","21159","86100","52183"," 6720","33278","23198","21626","64113","33219","29743","31839","48760","20741","69475"," 7072"
"ACar 22:0; [M]+","  487","  397","  973","   29","  149","  342","  362","  310","  414","  298","  244"," 1425","   57","  160","  609","  241","  152","  283","  257","  134","  624","  329","  110","  308","  177","  869","  423"," 1040","  537","  611","  440","  329","  117","  327","  889","  303","  760","  163","  117","  690","  277","  224","  163","  653","  308","  366","  967","  290","  662"," 1010","  637","  418","  614","  668","  353","  625","  607","  339","  225","   69","  373","  430","  470","  285","  209","  671","  645","  349","  268","  419","  646","  240"," 9310","13270","69078"," 3604","65117","25275","14924"," 8548","37837","19217"," 3592","11875"," 7821","10562","17789","15243"," 9590","15970","31006","16073","11224"," 1552"
"ACar 22:1; [M]+","  271","  403","  134","  223","  543","  310","   99","  430","  108","  117","  431","  855","  344","  726","  710","   92","  807","  324","  876","  556","  671","  509","  606","  357","  544","  296","  254","  600","  425"," 1529","  536","  221","  240","  479","  590","  612","  402","  437","  439","  368","  180","  283","  455","  540"," 1373","  144","  546","  316","  144","  712","  592","  521","  855","  614","  861","  358","  902","  694","  535"," 1154","  824","  234","  625","  122","  917","  220","  168","  747","   68","  175","  675","  683","18075","18068","58155"," 7893","63235","51662","26130","14065","39927","18715","15779","13101"," 8731","18543","33611","30671","23192"," 9041","42641","24556","31930","  281"
"ACar 22:2; [M]+","  494","  459","  450","  222","   49","   65","  874","  161","  392","  546","  124","  564","  182","   26"," 1738","  636","  288","  590","  300","  122","  479","  751","   57","  107","  619","  457","  275","  135","  267","  582","  396","  288","  531","  683","  352","  453","  550","  130","  210","  245","  206","  764","   34","  680","  629","  133","  436","  166","  724","  293","   80","  211"," 1180"," 1642","  488","  254","  595","  882","  813","  317","  627","  661","  836","   44","  192","   49","  558","  520","  329","   73","  221","  313"," 7346","13553","36678"," 6561","25366","25760","20681","10280","27190","13084","13649","11385"," 6172","17405","23200","20625","18368"," 5308","23047","13950","21709"," 1610"
"ACar 24:1; [M]+","  331","  682","  985","  330"," 1044","  416","  215","  495","  842","  453","  160","  483","  216","  309"," 1148","   55","  521","  460","  303","  151","  594","  262","  124","  521","  620","  788","  468","  668","  447"," 1200","  521","  531","  128","  541","  559","  702"," 1795"," 1019","  780","  686","  483","  139","  325","  410","  684","  394","  661","  525","  369","  909","  879","  484","  722"," 1390","  770","  639","  921"," 1088","  208","  174","  665","  663","  374","   50","  739","  411","  257","  141","   97","  476","   72","  636"," 7775"," 5946","33745"," 2049","36929","17194"," 8466"," 5523","  123"," 6804"," 3824"," 4766"," 3243","  262"," 8103","  181"," 5286"," 4568","16546"," 7424"," 8028"," 3555"
"ACar 26:4; [M]+","  157","   22","  365","   82","   94","  216","  116","   19","  147","  357","   55","   43","   36","  196","   58","  130","  282","   58","   84","   67","   52","   89","  128","   44","  199","   28","   77","  244","  104","  187","  105","  111","  232","  393","   97","   23","  209","   75","   71","   48","  119","   28","  107","  200","  418","   87","  391","   89","  133","   20","   69","   71","  367","  101","   90","  131","  219","  108","  393","   19","  132","  112","  557","   99","  307","   19","  318","   92","   27","   44","   33","   80"," 2169"," 1465","17572","  164","40188"," 6329"," 3807"," 1006"," 4542"," 2983","  265"," 1087"," 1479","  772"," 1344","  144","  883"," 1567"," 5548"," 3134"," 2021","42730"
"ACar 26:5; [M]+","    86","    43","   156","   124","   462","    78","    75","   114","    90","   206","   214","   123","    96","   150","112950","    49","   117","    51","   197","   141","   197","   181","   133","   150","    35","   329","   137","   103","    86","    36","    68","    28","   386","    62","    51","   149","    36","    66","   126","   158","    29","    53","    44","   120","    49","    26","   203","   255","    62","   339","    66","    56","   146","   364","   123","   215","    41","    84","    40","    25","   391","    31","    93","    40","    79","   140","    77","   130","    70","    90","    79","    61","    66","   232","   413","    73","   487","    84","   276","   230","   198","   736","   168","   118","   270","   329","    92","   260","    86","   357","   246","    71","    77","  3749"
"BMP 36:2; BMP 18:1-18:1; [M+NH4]+","   139","   526"," 17267","  8531"," 12284"," 10109","  6790","   205","    93","  1353","   337"," 30235","    52","    97","   326","   375"," 11616","   159","   640","  1353","   398","   453","   109","   341"," 20752"," 19035"," 19712"," 21798"," 12859"," 49458"," 13638"," 26407","   289","   168","   122","    24","  1537","   587","   548"," 11389","    63","   171","   185","    86","  1509","   439","   636","   365","    82","   454"," 17238","   131"," 16844"," 25289"," 10740","  8902","   672"," 17861","   123","   132","   135"," 13313","   718","    34","   761","   612","  1843","    55","    79","   319","  1407","   441","  2377","292378","308095"," 45788","244367","121202","138695"," 55754","  3036"," 84141"," 70578"," 63768","  3041","139055","197269","  4937","  9023","  5957","273034"," 58307","  5474"," 89535"
"BMP 36:3; BMP 18:1-18:2; [M+NH4]+","    39","   146","   150","    32","   284","   154","    27","   162","    93","    93","    83","   449","    67","    55","   304","    62","    78","   109","    89","   175","    69","    49","   312","    72","   102","   216","   642","   512","   454","   482","   119","   146","    69","    53","   108","   102","   207","    23","    52","   223","   101","    45","    41","   276","   194","   171","    53","   228","    74","   254","    81","   294","   322","   146","   236","    60","   377","   290","   222","    51","   220","   360","   128","    17","    82","   121","    20","   117","    25","    86","    44","   217"," 46112"," 59980","119427"," 39140","  6279","110280","148091"," 77956"," 72497"," 80287"," 49778"," 64869"," 37290"," 84816"," 77995","185180"," 66358"," 45380"," 57741"," 57051","114872"," 57391"
