"Metabolite"	"avgchange_PA+AL_Day 35"	"avgchange_PA+AL_Day 7"	"avgchange_PA+ER_Day 35"	"avgchange_PA+ER_Day 7"	"avgchange_SED+AL_Day 35"	"avgchange_SED+AL_Day 7"	"avgchange_SED+ER_Day 35"	"avgchange_SED+ER_Day 7"	"sechange_PA+AL_Day 35"	"sechange_PA+AL_Day 7"	"sechange_PA+ER_Day 35"	"sechange_PA+ER_Day 7"	"sechange_SED+AL_Day 35"	"sechange_SED+AL_Day 7"	"sechange_SED+ER_Day 35"	"sechange_SED+ER_Day 7"
"2-Aminobenzoic acid"	0.296	0.839	0.374	0.782	0.371	0.957	0.06	0.39	0.082	0.39	0.064	0.427	0.1	0.159	0.37	0.041
"Allantoic acid"	0.927	0.265	0.829	0.391	1.259	0.517	0.506	0.494	0.121	0.676	0.094	0.355	0.099	0.146	0.524	0.143
"D-Glucose"	1.169	-0.41	1.155	0.4	1.239	0.936	0.755	1.033	0.108	0.938	0.09	0.298	0.07	0.159	0.6	0.238
"D-Glucose 1,6-bisphosphate"	-0.55	-1.076	-0.495	-0.683	-1.112	-0.615	-0.349	-0.816	0.217	0.155	0.131	0.337	0.082	0.18	0.711	0.144
"D-Ribose"	1.05	0.267	1.084	0.475	1.023	0.874	0.507	0.993	0.11	0.44	0.059	0.246	0.051	0.164	0.729	0.117
"DL-O-Phosphoserine"	-0.126	0.313	-0.034	0.425	-0.381	0.199	0.443	-0.563	0.158	0.309	0.254	0.248	0.283	0.167	0.35	0.153
"Homocysteine"	0.876	0.251	0.688	0.202	0.91	0.672	0.688	0.22	0.105	0.221	0.172	0.357	0.115	0.299	0.394	0.147
"L-Alanine"	0.659	-0.796	0.777	-0.615	0.665	-0.078	0.135	-0.477	0.258	0.845	0.176	0.263	0.156	0.16	0.446	0.178
"L-Arginine"	0.708	1.286	0.648	0.126	0.662	0.214	0.043	0.276	0.134	0.621	0.051	0.067	0.11	0.367	0.38	0.05
"L-Asparagine"	0.673	-0.919	0.392	-0.807	0.437	0.25	0.408	-0.398	0.16	1.02	0.125	0.328	0.127	0.254	0.233	0.172
"L-Cystathionine"	0.564	0.158	0.79	0.115	0.756	1.007	0.658	0.364	0.197	0.576	0.148	0.226	0.173	0.323	0.416	0.146
"L-Histidine"	-0.077	-0.748	0.131	-0.521	0.075	-0.15	-0.375	-0.352	0.106	0.564	0.111	0.176	0.087	0.309	0.672	0.153
"L-Homoserine"	0.8	-0.346	0.667	-0.319	0.796	0.388	0.407	0.183	0.161	0.89	0.125	0.396	0.143	0.15	0.388	0.112
"L-Lysine"	0.222	0.735	0.122	-0.797	0.174	0.063	0.131	-0.354	0.093	0.526	0.188	0.129	0.148	0.353	0.247	0.347
"L-Methionine"	0.37	-0.262	0.18	-0.536	0.62	0.089	0.34	-0.346	0.214	0.745	0.229	0.23	0.077	0.178	0.276	0.069
"L-Phenylalanine"	-0.022	0.591	-0.177	-0.471	0.172	-0.425	-0.099	-0.254	0.178	0.73	0.091	0.264	0.134	0.211	0.176	0.094
"L-Proline"	0.074	-0.473	0.467	-0.397	-0.182	-0.044	0.253	-0.208	0.254	0.741	0.245	0.236	0.193	0.131	0.186	0.152
"L-Serine"	0.686	-0.684	0.742	-0.387	0.681	0.311	0.62	0.193	0.169	0.924	0.117	0.336	0.157	0.291	0.299	0.203
"N-Acetylglutamic acid"	-0.112	0.064	0.364	-0.284	-0.079	-0.035	-0.069	-0.239	0.323	0.182	0.174	0.199	0.14	0.152	0.138	0.374
"Pantothenic acid"	0.075	-0.401	0.165	-0.001	0.16	-0.101	0.259	-0.199	0.133	0.213	0.113	0.12	0.108	0.103	0.17	0.037
"Phenyllactic acid"	0.453	0.421	0.939	0.38	0.246	0.494	-0.28	-0.001	0.162	0.205	0.178	0.101	0.101	0.161	0.504	0.121
"Phosphoenolpyruvic acid"	0.346	-0.386	-0.236	0.574	0.197	-0.349	-0.099	0.815	0.485	0.554	0.389	0.717	0.363	0.377	0.344	0.108
"Pipecolic acid"	0.106	1.089	0.109	0.219	0.502	0.843	0.237	0.427	0.212	0.233	0.122	0.252	0.21	0.129	0.435	0.084
"Succinic acid"	0.252	0.65	0.649	0.549	0.158	0.798	0.167	0.143	0.194	0.456	0.119	0.106	0.12	0.07	0.342	0.243
"Taurine"	0.244	-0.786	0.244	-0.204	0.511	0.408	0.323	-0.388	0.095	0.719	0.16	0.173	0.077	0.069	0.239	0.109
"Uridine"	1.15	0.427	0.686	0.04	1.084	0.503	0.691	0.336	0.206	0.102	0.171	0.389	0.113	0.178	0.365	0.122
