lipid,group,LIPPOS16JULY_02.M21,LIPPOS16JULY_03.D7_M7,LIPPOS16JULY_04.D21_M26,LIPPOS16JULY_05.D7_M27,LIPPOS16JULY_06.D7_M23,LIPPOS16JULY_07.M3,LIPPOS16JULY_08.D35_M4,LIPPOS16JULY_09.D7_M8,LIPPOS16JULY_10.D21_M3,LIPPOS16JULY_11.D35_M6,LIPPOS16JULY_12.D7_M18,LIPPOS16JULY_13.D7_M25,LIPPOS16JULY_14.D35_M2,LIPPOS16JULY_15.D7_M16,LIPPOS16JULY_16.D35_M16,LIPPOS16JULY_17.D21_M10,LIPPOS16JULY_18.D21_M6,LIPPOS16JULY_19.D35_M12,LIPPOS16JULY_20.D35_M18,LIPPOS16JULY_21.D7_M10,LIPPOS16JULY_22.D21_M5,LIPPOS16JULY_23.D21_M7,LIPPOS16JULY_24.D21_M21,LIPPOS16JULY_25.D35_M1,LIPPOS16JULY_26.D7_M19,LIPPOS16JULY_27.M11,LIPPOS16JULY_28.D7_M12,LIPPOS16JULY_29.M20,LIPPOS16JULY_30.M4,LIPPOS16JULY_31.M22,LIPPOS16JULY_32.M5,LIPPOS16JULY_33.M13,LIPPOS16JULY_34.D21_M15,LIPPOS16JULY_35.D35_M19,LIPPOS16JULY_36.D21_M24,LIPPOS16JULY_37.D35_M23,LIPPOS16JULY_38.M19,LIPPOS16JULY_39.D7_M21,LIPPOS16JULY_40.M1,LIPPOS16JULY_41.D7_M20,LIPPOS16JULY_42.D35_M13,LIPPOS16JULY_43.D7_M6,LIPPOS16JULY_44.D21_M1,LIPPOS16JULY_45.D21_M2,LIPPOS16JULY_46.D21_M23,LIPPOS16JULY_47.D7_M13,LIPPOS16JULY_48.D21_M8,LIPPOS16JULY_49.M27,LIPPOS16JULY_50.D21_M19,LIPPOS16JULY_51.D21_M22,LIPPOS16JULY_52.D7_M11,LIPPOS16JULY_53.D21_M27,LIPPOS16JULY_54.D7_M3,LIPPOS16JULY_55.D21_M20,LIPPOS16JULY_56.D35_M22,LIPPOS16JULY_57.D35_M10,LIPPOS16JULY_58.D35_M11,LIPPOS16JULY_59.D35_M20,LIPPOS16JULY_60.D35_M3,LIPPOS16JULY_61.D7_M2,LIPPOS16JULY_62.D35_M24,LIPPOS16JULY_63.M16,LIPPOS16JULY_64.D7_M26,LIPPOS16JULY_65.D21_M12,LIPPOS16JULY_66.M23,LIPPOS16JULY_67.D35_M21,LIPPOS16JULY_68.D35_M27,LIPPOS16JULY_69.D21_M18,LIPPOS16JULY_70.D7_M24,LIPPOS16JULY_71.D7_M15,LIPPOS16JULY_72.M26,LIPPOS16JULY_73.D35_M26,LIPPOS16JULY_74.D35_M5,LIPPOS16JULY_75.D7_M22,LIPPOS16JULY_76.M10,LIPPOS16JULY_77.M8,LIPPOS16JULY_78.M2,LIPPOS16JULY_79.D21_M11,LIPPOS16JULY_80.M12,LIPPOS16JULY_81.D21_M13,LIPPOS16JULY_82.M1_D7,LIPPOS16JULY_83.D35_M15,LIPPOS16JULY_84.D21_M4,LIPPOS16JULY_85.D7_M4,LIPPOS16JULY_86.D35_M7,LIPPOS16JULY_87.D35_M25,LIPPOS16JULY_88.D21_M25,LIPPOS16JULY_89.D7_M5,LIPPOS16JULY_90.M24,LIPPOS16JULY_91.M7,LIPPOS16JULY_92.D35_M8,LIPPOS16JULY_93.M6,LIPPOS16JULY_94.D21_M16,LIPPOS16JULY_95.M18
ACar,1,1394122,1322222,1217965,1404923,1838233,1643331,1530853,834159,1073377,1252097,1499144,1752876,1324588,1674502,1427824,1375403,802226,1167696,1849542,1209599,1637857,1027084,702658,865718,1882506,4809809,903668,805010,2956138,2636384,3481813,1403582,1019439,895169,1393647,1168592,3757708,1460076,2387577,1791004,1306276,1549453,1266478,768592,1619127,1164933,781505,1540941,1315459,1641024,1386272,860030,962338,1405674,1000508,809122,1703187,1508623,1041127,1280259,1310437,1883143,924949,544518,1200720,1326357,733768,1217972,1043463,1008553,1957035,864304,1345150,950365,4173387,3644766,2059691,1073554,1789993,1329524,1024979,1137790,925997,1367627,914408,1264705,685590,904430,2011984,1437286,987540,3673007,1208798,358491
BMP,2,73352,1286,760,1804,18403,488573,21409,1379,1668,20638,17754,26278,21794,12470,23768,18129,9227,13984,51511,9690,13597,10887,7464,14609,1817,674444,19222,100738,356451,376436,583475,236809,1314,27653,767,1196,376918,1442,297803,1376,987,2407,2580,1021,31648,14802,466,162151,846,2859,1504,1017,767,12421,1281,1048,3015,2135,1155,1651,12483,292493,1928,755,91397,964,1265,1812,2452,1220,372497,1000,1828,669,473991,439593,268455,2503,145995,1425,1552,2783,1171,2593,1303,2416,774,2247,418104,240087,1399,499926,2194,645598
CE,1,91865,1805961,1442339,2423449,1396543,39595,1438662,991223,1635904,2473155,2894734,2823140,1659077,1283248,1585701,1449733,786175,1059287,2568250,1684158,2312927,1428349,1193241,2100910,1883296,276163,1728551,18410,172626,9849,46235,37971,1348396,1175250,1369217,1751544,146779,1769961,36122,2185208,1100746,1731900,1248959,1430769,1364073,1805512,1472203,13635,1470345,909975,1703350,997795,1215697,1964051,1487622,1672307,1592580,1205791,1051607,1610698,1137252,130388,1086247,1416516,15533,1125023,1248538,831416,1546468,1617130,18865,1091330,1080439,1294148,47020,37642,48074,1279732,419223,1690136,1191329,1745353,1601342,1587225,1014895,1161067,1099297,1825215,108180,61145,1413891,321027,1673580,228845
Cer-AP,2,985,0,849,869,365,33135,301,304,306,588,0,258,117,663,161,372,239,64,105,407,106,70,97,125,350,4180,444,856,23455,36252,111730,56369,64,63,295,153,789,39,88980,288,258,409,0,56,351,256,0,60958,421,244,106,90,85,127,197,221,806,175,70,619,231,32277,328,0,4030,258,716,218,157,95,53631,1209,91,92,1023,35026,3316,257,801,239,188,0,747,518,141,668,85,600,4129,15659,111,21890,107,9921
Cer-EOS,1,146194,8577,11517,6709,18851,382812,10288,8664,21485,17455,8387,22333,17490,33405,18782,8834,19544,9154,8092,13087,12666,11794,4118,8524,24676,98015,9932,198226,233712,229453,543014,264361,23805,10332,29241,13539,276818,11201,424278,6516,15033,18360,15283,18895,13051,13054,2491,347176,7077,24742,10975,22174,9282,19291,20698,7041,13821,9399,18104,15085,15973,364411,35201,13230,270337,23400,7706,17153,4343,16831,266793,15686,14551,2161,260425,286045,344773,14359,154380,10388,19443,6637,26666,16907,6977,19509,11681,15779,136113,142028,13759,247844,14335,36889
Cer-NDS,2,189375,330262,206562,268895,313424,202075,306566,221185,278063,320652,278298,402027,402357,233243,245725,250727,231540,286309,305640,286665,378551,275336,243840,185746,296822,696811,238655,104379,529973,169717,208793,117160,301537,190197,290031,269144,246168,279093,215026,278723,221373,146341,192956,220955,331556,208331,214487,92166,247973,148948,242900,209271,187293,263390,228006,221617,253823,308909,254582,207049,328620,210464,154449,187751,84633,339800,197665,249758,221576,212175,118836,152725,236748,334304,132574,120610,92142,243613,374833,272690,149335,175103,170008,182414,195484,236821,209437,179337,429676,231511,207743,199760,263135,22780
Cer-NS,1,1303238,35315,27901,57154,50137,1789458,28750,40480,31056,52380,41117,66270,43762,75158,39037,36431,21031,34952,50041,37110,44726,32159,22612,18978,78295,4904679,44871,780370,4036621,1456564,1648481,1254383,34446,31396,39973,40136,2477352,39187,2003520,59339,34017,53225,29087,29346,44165,48488,17759,1033463,26310,45653,25955,27197,23036,37430,46883,24768,67866,36853,24027,40561,46269,1712743,45465,30292,1009806,56522,31832,28456,24835,50470,1353643,51030,39815,10326,1247408,1224734,803113,52543,2769789,40007,30827,32281,31496,46910,33308,47137,23241,42387,3404082,1493726,50621,1696219,40472,237949
Cholesterol;,2,6140,24039,29379,44995,50085,6183,15997,9504,28971,45121,44539,59107,68416,41718,38274,34719,11997,17514,27423,22003,28383,20680,19745,22793,34644,16494,31607,3946,8058,17451,6415,17817,22895,27811,27127,32522,11387,28337,6918,23241,26026,39392,22367,34662,30328,23586,16755,3338,14011,18648,24628,29739,14802,23019,42809,14998,42539,22138,16005,14371,32309,4053,31725,18289,15417,16524,33097,14339,13202,35083,15236,27298,21085,3177,14329,8332,7579,23380,9107,17345,24465,26018,14171,22277,22095,25681,39589,22959,10883,9048,21722,12209,26443,721607
DAG,1,4611821,91955,142952,97426,230367,7414455,151595,145368,198664,211977,146502,274145,205854,305855,225367,307013,194086,117583,156769,185692,132226,147000,79910,104172,444839,6468708,132460,4373566,7918345,5344969,27822568,11218698,238586,100578,244150,158283,8281416,282671,14416473,121776,347175,188184,281966,196937,345077,148097,40679,11953937,93358,248147,285209,287022,96932,376729,229071,87360,235251,138373,151397,313723,209568,7289626,401733,162466,7255474,248312,104686,202827,72686,155797,8967488,178124,375980,35598,9792726,9624279,8791455,175741,4988123,123206,168058,200581,255401,172484,96945,354836,121943,156012,6178593,4656432,181619,7028083,214068,2330777
DGCC,2,1032487,318009,171548,262945,229947,1108666,218369,147245,178101,202977,202744,359196,269573,196374,219742,252297,111648,263427,300859,172468,311779,145012,164572,152362,289682,1932022,162394,622986,1233103,1074378,1336340,1432445,169499,166742,219161,170289,70382,245414,1136912,198075,212847,198980,194416,145379,285856,180889,128867,1329107,181095,168659,226881,104820,102313,188541,160991,156392,329382,274661,174299,185439,258266,1103603,166779,122419,78019,295455,148612,191226,144908,210362,1456401,155047,275593,248236,95441,74574,1208125,169546,914868,258561,115614,177072,158547,215934,157126,224794,131654,122694,1177913,1076243,170332,1829981,212552,68154
