runID	mouseID	treatmentID	tumor	plasmaD7	plasmaD21	plasmaD35
160711	15-02-M1	SED_AL	90	102	94	75
160711	15-02-M2	SED_AL	34	15	95	64
160711	15-02-M3	SED_AL	55	8	58	14
160711	15-02-M4	SED_AL	80	40	39	56
160711	15-02-M5	SED_AL	82	44	72	28
160711	15-02-M6	SED_AL	48	93	68	59
160711	15-02-M7	SED_ER	46	51	73	41
160711	15-02-M8	SED_ER	33	57	"98, 100"	47
160711	15-02-M10	SED_ER	32	71	67	11
160711	15-02-M11	SED_ER	77	6	35	12
160711	15-02-M12	SED_ER	36	78	19	69
160711	15-02-M13	SED_ER	83	"97, 99"	37	92
160711	15-02-M15	EX_AL	NA	25	84	38
160711	15-02-M16	EX_AL	17	65	49	66
160711	15-02-M18	EX_AL	101	62	23	70
160711	15-02-M19	EX_AL	88	76	4	85
160711	15-02-M20	EX_AL	79	91	9	13
160711	15-02-M21	EX_ER	50	89	74	21
160711	15-02-M22	EX_ER	81	29	5	10
160711	15-02-M23	EX_ER	20	54	96	87
160711	15-02-M24	EX_ER	45	24	86	16
160711	15-02-M25	EX_ER	NA	63	43	42
160711	15-02-M26	EX_ER	26	18	52	27
160711	15-02-M27	EX_ER	3	53	7	22
