Metabolite,meanarea_EX_ER_7,searea_EX_ER_7,meanarea_EX_AL_7,searea_EX_AL_7,meanarea_SED_ER_7,searea_SED_ER_7,meanarea_SED_AL_7,searea_SED_AL_7,meanarea_EX_ER_21,searea_EX_ER_21,meanarea_EX_AL_21,searea_EX_AL_21,meanarea_SED_ER_21,searea_SED_ER_21,meanarea_SED_AL_21,searea_SED_AL_21,meanarea_EX_ER_35,searea_EX_ER_35,meanarea_EX_AL_35,searea_EX_AL_35,meanarea_SED_ER_35,searea_SED_ER_35,meanarea_SED_AL_35,searea_SED_AL_35
Acetoacetic acid,0.579,0.527,0.479,0.618,0.245,0.184,0.965,0.353,0.783,0.667,0.607,0.455,0.185,0.201,0.632,0.493,0.003,0.170,0.005,0.038,0.062,0.252,0.080,0.090
N-Acetyl-L-aspartic acid,-0.487,0.217,-0.407,0.122,-0.709,0.163,-0.524,0.138,-0.290,0.195,-0.652,0.133,-0.316,0.129,-0.655,0.159,-0.080,0.186,-0.538,0.264,0.003,0.284,-0.679,0.099
Acetyl-glycine,0.731,0.135,0.250,0.344,0.463,0.220,0.790,0.165,0.940,0.134,0.800,0.129,0.281,0.304,0.482,0.300,-0.346,0.298,0.638,0.137,0.218,0.363,0.837,0.089
N-Alpha-acetyllysine,-0.170,0.382,0.826,0.515,0.250,0.128,0.543,0.314,-0.131,0.305,0.860,0.208,0.621,0.147,0.572,0.076,0.534,0.140,0.616,0.128,0.267,0.463,0.842,0.112
Acetylphosphate,0.769,0.285,0.595,0.292,0.221,0.315,0.407,0.282,0.355,0.732,0.626,0.292,0.468,0.471,0.430,0.285,0.415,0.241,0.059,0.225,-0.067,0.397,-0.065,0.247
cis-Aconitic acid,0.603,0.223,0.321,0.288,0.236,0.152,0.015,0.066,0.558,0.185,0.038,0.059,0.406,0.100,0.240,0.173,0.295,0.209,0.706,0.210,0.039,0.319,0.435,0.185
ADP,-0.730,0.388,-1.003,0.334,0.070,0.586,-0.943,0.320,-0.807,0.424,-0.073,0.614,-0.473,0.510,-0.081,0.184,-1.129,0.170,-1.119,0.308,0.029,0.609,-0.608,0.294
ADP-glucose,-0.425,0.189,-0.576,0.211,-1.010,0.068,-0.499,0.080,-0.861,0.321,-0.554,0.069,-0.669,0.146,-0.691,0.179,-0.703,0.137,-0.767,0.103,-0.258,0.431,-0.833,0.192
L-Alanine,-0.615,0.263,-0.796,0.845,-0.477,0.178,-0.078,0.160,-0.907,0.145,0.340,0.185,-0.030,0.280,0.108,0.304,0.777,0.176,0.659,0.258,0.135,0.446,0.665,0.156
Allantoic acid,0.391,0.355,0.265,0.676,0.494,0.143,0.517,0.146,0.324,0.671,0.574,0.735,0.768,0.146,0.486,0.243,0.829,0.094,0.927,0.121,0.506,0.524,1.259,0.099
Oxoglutaric acid,1.030,0.350,0.853,0.507,1.275,0.222,0.594,0.135,0.995,0.441,0.393,0.085,1.136,0.161,0.420,0.172,0.843,0.077,0.281,0.168,0.044,0.562,0.393,0.054
Adenosine monophosphate,1.083,0.886,0.516,0.248,1.818,0.652,-0.504,0.817,0.284,0.866,-0.312,0.319,-0.539,0.441,-0.163,0.501,-0.998,0.475,-0.271,0.406,-0.174,0.560,0.079,0.639
2-Aminobenzoic acid,0.782,0.427,0.839,0.390,0.390,0.041,0.957,0.159,0.977,0.548,0.805,0.279,0.581,0.115,0.781,0.268,0.374,0.064,0.296,0.082,0.060,0.370,0.371,0.100
L-Arginine,0.126,0.067,1.286,0.621,0.276,0.050,0.214,0.367,-0.048,0.555,0.692,0.264,0.567,0.058,-0.067,0.482,0.648,0.051,0.708,0.134,0.043,0.380,0.662,0.110
Ascorbic acid,-0.878,0.147,-1.012,0.185,-1.176,0.112,-0.692,0.223,-1.012,0.275,-0.850,0.466,-1.115,0.205,-0.660,0.333,-0.907,0.163,-0.973,0.172,0.145,0.986,-0.980,0.145
L-Asparagine,-0.807,0.328,-0.919,1.020,-0.398,0.172,0.250,0.254,-0.974,0.573,0.802,0.304,0.129,0.225,0.429,0.377,0.392,0.125,0.673,0.160,0.408,0.233,0.437,0.127
CDP,0.289,0.106,0.280,0.269,-0.275,0.086,0.378,0.102,-0.085,0.410,0.307,0.089,0.160,0.186,0.533,0.432,0.117,0.175,0.036,0.132,0.580,0.385,-0.048,0.246
Citicoline,-0.598,0.608,-0.313,0.262,-0.409,0.522,-0.217,0.099,-0.240,0.559,-0.286,0.086,-0.429,0.181,-0.457,0.223,-0.471,0.171,-0.550,0.129,-0.271,0.253,-0.632,0.239
CDP-Ethanolamine,-0.742,0.260,-0.739,0.169,-1.078,0.413,-0.626,0.264,-0.560,0.277,-1.165,0.055,-1.255,0.115,-1.273,0.141,-0.393,0.381,-0.584,0.259,-0.222,0.596,-1.066,0.240
Chlorpropamide,0.273,0.632,0.893,0.232,0.394,0.099,0.503,0.266,-0.248,0.744,0.617,0.208,0.673,0.082,0.222,0.178,0.595,0.120,0.504,0.120,0.211,0.356,0.634,0.077
Citraconic acid,0.767,0.502,0.512,0.486,0.047,0.184,0.801,0.326,0.756,0.592,0.403,0.190,0.395,0.136,0.683,0.563,-0.222,0.317,0.004,0.149,-0.321,0.427,0.124,0.101
Isocitrate,-0.402,0.554,0.110,0.609,0.999,0.147,-0.491,0.789,0.790,0.238,-0.130,1.055,-0.146,0.815,0.695,0.259,-1.417,0.801,0.265,0.955,-0.891,0.973,0.148,0.791
Citrulline,0.202,0.382,0.080,0.682,0.627,0.092,0.820,0.089,0.195,0.557,1.197,0.028,1.082,0.071,0.731,0.165,0.898,0.073,0.861,0.079,0.249,0.705,1.027,0.080
Cytidine monophosphate,-0.039,0.426,-0.605,0.351,0.248,0.095,-1.078,0.633,0.101,0.490,-1.038,0.778,0.019,0.115,-0.953,0.411,0.433,0.338,-0.231,0.287,-0.038,0.498,-0.573,0.434
Cyclic AMP,0.607,0.450,0.560,0.394,-0.092,0.121,0.538,0.139,0.811,0.793,0.586,0.331,0.461,0.202,0.356,0.397,0.149,0.204,0.003,0.114,-0.276,0.323,0.196,0.122
L-Cystathionine,0.115,0.226,0.158,0.576,0.364,0.146,1.007,0.323,0.226,0.523,0.853,0.343,0.921,0.159,0.567,0.295,0.790,0.148,0.564,0.197,0.658,0.416,0.756,0.173
L-Cysteine,-0.158,0.459,-0.285,0.653,-0.156,0.112,-0.463,0.731,-0.136,0.274,-0.712,0.080,-0.281,0.547,-0.132,0.356,-0.275,0.344,0.259,0.290,-0.688,0.456,0.865,0.148
D-Sedoheptulose-1-7-phosphate,-0.282,0.409,-0.617,0.331,-0.929,0.146,-0.755,0.254,-0.455,0.520,-1.692,0.216,-1.209,0.178,-1.110,0.240,-0.681,0.202,-0.533,0.219,-0.492,0.727,-1.419,0.331
Deoxyadenosine monophosphate,-0.840,0.084,-0.874,0.180,-0.547,0.394,-0.809,0.068,-0.385,0.331,-0.856,0.059,-0.613,0.285,-0.973,0.153,-0.753,0.122,-0.736,0.340,-0.487,0.477,-0.826,0.279
dCMP,-0.730,0.209,-0.606,0.292,-1.017,0.337,-1.246,0.063,-0.261,0.115,-1.289,0.055,-1.165,0.309,-0.780,0.197,-0.527,0.215,-0.989,0.278,-0.233,0.668,-0.869,0.214
Deoxyribose 1-phosphate,-0.439,0.362,-0.285,0.128,-1.091,0.386,-0.287,0.668,0.121,0.274,-0.125,0.550,-1.435,0.137,-0.198,0.478,-0.793,0.278,-0.288,0.282,-0.542,0.568,-0.872,0.311
