"Metabolite"	"meanarea_EX_AL_7"	"meanarea_EX_AL_21"	"meanarea_EX_AL_35"	"meanarea_EX_ER_7"	"meanarea_EX_ER_21"	"meanarea_EX_ER_35"	"meanarea_SED_AL_7"	"meanarea_SED_AL_21"	"meanarea_SED_AL_35"	"meanarea_SED_ER_7"	"meanarea_SED_ER_21"	"meanarea_SED_ER_35"	"searea_EX_AL_7"	"searea_EX_AL_21"	"searea_EX_AL_35"	"searea_EX_ER_7"	"searea_EX_ER_21"	"searea_EX_ER_35"	"searea_SED_AL_7"	"searea_SED_AL_21"	"searea_SED_AL_35"	"searea_SED_ER_7"	"searea_SED_ER_21"	"searea_SED_ER_35"
"Acetoacetic acid"	0.478599595135722	0.606643446551693	0.00492820444885624	0.578527297844114	0.783228078171005	0.00300041731321357	0.964711605849594	0.63234081079255	0.0800044911068328	0.245157097051045	0.184946330037175	0.0619798710858242	0.617849165776836	0.45537413851979	0.0381139409428382	0.526671289996728	0.66663511867152	0.169807570138287	0.353250956160638	0.492673194129691	0.0902905481358746	0.184170486872989	0.200763302604427	0.251655433024199
"N-Acetyl-L-aspartic acid"	-0.406797246108874	-0.652290847706893	-0.538099556302613	-0.487399465246099	-0.290157371381742	-0.0797095660473645	-0.52417420335023	-0.655454781524358	-0.679017112802185	-0.709220065230359	-0.31641172792246	0.00251146573125287	0.121882590763274	0.132712237480319	0.264093489658357	0.217309085593148	0.195293414673497	0.186311304325596	0.138440949713236	0.159395962318529	0.0985315011576916	0.16275881617141	0.129231499198432	0.283511610745247
"Acetyl-glycine"	0.250334415273043	0.799524883038138	0.638349482538367	0.730998373141845	0.939840576156473	-0.34613387388411	0.789731592210966	0.482037449079103	0.836737903830873	0.463339804501708	0.281010799572402	0.217630282010417	0.343581829124285	0.128788636961041	0.136668449957236	0.135230034568565	0.134041662509779	0.297809848153836	0.164773977867283	0.299939849172131	0.0891385712446021	0.219743607185479	0.303760286687234	0.362655755810343
"N-Alpha-acetyllysine"	0.826005443797814	0.859710133930295	0.615874319413392	-0.169966875711868	-0.131434304921152	0.534167605386679	0.542521548930626	0.572110401715935	0.841672352590854	0.250268089793449	0.620647100626761	0.266958427167453	0.51546394082317	0.208424088378369	0.127893027148908	0.382057998455567	0.304845732772795	0.140171033603454	0.314154201411679	0.0755458881335861	0.111719176544166	0.128163263613365	0.146838055782901	0.462742481308155
"Acetylphosphate"	0.595331868281329	0.626223733522845	0.0594323533919602	0.769321457197718	0.355491480868223	0.415379359180092	0.407040193403433	0.430238013289161	-0.064861668866948	0.220826155608323	0.468216324357828	-0.0673597933801318	0.292142246952703	0.292166060973901	0.2248785543331	0.28480416859982	0.731932649660083	0.241097842324303	0.28180859179828	0.28519735731567	0.246602331784791	0.315282875470446	0.471056196766783	0.396942948023335
"cis-Aconitic acid"	0.320607152875794	0.0379607709766663	0.705970411348931	0.602738046453585	0.557569440706968	0.294611791331712	0.0151380955755462	0.239744589041323	0.435342492935679	0.23610593428258	0.405795889528268	0.0389377109640206	0.287932006859737	0.0591736061799544	0.209922964628809	0.223267985288738	0.18462790408679	0.208840921778061	0.0657452316633073	0.173322956829321	0.185045971470038	0.151545076280324	0.100052848712573	0.319341735156213
"ADP"	-1.00332570915973	-0.0732974442966073	-1.11885255261576	-0.729717248468339	-0.807248095415231	-1.12896652190256	-0.942567721243906	-0.0811062115005515	-0.607615646583648	0.0695227936327463	-0.473321087313099	0.0291373980512195	0.333718170774599	0.613526486620915	0.308001594609958	0.387679768343762	0.424121981271119	0.169659597504361	0.320486425794161	0.184204771236485	0.293955501839646	0.585801933269615	0.509701562910008	0.609173668902205
"ADP-glucose"	-0.575814038494875	-0.554198510514989	-0.766580986659343	-0.425169450238011	-0.861019376540906	-0.703183334794293	-0.498987425215799	-0.691423648911715	-0.832643252824852	-1.00989887369753	-0.669176466048242	-0.25848953388977	0.210616244886434	0.0694497652041043	0.103443161824404	0.188559986385505	0.320919085845274	0.137384806546829	0.0800735482774943	0.17924040178183	0.192448214409341	0.0675171780116489	0.145900458017111	0.430523085621059
"L-Alanine"	-0.795823751344303	0.340105978932682	0.65930083843462	-0.61507673688363	-0.90691814848292	0.776800929008475	-0.0779743932859234	0.108306557107249	0.665226902892081	-0.477249908049874	-0.0302671473567654	0.134713554604542	0.844960261410571	0.184644835423517	0.257573064484257	0.263298129186549	0.145057992608681	0.175849062527635	0.159743979449964	0.304021829435597	0.155615482574877	0.178319677909292	0.279530864989434	0.44606133543098
"Allantoic acid"	0.264970681582478	0.573849057945054	0.927085795994299	0.391084017757579	0.324224505042395	0.8293016135347	0.51653342652859	0.486399445319609	1.25894593737627	0.494125464817626	0.767516219786032	0.505833314455126	0.675803227120277	0.735117219825581	0.121128094313067	0.355183105984258	0.671075353779834	0.0936908987262932	0.146274314506173	0.242596481910374	0.0986132342720596	0.142872915856114	0.145904311824388	0.52435042407252
"Oxoglutaric acid"	0.853181355829891	0.393079405423475	0.28116588702201	1.02984366642924	0.994590893092955	0.843057474529081	0.594462349966781	0.42016484467292	0.393079405423475	1.27506185748619	1.13634825532109	0.0440581126047404	0.506989385178043	0.085367416597575	0.167694454640842	0.349874287096294	0.441218011794235	0.0769140563211209	0.135410190848424	0.172174914222711	0.0539910948825598	0.222102570211964	0.161049760697468	0.56177968726359
"Adenosine monophosphate"	0.515886454612795	-0.312042520533586	-0.271192568588664	1.08253491808976	0.283846952127612	-0.997888611230762	-0.504453789822655	-0.163302622660444	0.0791745016048663	1.81751314778545	-0.538589518439541	-0.173737282500494	0.248028269983295	0.319123891081158	0.406170342349918	0.886068624101027	0.866479896995222	0.475468477299608	0.817304867437618	0.500622154574008	0.639461603720949	0.652202871255161	0.44085901382556	0.559912652757432
"2-Aminobenzoic acid"	0.839221199706147	0.804984773792193	0.295786276096444	0.78159177004725	0.976679078998407	0.373675924587512	0.957037935009267	0.781434756303975	0.370630688585858	0.390482761462149	0.580761662786125	0.0604259814830309	0.389666410304621	0.278889552356699	0.0816318162442502	0.426509828029434	0.54792526241238	0.0639896805983972	0.159009613647747	0.267738073248117	0.0999960304672688	0.0407126492136428	0.114700436444579	0.370094415117224
"L-Arginine"	1.28620244862628	0.691612776509723	0.708097298852245	0.126090030622785	-0.047610507523108	0.647576751404388	0.213937815146244	-0.0670048028503577	0.66205924966141	0.276326457581778	0.567448039267791	0.0430774940193348	0.620783355378202	0.26399373013146	0.133597319397232	0.0672591049813858	0.555127006352985	0.0505432401448462	0.366685229918413	0.48191615028292	0.109697124403392	0.0500755190660184	0.0577254095181683	0.380499711537589
"Ascorbic acid"	-1.01229428402514	-0.85001663856703	-0.972613236895368	-0.878390917305753	-1.01245292697875	-0.906798049688909	-0.691721068424148	-0.660141272606213	-0.980434128986255	-1.17603827984467	-1.11533901930398	0.144972471851839	0.185183916060033	0.465553591516525	0.171588049800428	0.146792249179653	0.274955529872262	0.162617712357338	0.222925146416938	0.333277855361738	0.145267977878058	0.111988398462897	0.204905292488125	0.986230653869956
"L-Asparagine"	-0.91931090013366	0.801848460082759	0.673268521473917	-0.807310236003214	-0.974071350897107	0.391894789496539	0.24982670056524	0.428982546924998	0.437354963355518	-0.398142354866458	0.129097302018001	0.407524214098092	1.02007159474375	0.303626033397663	0.160445220682781	0.327950069556557	0.573134841179836	0.125338132497028	0.253500343696905	0.376580541984607	0.127356473677232	0.172016323005013	0.22529788336618	0.23345938006897
"CDP"	0.27954256467483	0.307138066408059	0.0359996054829974	0.289276458192808	-0.0845653307094021	0.116936329006594	0.377623395356996	0.53266219524837	-0.0483389025639794	-0.274632602054838	0.160351257677158	0.580295068550702	0.268883598689701	0.0886631646400473	0.132060894097624	0.105560559415492	0.40970191419382	0.175392554403951	0.102226035946636	0.431506627795975	0.245689350694163	0.0861959238088877	0.186264075799422	0.384793958586026
"Citicoline"	-0.312878208435637	-0.286024834176136	-0.549871552302618	-0.598343188714199	-0.240316271302582	-0.471111464911276	-0.217435071381905	-0.456502187429233	-0.631941939823291	-0.408531601658939	-0.428864096506432	-0.270892723697315	0.261652496035683	0.086278740866092	0.12850937259741	0.608129865947559	0.559429234688228	0.170675711979102	0.0994768650658324	0.222673699941534	0.239082012334642	0.522342103280758	0.181254864901379	0.252551307152187
"CDP-Ethanolamine"	-0.738789667719338	-1.16483031171097	-0.584169575140417	-0.74197403798675	-0.559920549062209	-0.392795013389641	-0.6257807507892	-1.27265977059439	-1.06611219022329	-1.0780792958864	-1.25517826743924	-0.222271099892584	0.169437670446346	0.0545725855264867	0.259019789127854	0.259622875716505	0.276958453572305	0.380657261567426	0.264209608178038	0.140844423696667	0.240049552316997	0.413326062441671	0.114646395133124	0.596150672242185
"Chlorpropamide"	0.892519244923397	0.616780479458519	0.503944273707103	0.2732923852144	-0.247830023174119	0.594634957057947	0.50302542024069	0.221878929701856	0.63434349548807	0.393840095219573	0.672875203577846	0.211034652631699	0.231836070328603	0.207795674788684	0.119556839509477	0.63208058064275	0.744167134790101	0.119983273738284	0.265651726767074	0.177626815279174	0.0772114056857229	0.0994976432178438	0.0819473181957431	0.356231240642604
"Citraconic acid"	0.512195153924778	0.403296984792562	0.0035409836992863	0.766595130511809	0.755545269911307	-0.222434134628562	0.800906810967936	0.68288099744976	0.123715323283567	0.0465373937934606	0.39454638723016	-0.320892942480161	0.486220845382199	0.190352761177723	0.148738701813103	0.501576580184018	0.591907759213505	0.316686323868364	0.326183000949391	0.562946821491471	0.101124770192529	0.183822877321535	0.136189886477984	0.427122026274166
"Isocitrate"	0.109510244216325	-0.130313341701299	0.264569526984728	-0.402125293282648	0.789844919633424	-1.41658424482479	-0.490542490636129	0.694862630591425	0.148361562003399	0.998857410874201	-0.145681680980713	-0.890727626659987	0.609467560925883	1.0548677014125	0.955029543490312	0.554478943646296	0.238002874832612	0.801440976972143	0.788884277783391	0.259216203610913	0.79141037498243	0.146964547504447	0.815304721747385	0.972565644654089
