"Metabolite"	"meanarea_EX_AL"	"meanarea_EX_ER"	"meanarea_SED_AL"	"meanarea_SED_ER"	"searea_EX_AL"	"searea_EX_ER"	"searea_SED_AL"	"searea_SED_ER"
"Acetoacetic acid"	-0.534763943003556	-1.5348726741753	-0.758957744254512	-1.53868453861095	1.27538070827058	0.179305216425399	0.791278391685371	0.205288767989844
"N-Acetyl-L-aspartic acid"	0.447516109033709	1.45134102919383	1.21715776052389	1.79729382912503	0.512287043344113	0.271397305085294	0.19838205288554	0.0863764116448398
"Acetyl-glycine"	-0.794586945853103	-2.375229452951	-0.832612638268391	-1.76843043707103	0.585589010434495	0.446984181716358	0.543860528270246	0.230212031694902
"N-Alpha-acetyllysine"	-1.02234390831958	-1.55547708666809	-1.41605199598586	-1.3698420757062	0.30260931982446	0.669488877056404	0.366587968315559	0.26721685806635
"Acetylphosphate"	0.261258860105289	-1.76232063209145	-1.27202094465012	-1.14530809291267	0.872176914453471	0.347920788802421	0.544009486283653	0.380938647376833
"cis-Aconitic acid"	-0.699386012888668	-1.1541607084498	-0.884421456546706	-1.29573871488283	0.707698272392609	0.199204610100582	0.433177217390451	0.193774975879627
"ADP"	0.326630650765816	2.32955159926596	1.76269204000855	2.51770621674122	0.927492413994424	0.447022417763145	0.569344928735289	0.233999981051612
"ADP-glucose"	1.98513628399887	2.01516766828867	1.81133975904595	2.04491142806675	0.476208249546663	0.161029601851386	0.408519181273051	0.199732559591208
"L-Alanine"	-0.730475920096815	0.296988478926246	-0.0958374088914783	0.346254835364286	0.415093672555569	0.130636717766242	0.412354775327689	0.115290196731051
"Allantoic acid"	-1.70883773461582	-1.84096669533031	-1.20331068493105	-2.74823754250425	0.317979993937004	0.260570220666421	0.237054996118022	0.677073576427924
"Oxoglutaric acid"	-2.01903888365933	-2.16117549167156	-2.05770904868229	-2.10067737170084	0.485748464853191	0.178571606560834	0.384250343339447	0.128204816690124
"Adenosine monophosphate"	-0.445423349938159	-0.24897579018455	0.295495507820369	-0.258857516985362	0.686284198880084	0.330887726274132	0.23109912026148	0.264811758738999
"2-Aminobenzoic acid"	-0.370005192140234	-2.75082944351848	-1.35881669003295	-2.36651173742279	1.37139008440913	0.466807723289425	0.952870215860479	0.410638653263772
"L-Arginine"	-0.567430157250829	-1.78677523136852	-1.18960197757319	-1.28729501659853	0.136084233774546	0.351806652904631	0.40925803402163	0.295814669146624
"Ascorbic acid"	1.6233510062881	2.7774260296752	2.30010100211844	3.09418431239736	1.48030522521447	1.18635561957305	1.31392737296358	1.09757241438874
"L-Asparagine"	-0.251562015790984	0.166613749208674	-0.253697895450851	0.058846190531067	0.454811378198416	0.218741337203553	0.416295168958062	0.165170518188495
"CDP"	-0.141369455485152	-0.573788915507338	0.0386054040784786	-1.61600849270294	0.608456547973262	0.727678572479775	0.73149872840338	0.483575742651731
"Citicoline"	1.52666021984354	1.21478241692285	1.31752658866738	1.13258634898246	0.450396833369778	0.129241990810018	0.175348331511265	0.194072076236698
"CDP-Ethanolamine"	1.70170812915231	2.60413584048679	2.06541220213635	2.95260982691091	0.793055525882429	0.1038361248874	0.529930178587464	0.105182510863977
"Chlorpropamide"	-1.56680453849749	-0.603074574423059	-2.21700918504712	-0.823793357012768	0.917876219124058	0.196365698106184	1.26564447550504	0.160894948061306
"Citraconic acid"	0.130750292184845	-1.47549084591891	-0.95684047564192	-1.30959414736897	1.0628397341402	0.141284926331331	0.869011101623546	0.205349926849438
"Isocitrate"	0.126023256297369	0.301424776616881	0.507588471845277	0.286041236219398	0.289307920304923	0.254260854988454	0.0408115261433167	0.241174978328268
