"Mouse"	"Time"	"cm3"
"15-02-M4"	"D7"	0
"15-02-M4"	"D21"	0.139
"15-02-M4"	"D35"	0.707
"15-02-M6"	"D7"	0
"15-02-M6"	"D21"	0.009
"15-02-M6"	"D35"	0.199
"15-02-M10"	"D7"	0
"15-02-M10"	"D21"	0.072
"15-02-M10"	"D35"	0.558
"15-02-M18"	"D7"	0
"15-02-M18"	"D21"	0.15
"15-02-M18"	"D35"	0.605
"15-02-M25"	"D7"	0
"15-02-M25"	"D21"	0.043
"15-02-M25"	"D35"	0.028
"15-02-M2"	"D7"	0
"15-02-M2"	"D21"	0.101
"15-02-M2"	"D35"	0.331
"15-02-M12"	"D7"	0.009
"15-02-M12"	"D21"	0.234
"15-02-M12"	"D35"	0.298
"15-02-M15"	"D7"	0
"15-02-M15"	"D21"	0.117
"15-02-M15"	"D35"	0.038
"15-02-M20"	"D7"	0
"15-02-M20"	"D21"	0.247
"15-02-M20"	"D35"	0.506
"15-02-M24"	"D7"	0.025
"15-02-M24"	"D21"	0.167
"15-02-M24"	"D35"	0.463
"15-02-M5"	"D7"	0
"15-02-M5"	"D21"	0.011
"15-02-M5"	"D35"	0.408
"15-02-M9"	"D7"	0
"15-02-M9"	"D21"	0.104
"15-02-M9"	"D35"	NA
"15-02-M14"	"D7"	0
"15-02-M14"	"D21"	0.127
"15-02-M14"	"D35"	NA
"15-02-M17"	"D7"	0
"15-02-M17"	"D21"	0.091
"15-02-M17"	"D35"	NA
"15-02-M26"	"D7"	0
"15-02-M26"	"D21"	0.017
"15-02-M26"	"D35"	0.171
"15-02-M1"	"D7"	0
"15-02-M1"	"D21"	0.166
"15-02-M1"	"D35"	0.513
"15-02-M8"	"D7"	0
"15-02-M8"	"D21"	0.114
"15-02-M8"	"D35"	0.233
"15-02-M13"	"D7"	0.009
"15-02-M13"	"D21"	0.055
"15-02-M13"	"D35"	0.124
"15-02-M19"	"D7"	0
"15-02-M19"	"D21"	0.25
"15-02-M19"	"D35"	0.481
"15-02-M21"	"D7"	0
"15-02-M21"	"D21"	0.101
"15-02-M21"	"D35"	0.447
"15-02-M23"	"D7"	0.009
"15-02-M23"	"D21"	0.061
"15-02-M23"	"D35"	0.083
"15-02-M3"	"D7"	0
"15-02-M3"	"D21"	0.141
"15-02-M3"	"D35"	0.58
"15-02-M7"	"D7"	0
"15-02-M7"	"D21"	0.019
"15-02-M7"	"D35"	0.159
"15-02-M11"	"D7"	0
"15-02-M11"	"D21"	0.138
"15-02-M11"	"D35"	0.266
"15-02-M16"	"D7"	0
"15-02-M16"	"D21"	0.141
"15-02-M16"	"D35"	0.245
"15-02-M22"	"D7"	0
"15-02-M22"	"D21"	0.056
"15-02-M22"	"D35"	0.285
"15-02-M27"	"D7"	0
"15-02-M27"	"D21"	0.033
"15-02-M27"	"D35"	0.068
