"mouseID"	"treatment"	"Pyruvate"	"Alanine.Sacrosine"	"Lactate"	"X2.Oxobutanoate"	"Acetoacetate"	"X3.Hydroxybutyric.acid"	"Serine"	"Glycerate"	"Uracil"	"Proline"	"Maleic.acid"	"Fumarate"	"X2.Keto.isovalerate"	"Acetyl.glycine"	"Valine.5.Aminopentanoic.acid"	"Succinate.Methylmalonic.acid"	"Threonine.Homoserine"	"Cysteine"	"Nicotinate"	"Taurine"	"Pyroglutamic.acid"	"Pipecolic.Acid"	"Citraconic.acid"	"Ketoleucine"	"Hydroxyproline.Aminolevulinate"	"N.Acetyl.L.alanine"	"Leucine.Isoleucine"	"Asparagine"	"Hydroxyisocaproic.acid"	"Ornithine"	"Malate"	"Homocysteine.Methylcysteine"	"Anthranilate"	"Acetylphosphate"	"Alpha.ketoglutarate"	"Glutamine"	"Lysine"	"X2.Oxo.4.methylthiobutanoate"	"Methionine"	"Ribose"	"X3.Methylphenylacetic.acid"	"Xanthine"	"Hydroxyphenylacetic.acid"	"X2.3.Dihydroxybenzoic.acid"	"Histidine"	"X2.Aminooctanoic.acid"	"Indole.3.carboxylic.acid"	"Phenylpyruvate"	"Phenylalanine"	"Phenyllactic.acid"	"Quinolinate"	"Phosphoenolpyruvate"	"Uric.acid"	"Dihydroxy.acetone.phosphate"	"Glyceraldehdye.3.phosphate"	"sn.Glycerol.3.phosphate"	"Aconitate"	"N.Acetyl.L.ornithine"	"Arginine"	"Acetyl.aspartate"	"Citrulline"	"Ascorbic.acid"	"N.Carbamoyl.L.aspartate"	"Allantoate"	"X2.Isopropylmalic.acid"	"Glucono._.lactone"	"Hydroxyphenylpyruvate"	"Glucose"	"X4.Pyridoxic.acid"	"X3.Phospho.serine"	"X3.Phosphoglycerate"	"N.Acetyl.glutamine"	"Acetyllysine"	"Kynurenic.acid"	"N.Acetyl.glutamate"	"Citrate.isocitrate"	"X2.Keto.D.gluconate"	"Erythrose.4.phosphate"	"Tryptophan"	"Xanthurenic.acid"	"Glucarate"	"Deoxyribose.phosphate"	"Pantothenate"	"Cystathionine"	"Deoxyuridine"	"Ribulose.5.phosphate"	"Ribose.5.phosphate"	"Pro.Asp..PD."	"Val.Asp..VD."	"Uridine"	"Leu.Asp..LD."	"Glucosamine.1.6.phosphate"	"Glucose.1.6.phosphate"	"Fructose.6.phosphate"	"Inosine"	"X6.Phospho.D.gluconate"	"Chlorpropamide"	"Pantetheine"	"Xanthosine"	"D.Sedoheptulose.1.7.phosphate"	"S.Methyl.5..thioadenosine"	"X4.Phosphopantothenate"	"N.Acetyl.glucosamine.1.6.phosphate"	"dCMP"	"Glutathione"	"dTMP"	"CMP"	"UMP"	"Cyclic.AMP"	"dAMP"	"Fructose.1.6.bisphosphate"	"Trehalose.Sucrose"	"AMP"	"IMP"	"GMP"	"Xanthosine.5.phosphate"	"Sedoheptoluse.bisphosphate"	"Riboflavin"	"S.Adenosyl.L.homocysteine"	"Octoluse.bisphosphate"	"CDP"	"UDP"	"Trehalose.6.Phosphate"	"ADP"	"GDP"	"CDP.ethanolamine"	"FMN"	"X5.Methyl.THF"	"UTP"	"CDP.choline"	"UDP.D.glucose"	"UDP.D.glucuronate"	"ADP.D.glucose"	"UDP.N.acetyl.glucosamine"	"Glutathione.disulfide"	"FAD"
"15-02-M23"	"Treatment"	17221170	62715984	10479264768	7317731	9172046	7067304	65270288	40894108	13698	153547920	492208160	326455872	16361509	11969254	418376928	536773952	162871936	401495	130998152	4083628288	1174322944	1193568	98347824	31000974	3339530	240305008	351703744	36268976	14615978	8753232	1889098112	234785	2517173	256807	164629584	197187136	34475272	2255317	258201424	971773	647817	1631981824	2945374	1904127	39087192	23601640	245131	9542391	959949184	8809531	254908	2272164	1506180	66119180	1007614	223361280	194901728	832604	6027239	295225120	13172447	187537	11296877	285850	5609495	2043152	5937868	11727414	12914812	10839	1791014	4216	2844698	684518	97935712	465373952	9237755	567192	111810432	94163	52167	4493144	1041585600	99731	2594426	49572056	7616129	1955999	721455	6077011	1339576	468122	114013960	49345544	2639	5702	396525280	7794550	20815796	32931432	166999	2534447	39648268	8103849	261661824	2742766	633817	102888	511707	2415139	13957962	606224	371479	358.5	10065	358.5	865840	340248	405084	6976	9913	40659	4106	740353	358.5	8052922	628439	11379	358.5	296045	21714028	3783733	638200	13522910	22385004	500590
"15-02-M26"	"Treatment"	21343210	127617024	13158148096	9951793	16417768	8087898	64771356	38216156	6003	236598512	1155641472	315886720	12144080	10602698	346954048	715990208	265562864	1003092	137301552	6419390976	460282464	1332044	97974288	28277882	5929446	292647744	328861248	34523468	21812594	3197794	4893135360	152129	915585	848987	176061648	193976256	34121828	986203	258428752	2052330	423483	1960744064	1791529	201647	55186088	28906650	258502	2460154	807646784	12818613	1690621	11691773	1152110336	516404928	7599694	464615008	255457696	36783	5984217	358712256	24381614	735681344	83902288	411426	2642097	158948	1027373	14013433	5386501	596845	25200448	358.5	1301323	1257354	88753592	1466992768	22192050	2166541	77156168	405598	1191627	21220984	1073150208	1792005	1761042	177423312	4768128	3199348	1825714	7788112	1517998	576580	311543488	118727640	2398	5087064	381395392	3489992	12932370	151439216	4603	1553107	71321312	7898894	299744064	8400661	8418533	918128	659074	4706818	513800704	987102	1745204	12309454	4334384	1126752	48634200	101203	443402	3005259	437339	15695941	10569	17276574	558744	9599843	2150268	102984	5332	674960	62734296	25681168	2845940	55216420	57007132	1037357
"15-02-M2"	"Control"	21939856	87769152	12080209920	3181191	14350338	2452497	63430508	41009000	10690	159563488	1323891840	562118848	7883475	36645528	334100000	657592000	177067648	1478362	184305152	6692401152	11202139	4900924	94552760	23859168	7412326	398120896	453552608	38174908	23470192	6335450	5695376384	465631	1119020	510139	135751056	177944448	30577598	759857	252745152	1586270	497535	2311075328	738000	75326	57524912	18113846	289481	1433473	911731456	7135151	13019942	1991127	1585728000	545322624	5881402	983838912	269856640	379187	8177456	330583168	13116515	1862197248	89514048	775206	3418606	331887	435318	33580720	4837800	762554	34616172	358.5	1850103	540968	68454616	2134470528	24215018	1412178	102085776	252708	2394245	19331508	701571776	24837	1467858	259762880	3797839	2736045	1880772	11292921	1320102	214538	228634176	71995832	7709	2919402	284412256	965684	9802017	152037040	178017	785629	101475320	11085869	241483504	10617390	9526627	851619	974105	6824415	289738016	248662	2622266	12101892	6547994	2582356	29476690	71701	631863	1666574	284135	8850704	10858	12146991	158072	10368328	1346131	160801	358.5	814034	70171208	20583686	2459962	53520276	42061556	537841
"15-02-M24"	"Treatment"	16750742	95074808	11870043136	5382964	15674594	5250100	63642796	46560344	7814	175675696	1077698944	616271168	8849057	37075908	341641568	546048704	223147808	1510029	178050528	6250131456	12542094	5647703	77001584	30419160	8823965	501129504	349985440	45530600	23338064	6248330	4560052736	499882	1291195	235435	204370880	167559648	28450690	1541732	167554016	1746766	995846	2635359488	4112917	158858	51508544	21958680	515455	3657652	883965760	11889718	4658452	1827821	1276034304	920167808	9904861	247834640	308558144	1241199	3508364	329100480	21163990	653617536	24965812	1244619	5717534	1527479	908219	9036567	6062510	322581	7492798	7019	675791	565765	47759508	2680264448	18563614	1196483	121069496	738505	2000879	13436413	801720960	514535	8128160	159578672	6140219	3523128	2444687	9173422	1197079	133151	284022880	51290084	2203	391083	345231968	2830505	11465725	91439800	562370	1132610	38779848	9379933	273272256	10295733	2768057	224348	758613	6774982	103574768	299897	3139708	375425	1791146	211321	11489018	158703	846999	552066	12281	2130198	17219	4637108	24077	7682964	292681	95161	358.5	760449	38595964	8184875	1443490	41033000	40467700	640172
"15-02-M6"	"Control"	35455224	119786176	13885468672	2769376	11805963	5677216	73866016	27146482	12630	145306848	1143216768	543032128	10579941	30747356	490208864	491693888	195347376	1044543	123963056	6699644416	8990495	4563510	21242324	19860020	4015184	299443776	599819008	49671844	17480972	9153897	4871374848	222002	2099222	388332	113072792	300434880	39088152	7259	525931104	1271734	576005	2363924224	2070861	119736	62258164	15816244	108975	2152510	1135145856	4663518	21493068	903399	1057695104	92745544	940228	425948320	165392944	594320	8847630	331581248	13065090	1548812800	24376080	569888	2728630	313163	357756	32790850	3814293	191361	26137692	358.5	2930539	218744	31946472	1818867712	11578279	615455	107615440	912206	2844723	8017150	347468096	507813	3486205	48595948	2369763	2281045	1633532	19840214	1244140	778222	192779456	46550756	4654	1594607	230378544	4379558	8400542	126100072	29467	827697	105251984	9128515	301801888	911852	1866063	318595	853822	1882432	91085320	50765	913255	346175	1187364	72756	9245196	482424	663990	1782952	55068	1962382	93261	3536536	15005	6535916	624899	169620	358.5	552207	32011216	8580301	1636116	32620994	30602848	242373
"15-02-M21"	"Treatment"	21154268	98116688	11764343808	17757998	9396208	8518728	55368812	39617576	18308	164562064	1012889984	301953952	8704016	11175492	312681920	583268992	223738496	775815	322321888	5445794304	435806848	1920687	94601576	26336698	6615134	210887680	330611232	34363688	19369776	6772231	4251885824	241176	440703	263646	99612216	163643424	29135204	258142	213165248	1205435	314374	2082851968	3310014	153675	47982724	12907585	296058	1147599	780689856	7214568	6529940	13840264	1277043200	386271328	2127816	451313280	246710704	400516	2462141	188560464	19100624	2252932608	43100628	841208	2914480	180775	363079	30091708	6077230	841231	39391844	358.5	770300	581955	43600300	3285449728	15658944	1787822	112943560	233375	7484353	16838990	657565120	907919	1709540	188209456	3205264	2590420	1980265	15637046	939552	256120	241002144	71587800	4306	1108521	324815776	1285370	30458274	116290336	65121	1892708	35847604	5178894	162604800	8656110	7295462	371706	593742	4636629	360548352	592079	2823546	3046342	8602325	2004134	37667528	149115	486636	2660883	188998	9455698	11117	11545085	867097	12902829	1227011	179230	358.5	438274	42533016	13568535	1940690	35590336	50486860	743013
"15-02-M3"	"Control"	23986012	92137016	12496131072	12872586	13158259	12056617	87817152	40258012	24643	200013504	1316771584	253229232	8697952	24990488	421289792	539491264	235032864	5485122	196762608	7136910848	21372798	3735430	85429992	22104516	9791739	447315904	480021024	44152116	14825778	4822642	5593758208	856396	777289	278224	48939084	219989856	49557124	636002	377358496	2727132	495557	2757678848	2976792	6173	65409064	20700208	316797	1118954	1086319360	6037481	14375176	2085816	925588800	664329856	5161651	650432448	165050608	312466	11127963	286238816	22003322	1598919808	35274576	2521773	1788867	184489	730365	36224764	4191915	1936069	5398498	358.5	2061030	469406	48506416	3407635456	26446416	752934	141584768	321175	8116326	20423172	470297280	627579	2414605	171980672	1948502	4819017	1459948	17291828	2114820	2002160	407011104	161957104	5678	6346831	172281456	664623	13126936	132988608	358.5	1269998	112535336	31451868	113323400	684095	2594304	60695	628147	9509941	614847040	225281	4893241	3596	340061	167258	75542208	483092	684078	7829868	363761	14033408	14317	3717922	1522077	9726602	2097476	144281	350334	702894	54656352	17011592	2752222	29116192	25071822	291803
"15-02-M4"	"Control"	44459280	49853068	9071789056	3568080	15894606	6721424	40655808	54364040	27145	125767976	749435072	407768064	17059686	30447050	273956320	574565184	127603368	167209	266007136	3218290432	10645724	2626470	101896696	30330168	6302130	196285536	219556224	17049948	27409230	2551722	3073540864	449545	1862358	146759	143751200	77202336	18374820	462583	115987216	1001291	1651200	1754739200	1796338	140799	22593640	13961387	574873	1507592	560803456	7488015	5826233	1985053	5907242	444292992	4494196	1055288192	166666912	109329	1203572	114076032	14276804	23338	23314994	760813	6435566	1250362	1007251	19464128	8986343	716618	6095064	5486	491902	722844	28439020	1684975872	6156636	685550	151751984	190511	3798673	5272881	456461696	45897	5206728	105551680	2400740	1820175	1159104	11182098	624487	13587	117617952	26116488	1449	1195262	245222736	332393	23192474	39460204	159706	734008	34555472	5799286	141915280	7510222	2628283	160346	305404	4196920	23756764	176287	1837039	2972476	592594	105250	1965249	240344	364532	32555	6972	156620	95848	1698301	358.5	5302639	143823	11596	358.5	167469	15062758	2377816	361109	16542588	13747381	288643
"15-02-M22"	"Treatment"	20746160	118498864	12274703360	6969456	13322991	5529465	80511536	65803568	11488	189629504	1145306368	348040992	6134960	36474488	349236288	457010592	255622416	2127496	233255616	6902002688	11105538	3210291	88110376	18950224	6574166	418407168	403847360	48827728	14922873	5706357	4748124672	461648	425953	199318	115681208	223004464	38784272	616384	223606672	1810106	290997	2379525376	2573900	21766	62356416	9853451	196853	1804957	921569856	3663808	6575612	18750886	702966976	114530024	418864	305032000	176596448	378963	5566158	333518592	22614846	1089810304	20331794	802621	1420818	1003620	672602	35149120	5353263	694748	66597248	358.5	4634490	319781	83551272	3090958080	16200191	1599905	100951520	1369955	18008958	7964055	4164637	972116	1537876	40246032	5531245	2897680	1947189	10052544	2052160	849005	276524832	124573264	1505	1974989	189234112	3962350	12251750	126901904	30947	1136044	80714448	9673677	220488816	10458333	8002730	132917	674403	7930290	272212608	620524	3617318	1387595	10235964	1057447	32307214	308159	821088	2640055	289862	10885562	28233	8564064	1063742	7681833	926736	190873	358.5	664591	47820392	9849370	1989102	29956830	42923956	384305
"15-02-M5"	"Control"	16293592	85958240	12010233856	12130227	7699295	8005594	52205368	46432720	8178	142203200	1294572800	363179584	6171431	41654808	334988480	483517376	185064368	2015260	189939104	6635418624	7798924	4023919	82844472	20534784	7912994	256395568	446192064	36967020	21919582	5793151	5648723456	538315	663605	177905	133898240	139074816	30917146	463132	214714320	1349196	219049	2283072768	1584398	398925	51374216	34207988	275242	622264	885371008	4380424	11792490	4073208	975779392	426883872	5209890	501976288	142789504	315152	6170144	342361920	17590938	1512767872	66910320	794304	1978317	228319	135671	23055382	3857254	457392	28884838	358.5	1045827	981303	59726064	3272990208	24988720	2696475	107300328	860413	16649889	19529630	1783223	41892	3181492	489983296	3304616	2594058	1990780	11102037	1468667	93439	287073760	69043960	1801	623840	190318864	1520145	6423992	662452	27575	588010	71233584	7458060	253015776	6216396	6948132	519169	972921	6257460	271853760	133641	3408759	3698190	7477432	873052	34619660	96953	913970	2352884	231332	11098244	18402	9447186	834470	8373364	1113391	174502	358.5	678476	61891948	17570646	2391360	41278540	47475048	514350
