"Metabolite"	"raw.p"	"r2"	"adjp"
"L-Alanine"	0	0.24	3.99982881654699e-05
"L-Serine"	0.004	0.123	0.0044199820695034
"Maleic acid"	0.001	0.175	0.000571695902900794
"Fumaric acid"	0	0.211	0.000135078169219251
"L-Homoserine"	0.004	0.129	0.00351874830527355
"Taurine"	0.006	0.117	0.00576057161259383
"Hydroxyproline"	0.006	0.114	0.00636457405114946
"L-Asparagine"	0.003	0.13	0.00344794212955018
"L-Malic acid"	0	0.179	0.00049071319446675
"Homocysteine"	0.004	0.127	0.00387694604739034
"2-Oxo-4-methylthiobutanoic acid"	0.008	0.108	0.00798709258346806
"L-Methionine"	0.002	0.139	0.00242289239270253
"D-Ribose"	0.043	0.065	0.0428564251820662
"Xanthine"	0.037	0.068	0.037228276437113
"2,3-Dihydroxybenzoic acid"	0.036	0.069	0.0363369844719234
"Dihydroxyacetone phosphate"	0.019	0.085	0.0192301436301
"Citrulline"	0.047	0.062	0.0469509105746843
"Allantoic acid"	0.013	0.095	0.0131758518031895
"4-Hydroxyphenylpyruvic acid"	0.031	0.073	0.0305948143925352
"D-Glucose"	0.012	0.098	0.0118432187283368
"Isocitrate"	0.019	0.086	0.0185759948073278
"2-Keto-L-gluconate"	0.049	0.061	0.049187867482328
"Pantothenic acid"	0	0.224	7.69919498372114e-05
"Deoxyuridine"	0	0.219	9.72689268802946e-05
"Uridine"	0	0.198	0.000229731391223867
"Xanthosine"	0.05	0.061	0.0495106251814639
"D-4'-Phosphopantothenate"	0.044	0.064	0.0443577080370563
"Adenosine monophosphate"	0.01	0.102	0.0101186268170447
"FAD"	0.008	0.108	0.00805126662819077
