"Class"	"comparison"	"contrast"	"diff"	"lwr"	"upr"	"p.adj"
"Lipids"	"Weight"	"ER-AL"	-0.280662909808102	-0.502042428370198	-0.0592833912460073	0.0131774872866841
"Lipids"	"Ex-Wt"	"SED:ER-SED:AL"	-0.499362707136224	-0.910523368787062	-0.0882020454853856	0.010126771728757
"Organic acids"	"Time"	"D35-D21"	-0.346832751185267	-0.556637727236482	-0.137027775134052	0.000331189720512715
"Organic acids"	"Time"	"D7-D35"	0.334119685001762	0.129967060892683	0.538272309110842	0.00038651115109678
"Organic acids"	"Ex-Time"	"SED:D35-EX:D21"	-0.444438479284569	-0.823840874543165	-0.0650360840259738	0.0110547920577648
"Organic acids"	"Ex-Time"	"SED:D35-SED:D21"	-0.386960171869916	-0.733934736467856	-0.0399856072719764	0.0186868994476366
"Organic acids"	"Ex-Time"	"EX:D7-SED:D35"	0.481603205660691	0.142255387010905	0.820951024310476	0.000784009607138203
"Organic acids"	"Wt-Time"	"ER:D35-ER:D21"	-0.471249628065819	-0.820883040470724	-0.121616215660915	0.0017721675800888
"Organic acids"	"Wt-Time"	"ER:D7-ER:D35"	0.465582513457289	0.125050231106227	0.806114795808351	0.00142601369992512
"Organic acids"	"Ex-Wt-Time"	"SED:ER:D35-SED:AL:D21"	-0.57147655989351	-1.12215606607816	-0.0207970537088575	0.0339437609709157
"Organic acids"	"Ex-Wt-Time"	"SED:ER:D35-EX:ER:D21"	-0.764000376081182	-1.34155791467361	-0.186442837488748	0.000992673440753267
"Organic acids"	"Ex-Wt-Time"	"EX:ER:D7-SED:ER:D35"	0.66808734913284	0.1374392991766	1.19873539908908	0.00238757086953489
"Organic acids"	"Ex-Wt-Time"	"SED:ER:D7-SED:ER:D35"	0.635265050762524	0.0195866459400748	1.25094345558497	0.0361298737676117
"Peptides"	"Exercise"	"SED-EX"	0.12167370129224	0.0297165187513075	0.213630883833172	0.00954568274957113
"Peptides"	"Weight"	"ER-AL"	-0.185539048250189	-0.277676362565202	-0.0934017339351762	8.22512224504246e-05
"Peptides"	"Time"	"D35-D21"	0.232417584029241	0.0973198703023349	0.367515297756148	0.000169679527206257
"Peptides"	"Time"	"D7-D21"	-0.162230870933743	-0.301527222260246	-0.0229345196072389	0.0174920414597336
"Peptides"	"Time"	"D7-D35"	-0.394648454962984	-0.526106503707035	-0.263190406218933	8.74889050095362e-12
"Peptides"	"Ex-Wt"	"EX:ER-EX:AL"	-0.251880077320844	-0.425482107612458	-0.0782780470292302	0.00113421516692735
"Peptides"	"Ex-Wt"	"EX:ER-SED:AL"	-0.28357817297837	-0.444597599916466	-0.122558746040273	3.81089844884164e-05
"Peptides"	"Ex-Time"	"EX:D35-EX:D21"	0.32465931570059	0.0804131085632806	0.5689055228379	0.0021475857679103
"Peptides"	"Ex-Time"	"SED:D35-EX:D21"	0.289056645280385	0.0448104381430754	0.533302852417695	0.00978498933749139
"Peptides"	"Ex-Time"	"EX:D7-SED:D21"	-0.343088356537616	-0.566458642111073	-0.119718070964159	0.000183074696729513
"Peptides"	"Ex-Time"	"EX:D7-EX:D35"	-0.522576937265294	-0.741037386227501	-0.304116488303086	2.00407579420414e-10
"Peptides"	"Ex-Time"	"SED:D7-EX:D35"	-0.285892544265517	-0.521856798029155	-0.0499282905018783	0.00741078745798307
"Peptides"	"Ex-Time"	"EX:D7-SED:D35"	-0.486974266845088	-0.705434715807296	-0.268513817882881	4.15643175433189e-09
"Peptides"	"Ex-Time"	"SED:D7-SED:D35"	-0.250289873845312	-0.48625412760895	-0.0143256200816731	0.0302025692723112
"Peptides"	"Ex-Time"	"SED:D7-EX:D7"	0.236684392999777	0.000720139236138256	0.472648646763415	0.0487912189409875
"Peptides"	"Wt-Time"	"ER:D21-AL:D21"	-0.24832898422225	-0.494198107599522	-0.00245986084497948	0.0461294079791622
"Peptides"	"Wt-Time"	"ER:D7-AL:D21"	-0.40513875034605	-0.645655788766678	-0.164621711925423	2.52205032076347e-05
"Peptides"	"Wt-Time"	"AL:D35-ER:D21"	0.402180654233024	0.168371370300061	0.635989938165987	1.52666569805948e-05
"Peptides"	"Wt-Time"	"ER:D35-ER:D21"	0.304026245182423	0.0789442848796489	0.529108205485197	0.0016902669401907
"Peptides"	"Wt-Time"	"AL:D7-AL:D35"	-0.314920041996776	-0.548729325929739	-0.0811107580638132	0.0017643355725464
"Peptides"	"Wt-Time"	"ER:D7-AL:D35"	-0.558990420356824	-0.787164917603047	-0.330815923110601	6.51679821217499e-11
"Peptides"	"Wt-Time"	"ER:D7-ER:D35"	-0.460836011306223	-0.680058977242872	-0.241613045369574	3.85695916316209e-08
"Peptides"	"Wt-Time"	"ER:D7-AL:D7"	-0.244070378360048	-0.477879662293011	-0.0102610944270853	0.0348565195079767
"Peptides"	"Ex-Wt-Time"	"EX:ER:D21-EX:AL:D21"	-0.7342655166263	-1.18258063573742	-0.285950397515183	6.33020104423565e-06
"Peptides"	"Ex-Wt-Time"	"EX:AL:D7-EX:AL:D21"	-0.518878122695977	-0.967193241807093	-0.0705630035848602	0.00866402070730421
"Peptides"	"Ex-Wt-Time"	"EX:ER:D7-EX:AL:D21"	-0.739251150277865	-1.16286911962012	-0.31563318093561	9.00852681895437e-07
"Peptides"	"Ex-Wt-Time"	"SED:ER:D7-EX:AL:D21"	-0.579808804493379	-1.0486679788073	-0.110949630179462	0.00316448153769744
"Peptides"	"Ex-Wt-Time"	"EX:ER:D21-SED:AL:D21"	-0.386527214977011	-0.758250474460777	-0.014803955493245	0.033161704710815
"Peptides"	"Ex-Wt-Time"	"EX:ER:D7-SED:AL:D21"	-0.391512848628576	-0.733044574193385	-0.0499811230637663	0.00990735285612521
"Peptides"	"Ex-Wt-Time"	"SED:ER:D21-EX:ER:D21"	0.482376423495228	0.0941241414443545	0.870628705546101	0.00293082551865154
"Peptides"	"Ex-Wt-Time"	"EX:AL:D35-EX:ER:D21"	0.602129602927954	0.213877320877081	0.990381884978828	2.8225143651639e-05
"Peptides"	"Ex-Wt-Time"	"SED:AL:D35-EX:ER:D21"	0.66656106869501	0.294837809211245	1.03828432817878	3.62185297753115e-07
"Peptides"	"Ex-Wt-Time"	"EX:ER:D35-EX:ER:D21"	0.611964495093102	0.252512728587842	0.971416261598362	1.98125697181695e-06
"Peptides"	"Ex-Wt-Time"	"SED:ER:D35-EX:ER:D21"	0.464575267304166	0.0928520078204	0.836298526787931	0.00265719114010299
"Peptides"	"Ex-Wt-Time"	"SED:AL:D7-EX:ER:D21"	0.459420346749557	0.0711680646986831	0.84767262880043	0.00628791837583187
"Peptides"	"Ex-Wt-Time"	"EX:ER:D7-SED:ER:D21"	-0.487362057146793	-0.846813823652053	-0.127910290641532	0.000602151741535328
"Peptides"	"Ex-Wt-Time"	"EX:ER:D7-EX:AL:D35"	-0.607115236579519	-0.96656700308478	-0.247663470074259	2.53341541356367e-06
"Peptides"	"Ex-Wt-Time"	"SED:ER:D7-EX:AL:D35"	-0.447672890795034	-0.859476622969021	-0.0358691586210468	0.0197749139738567
"Peptides"	"Ex-Wt-Time"	"EX:AL:D7-SED:AL:D35"	-0.451173674764687	-0.822896934248453	-0.0794504152809214	0.00426819741158824
"Peptides"	"Ex-Wt-Time"	"EX:ER:D7-SED:AL:D35"	-0.671546702346575	-1.01307842791138	-0.330014976781766	1.12915897743093e-08
"Peptides"	"Ex-Wt-Time"	"SED:ER:D7-SED:AL:D35"	-0.51210435656209	-0.908362682601996	-0.115846030522183	0.00148804674584979
"Peptides"	"Ex-Wt-Time"	"EX:AL:D7-EX:ER:D35"	-0.396577101162779	-0.756028867668039	-0.0371253346575184	0.0164502564633862
"Peptides"	"Ex-Wt-Time"	"EX:ER:D7-EX:ER:D35"	-0.616950128744667	-0.945083196828019	-0.288817060661315	6.57067952269941e-08
"Peptides"	"Ex-Wt-Time"	"SED:ER:D7-EX:ER:D35"	-0.457507782960182	-0.842277911424523	-0.0727376544958397	0.00585016544259365
"Peptides"	"Ex-Wt-Time"	"EX:ER:D7-SED:ER:D35"	-0.469560900955731	-0.81109262652054	-0.128029175390921	0.000455092607960395
"Peptides"	"Ex-Wt-Time"	"EX:ER:D7-SED:AL:D7"	-0.464405980401122	-0.823857746906382	-0.104954213895861	0.00149561479563554
"Phytochemical compounds"	"Time"	"D7-D21"	0.524779569810423	0.196815060907095	0.852744078713752	0.000575633063676029
"Phytochemical compounds"	"Time"	"D7-D35"	0.383479072527381	0.0739693546692549	0.692988790385507	0.010539406486015
"Phytochemical compounds"	"Ex-Time"	"EX:D7-EX:D21"	0.66165443921374	0.0859562786433047	1.23735259978418	0.0138495084313296
"Phytochemical compounds"	"Ex-Time"	"SED:D7-EX:D21"	0.614083203184603	0.00120570996478553	1.22696069640442	0.0492269797971069
"Phytochemical compounds"	"Wt-Time"	"AL:D7-ER:D21"	0.632824204669756	0.0687575089671856	1.19689090037233	0.0177954152691492
"Phytochemical compounds"	"Wt-Time"	"AL:D7-AL:D35"	0.576647451263972	0.0255495396029473	1.127745362925	0.0343006225573482
"Phytochemical compounds"	"Ex-Wt-Time"	"EX:AL:D7-SED:AL:D35"	0.984028443153723	0.106907318445277	1.86114956786217	0.0136172370766841
