"tissue.type"	"metabolite"	"Exercise"	"Weight"	"mean"	"sd"
"plasma"	"Acetoacetate"	"EX"	"AL"	0.325966872121382	0.902595784796217
"plasma"	"Acetoacetate"	"EX"	"ER"	0.420359705102964	1.14992705342953
"plasma"	"Acetoacetate"	"SED"	"AL"	0.535154696508486	0.874797809961008
"plasma"	"Acetoacetate"	"SED"	"ER"	0.151815950993667	0.478227270924113
"plasma"	"Acetyl-aspartate"	"EX"	"AL"	-0.51395050424447	0.399523582031767
"plasma"	"Acetyl-aspartate"	"EX"	"ER"	-0.285292109261208	0.515642295358775
"plasma"	"Acetyl-aspartate"	"SED"	"AL"	-0.625158963688848	0.307274780000924
"plasma"	"Acetyl-aspartate"	"SED"	"ER"	-0.293591340409748	0.553102924176948
"plasma"	"Acetyl-glycine"	"EX"	"AL"	0.526307241397805	0.540182824786333
"plasma"	"Acetyl-glycine"	"EX"	"ER"	0.389118651346658	0.7807131045972
"plasma"	"Acetyl-glycine"	"SED"	"AL"	0.69772412226557	0.494829359675687
"plasma"	"Acetyl-glycine"	"SED"	"ER"	0.304279660528757	0.68240046854905
"plasma"	"Acetyllysine"	"EX"	"AL"	0.752963785988224	0.710437951421929
"plasma"	"Acetyllysine"	"EX"	"ER"	0.0995912412167323	0.778602436457003
"plasma"	"Acetyllysine"	"SED"	"AL"	0.658547310029051	0.420777147232092
"plasma"	"Acetyllysine"	"SED"	"ER"	0.380403895020822	0.731231877620902
"plasma"	"Acetylphosphate"	"EX"	"AL"	0.396345562225768	0.58840018967527
"plasma"	"Acetylphosphate"	"EX"	"ER"	0.530019111525567	0.977747106287897
"plasma"	"Acetylphosphate"	"SED"	"AL"	0.248674060797085	0.65028113264472
"plasma"	"Acetylphosphate"	"SED"	"ER"	0.188015165596109	0.892260265431178
"plasma"	"Aconitate"	"EX"	"AL"	0.40359770261951	0.536432152906727
"plasma"	"Aconitate"	"EX"	"ER"	0.47733137200168	0.526159257369781
"plasma"	"Aconitate"	"SED"	"AL"	0.242718409984691	0.395013904863234
"plasma"	"Aconitate"	"SED"	"ER"	0.213801963370386	0.528132825171064
"plasma"	"ADP"	"EX"	"AL"	-0.833137203212865	0.849911800049218
"plasma"	"ADP"	"EX"	"ER"	-0.897211940509075	0.807319584524802
"plasma"	"ADP"	"SED"	"AL"	-0.520304103219102	0.696379449560104
"plasma"	"ADP"	"SED"	"ER"	-0.127579324915146	1.23482508567173
"plasma"	"ADP-D-glucose"	"EX"	"AL"	-0.644197742870466	0.323097374187602
"plasma"	"ADP-D-glucose"	"EX"	"ER"	-0.642292967259508	0.523926217334761
"plasma"	"ADP-D-glucose"	"SED"	"AL"	-0.6846669727352	0.395851837273937
"plasma"	"ADP-D-glucose"	"SED"	"ER"	-0.595761001891331	0.728817419846473
"plasma"	"Alanine-Sacrosine"	"EX"	"AL"	0.0259771824807408	1.33818613777885
"plasma"	"Alanine-Sacrosine"	"EX"	"ER"	-0.179080073554773	0.913072904223383
"plasma"	"Alanine-Sacrosine"	"SED"	"AL"	0.250078164327433	0.596997942855469
"plasma"	"Alanine-Sacrosine"	"SED"	"ER"	-0.0834702694237382	0.794331434584415
"plasma"	"Allantoate"	"EX"	"AL"	0.59090996628608	1.07110342460522
"plasma"	"Allantoate"	"EX"	"ER"	0.534937997066207	0.932363716816757
"plasma"	"Allantoate"	"SED"	"AL"	0.767925848754014	0.543334036371813
"plasma"	"Allantoate"	"SED"	"ER"	0.589938856328762	0.808695876927319
"plasma"	"Alpha-ketoglutarate"	"EX"	"AL"	0.526998033117687	0.743576185728339
"plasma"	"Alpha-ketoglutarate"	"EX"	"ER"	0.951750655377529	0.723333307255584
"plasma"	"Alpha-ketoglutarate"	"SED"	"AL"	0.461869250024252	0.303132399886572
"plasma"	"Alpha-ketoglutarate"	"SED"	"ER"	0.736422492145243	1.04932055525701
"plasma"	"AMP"	"EX"	"AL"	0.0221032206553768	0.770555502065264
"plasma"	"AMP"	"EX"	"ER"	0.10588204782374	2.01175876882774
