"metabolite"	"fStatEx"	"pvalEx"	"fStatWt"	"pvalWt"	"fStatTime"	"pvalTime"	"fStatEx_Wt"	"pvalEx_Wt"	"fStatEx_Time"	"pvalEx_Time"	"fStatWt_Time"	"pvalWt_Time"	"fStatEx_Wt_Time"	"pvalEx_Wt_Time"
"Pyruvate"	0.502	0.482	0.607	0.439	4.923	0.011	0.404	0.528	1.363	0.265	3.938	0.026	1.668	0.199
"Alanine-Sacrosine"	0.923	0.341	1.842	0.181	10.793	0	0.202	0.655	1.746	0.184	0.514	0.601	1.893	0.161
"Lactate"	2.007	0.163	0.182	0.671	0.597	0.554	0.221	0.64	0.638	0.532	1.522	0.228	1.535	0.225
"2-Oxobutanoate"	0.868	0.356	0.09	0.766	1.984	0.148	1.863	0.178	0.795	0.457	0.09	0.914	0.421	0.659
"Acetoacetate"	0.013	0.908	0.41	0.525	2.484	0.093	0.923	0.341	0.278	0.759	0.126	0.881	0.287	0.751
"3-Hydroxybutyric-acid"	0.569	0.454	1.008	0.32	3.758	0.03	0.878	0.353	0.294	0.746	0.008	0.992	0.436	0.649
"Serine"	3.084	0.085	0.286	0.595	4.962	0.011	0.32	0.574	1.237	0.299	0.885	0.419	2.154	0.126
"Glycerate"	0.313	0.579	0.868	0.356	0.084	0.92	0.666	0.418	0.486	0.618	1.773	0.18	0.688	0.507
"Uracil"	0.706	0.405	0.637	0.428	3.588	0.035	0.921	0.342	0.013	0.987	0.177	0.838	0.139	0.871
"Proline"	0.256	0.615	0.044	0.834	2.836	0.068	0.344	0.56	1.241	0.298	1.741	0.185	1.199	0.31
"Maleic-acid"	0.983	0.326	2.038	0.159	3.249	0.047	0.697	0.407	0.011	0.99	0.488	0.617	0.693	0.505
"Fumarate"	2.023	0.161	5.899	0.019	2.598	0.084	3.242	0.078	0.016	0.984	1.441	0.246	1.603	0.211
"2-Keto-isovalerate"	0.203	0.654	0.935	0.338	1.958	0.151	2.056	0.158	0.129	0.88	0.466	0.63	0.069	0.933
"Acetyl-glycine"	0.222	0.639	3.325	0.074	1.862	0.166	0.657	0.421	3.765	0.03	3.936	0.026	1.42	0.251
"Valine-5-Aminopentanoic-acid"	0.963	0.331	0.001	0.978	1.378	0.261	0.375	0.543	0.665	0.519	0.343	0.711	1.581	0.215
"Succinate-Methylmalonic-acid"	1.43	0.237	0.007	0.936	0.785	0.462	1.23	0.273	0.297	0.744	1.434	0.248	0.12	0.888
"Threonine-Homoserine"	2.403	0.127	1.204	0.278	3.332	0.043	0.303	0.584	1.109	0.337	0.261	0.771	1.726	0.188
"Cysteine"	0.055	0.815	1.216	0.275	0.597	0.554	1.08	0.303	0.135	0.874	2.723	0.075	0.505	0.607
"Nicotinate"	1.178	0.283	0.514	0.477	4.568	0.015	0.525	0.472	0.789	0.46	1.377	0.261	0.761	0.472
"Taurine"	3.014	0.088	1.992	0.164	5.368	0.008	0.871	0.355	0.231	0.794	1.387	0.259	2.607	0.083
"Pyroglutamic-acid"	0.349	0.557	0.067	0.797	0.007	0.993	0.061	0.806	0.766	0.47	1.171	0.318	0.189	0.828
"Pipecolic-Acid"	0.487	0.488	3.035	0.087	3.582	0.035	0.712	0.402	0.651	0.525	2.525	0.09	0.736	0.484
"Citraconic-acid"	0.095	0.76	0.743	0.393	4.09	0.022	1.454	0.233	0.1	0.905	0.196	0.823	0.245	0.784
"Ketoleucine"	0.221	0.64	0.031	0.862	2.654	0.08	0.876	0.354	0.2	0.819	0.288	0.751	0.193	0.825
"Hydroxyproline-Aminolevulinate"	4.024	0.05	9.502	0.003	2.65	0.08	0.361	0.551	0.288	0.751	0.211	0.811	1.436	0.247
"N-Acetyl-L-alanine"	1.328	0.254	0.029	0.866	5.906	0.005	0.609	0.439	2.643	0.081	0.28	0.757	2.894	0.064
"Leucine-Isoleucine"	1.164	0.286	0.532	0.469	3.149	0.051	0.009	0.924	2.981	0.059	1.171	0.318	2.653	0.08
"Asparagine"	4.031	0.05	2.876	0.096	6.163	0.004	0.165	0.686	1.443	0.246	1.108	0.338	1.801	0.175
"Hydroxyisocaproic-acid"	1.255	0.268	0.016	0.899	1.758	0.183	0.721	0.4	0.126	0.882	1.579	0.216	0.141	0.868
"Ornithine"	0.254	0.616	0.598	0.443	0.188	0.829	0.107	0.745	0.071	0.931	2.844	0.067	0.06	0.941
"Malate"	2.148	0.149	2.397	0.128	2.28	0.112	0.272	0.604	0.358	0.701	0.045	0.956	1.311	0.278
"Homocysteine-Methylcysteine"	0.28	0.599	0.893	0.349	3.121	0.052	0.2	0.657	0.509	0.604	0.135	0.874	1.51	0.231
"Anthranilate"	0.674	0.416	0.804	0.374	3.824	0.028	1.28	0.263	0.044	0.957	0.23	0.795	0.015	0.985
"Acetylphosphate"	1.508	0.225	0.028	0.868	1.721	0.189	0.164	0.687	0.287	0.752	0.124	0.884	0.255	0.776
"Alpha-ketoglutarate"	1.098	0.299	3.675	0.061	3.03	0.057	0.12	0.731	0.502	0.608	0.846	0.435	1.421	0.251
