"metabolite"	"comparison"	"contrast"	"diff"	"lwr"	"upr"	"p.adj"
"Pyruvate"	"Time"	"35-21"	-0.679374553084289	-1.2288453503312	-0.129903755837372	0.0118786737008957
"Pyruvate"	"Wt-Time"	"ER:35-ER:7"	-1.04197177972812	-1.94091480832561	-0.14302875113062	0.0143403210079044
"Pyruvate"	"Wt-Time"	"ER:35-AL:21"	-0.982011891733058	-1.93352105756904	-0.0305027258970701	0.0393724331510202
"Pyruvate"	"Wt-Time"	"ER:35-ER:21"	-1.09831765290355	-2.02128600255952	-0.17534930324757	0.0110652424929258
"Alanine-Sacrosine"	"Time"	"35-7"	1.06158886579533	0.49285125183527	1.63032647975538	0.00011148418193474
"Alanine-Sacrosine"	"Time"	"35-21"	0.739073897434939	0.154589705781544	1.32355808908833	0.00987876255669351
"Alanine-Sacrosine"	"Ex-Time"	"EX:35-EX:7"	1.41601438836616	0.463114897318151	2.36891387941416	0.000741569512447526
"Alanine-Sacrosine"	"Ex-Time"	"SED:35-EX:7"	1.10106510956471	0.14816561851671	2.05396460061272	0.0147778184684575
"Alanine-Sacrosine"	"Ex-Time"	"EX:35-EX:21"	1.15586841320784	0.0904943943536938	2.22124243206198	0.0261635869242552
"Alanine-Sacrosine"	"Wt-Time"	"AL:35-AL:7"	1.1256708575887	0.105821503985288	2.14552021119211	0.0225285342055156
"Alanine-Sacrosine"	"Wt-Time"	"AL:35-ER:7"	1.21602519101067	0.220754132432588	2.21129624958876	0.00842753660969031
"Alanine-Sacrosine"	"Wt-Time"	"ER:35-ER:7"	0.996976553452159	0.0407510505776983	1.95320205632662	0.0363383546862085
"Alanine-Sacrosine"	"Wt-Time"	"AL:35-ER:21"	1.12586233662614	0.106012983022725	2.14571169022955	0.0224947032273278
"Alanine-Sacrosine"	"Ex-Wt-Time"	"EX:ER:35-EX:ER:21"	1.68371907749139	0.103501261624702	3.26393689335809	0.0274201481151668
"3-Hydroxybutyric-acid"	"Time"	"35-7"	-0.574032324512379	-1.13000619620356	-0.0180584528211988	0.0415795794748235
"Serine"	"Time"	"35-7"	0.84055290706539	0.194273469804472	1.48683234432631	0.00776267676657971
"Serine"	"Ex-Time"	"EX:35-EX:7"	1.23254034673012	0.149722309511342	2.3153583839489	0.0170329532757733
"Serine"	"Ex-Time"	"SED:35-EX:7"	1.1669301329611	0.0841120957423169	2.24974817017988	0.0277025327501327
"Uracil"	"Time"	"35-21"	-0.508452182757743	-1.00142647639889	-0.015477889116593	0.041839192300258
"Fumarate"	"Weight"	"ER-AL"	0.480134195258892	0.0803154533043178	0.879952937213467	0.0195381071282162
"Fumarate"	"Ex-Wt"	"EX:ER-EX:AL"	0.854983094951283	0.0951015252595067	1.61486466464306	0.021669352256991
"Fumarate"	"Wt-Time"	"AL:35-ER:7"	-1.01758205062366	-2.02105848607995	-0.0141056151673702	0.0450641702475636
"Fumarate"	"Wt-Time"	"AL:35-ER:21"	-1.07191509264779	-2.10017245553991	-0.043657729755662	0.0363823405119049
"Fumarate"	"Ex-Wt-Time"	"EX:AL:35-EX:ER:7"	-1.6547321898769	-3.24797789660517	-0.0614864831486348	0.0352546581177637
"Fumarate"	"Ex-Wt-Time"	"EX:ER:35-EX:AL:35"	1.74092287511852	0.147677168390255	3.33416858184679	0.0211420857302926
"Acetyl-glycine"	"Ex-Time"	"EX:35-EX:21"	-0.834287467792254	-1.61851841648908	-0.0500565190954281	0.0308651569299161
"Acetyl-glycine"	"Wt-Time"	"ER:35-ER:7"	-0.705353803874502	-1.40923959423185	-0.00146801351715053	0.0492390370536426
"Acetyl-glycine"	"Wt-Time"	"ER:35-AL:35"	-0.778803819744594	-1.48268961010195	-0.0749180293872423	0.0220512124390497
"Acetyl-glycine"	"Ex-Wt-Time"	"EX:ER:35-EX:ER:7"	-1.07713224702595	-2.13899455804336	-0.0152699360085462	0.0439650082272603
"Acetyl-glycine"	"Ex-Wt-Time"	"EX:ER:35-EX:ER:21"	-1.28597445004058	-2.44918633145819	-0.12276256862298	0.0186602777545798
"Acetyl-glycine"	"Ex-Wt-Time"	"EX:ER:35-SED:AL:35"	-1.18287177771498	-2.28809311219472	-0.0776504432352469	0.0262113384363226
"Threonine-Homoserine"	"Time"	"35-7"	0.704562094110746	0.0418260785048645	1.36729810971663	0.0348031464267315
"Nicotinate"	"Time"	"21-7"	-0.69634083634354	-1.29580415111542	-0.0968775215716587	0.0191539056841035
"Nicotinate"	"Time"	"35-21"	0.584648459220944	0.00325402557202104	1.16604289286987	0.048451399920912
"Nicotinate"	"Wt-Time"	"AL:21-ER:7"	-1.0819396150235	-2.12550152924724	-0.0383777007997581	0.0379899260498162
"Taurine"	"Time"	"35-7"	0.546328437742921	0.00288218723633626	1.08977468824951	0.0485315339496472
"Taurine"	"Time"	"35-21"	0.708965990943382	0.15047340202747	1.26745857985929	0.00956086302986381
"Taurine"	"Wt-Time"	"AL:35-ER:21"	1.11482837905937	0.140331012095591	2.08932574602316	0.0162492568497706
"Taurine"	"Wt-Time"	"ER:35-ER:21"	1.0156951343102	0.0775725158388536	1.95381775278154	0.026632395058457
"Taurine"	"Ex-Wt-Time"	"SED:AL:35-EX:ER:21"	1.57384361465087	0.0123481999233443	3.1353390293784	0.0465964706709556
"Pipecolic-Acid"	"Wt-Time"	"ER:35-AL:7"	-0.774656849054288	-1.45024037199412	-0.0990733261144577	0.0158989364087235
"Citraconic-acid"	"Time"	"35-7"	-0.679898683812566	-1.35323912280436	-0.00655824482076994	0.0473320489377225
"Citraconic-acid"	"Time"	"35-21"	-0.699968548848185	-1.39195169279988	-0.00798540489649313	0.0468527537335962
"Hydroxyproline-Aminolevulinate"	"Weight"	"ER-AL"	-0.567451115262398	-0.939771732960294	-0.195130497564502	0.00351282633255456
"Hydroxyproline-Aminolevulinate"	"Ex-Wt"	"EX:ER-SED:AL"	-0.87045538435804	-1.52678700181196	-0.214123766904123	0.00487693972627445
"Hydroxyproline-Aminolevulinate"	"Wt-Time"	"AL:21-ER:7"	1.10294234312348	0.117934106940067	2.0879505793069	0.0198111386285131
"Hydroxyproline-Aminolevulinate"	"Wt-Time"	"AL:35-ER:7"	0.99820088346422	0.0637400213548164	1.93266174557362	0.0298312205596255
"N-Acetyl-L-alanine"	"Time"	"35-7"	0.436108457576567	0.106833453155899	0.765383461997235	0.00660485923878207
"N-Acetyl-L-alanine"	"Time"	"35-21"	0.361294387260377	0.0229027808912593	0.699685993629495	0.0338804653871909
"N-Acetyl-L-alanine"	"Ex-Time"	"SED:35-EX:7"	0.639453604569746	0.0877651344814622	1.19114207465803	0.0143430759223511
"N-Acetyl-L-alanine"	"Ex-Time"	"SED:35-SED:7"	0.725168058009105	0.12927640451852	1.32105971149969	0.00878807405298365
"N-Acetyl-L-alanine"	"Ex-Time"	"SED:35-SED:21"	0.614671943440827	0.0505844315062434	1.17875945537541	0.0252025793267212
"N-Acetyl-L-alanine"	"Ex-Wt-Time"	"SED:ER:35-EX:AL:7"	0.963423567597392	0.0173108487995841	1.9095362863952	0.0424375333967874
"N-Acetyl-L-alanine"	"Ex-Wt-Time"	"SED:ER:35-SED:ER:7"	1.20775246589512	0.199192918890884	2.21631201289935	0.00737609195560363
"Leucine-Isoleucine"	"Time"	"35-7"	0.499234526512758	0.0145420979907287	0.983926955034788	0.0421752435004895
"Leucine-Isoleucine"	"Ex-Time"	"SED:35-EX:7"	0.877136586559365	0.0650517918900576	1.68922138122867	0.0271796563519324
"Leucine-Isoleucine"	"Ex-Wt-Time"	"EX:AL:21-EX:AL:7"	1.77983359647372	0.10020213493789	3.45946505800956	0.0289726222388104
"Asparagine"	"Exercise"	"SED-EX"	0.454629760400147	0.000264592915454387	0.908994927884841	0.0498715752372423
"Asparagine"	"Time"	"35-7"	0.948042433427738	0.295108065290396	1.60097680156508	0.00270312604902923
"Asparagine"	"Ex-Time"	"SED:21-EX:7"	1.14598872456582	0.0274339656730591	2.26454348345858	0.0416714272227656
"Asparagine"	"Ex-Time"	"EX:35-EX:7"	1.36541367670862	0.271445541290866	2.45938181212637	0.00670231733694593
"Asparagine"	"Ex-Time"	"SED:35-EX:7"	1.29315467280284	0.19918653738509	2.38712280822059	0.011830481240176
"Homocysteine-Methylcysteine"	"Time"	"35-7"	0.45159537914569	0.00963498533904245	0.893555772952337	0.0442003903809638
"Anthranilate"	"Time"	"35-21"	-0.515679149937519	-1.02733182706063	-0.00402647281441082	0.0478345683484306
"Lysine"	"Weight"	"ER-AL"	-0.371750877658138	-0.665310510527196	-0.0781912447890797	0.0140718574722244
"Lysine"	"Ex-Wt"	"EX:ER-EX:AL"	-0.833872339088906	-1.39180154854059	-0.275943129637225	0.00124728104644811
"Lysine"	"Wt-Time"	"ER:7-AL:7"	-0.962202315518521	-1.71718156554031	-0.207223065496737	0.00531205327534101
"Lysine"	"Wt-Time"	"AL:21-ER:7"	0.805991182645397	0.0293523331105365	1.58263003218026	0.0376972579821475
"Lysine"	"Wt-Time"	"AL:35-ER:7"	0.79053030256271	0.0537459973918223	1.5273146077336	0.0287486993821385
"Lysine"	"Wt-Time"	"ER:35-ER:7"	0.722638094046966	0.0147586308094966	1.43051755728444	0.0428364677695554
"Lysine"	"Ex-Wt-Time"	"EX:ER:7-EX:AL:7"	-1.53225300166134	-2.70206465794055	-0.362441345382119	0.00221332028183252
