"metabolite"	"fStatEx"	"pvalEx"	"fStatWt"	"pvalWt"	"fStatInt"	"pvalInt"
"Pyruvate"	0.238	0.632	1.993	0.176	0.063	0.805
"Alanine-Sacrosine"	0.897	0.357	5.363	0.033	0.94	0.346
"Lactate"	0.043	0.839	2.291	0.149	0.095	0.761
"2-Oxobutanoate"	0.211	0.652	1.153	0.298	1.134	0.302
"Acetoacetate"	0.007	0.932	1.685	0.212	0.026	0.873
"3-Hydroxybutyric-acid"	0.073	0.791	3.617	0.074	0.462	0.506
"Serine"	0.174	0.682	1.02	0.327	0.037	0.849
"Glycerate"	0.693	0.417	1.804	0.197	0.535	0.474
"Uracil"	0.014	0.906	0.819	0.378	0.488	0.494
"Proline"	0.345	0.565	0.44	0.516	0.196	0.663
"Maleic-acid"	0.144	0.709	0.27	0.61	0.481	0.497
"Fumarate"	0.435	0.518	0.022	0.884	1.213	0.286
"2-Keto-isovalerate"	0.27	0.61	2.708	0.118	0.719	0.408
"Acetyl-glycine"	0.652	0.431	7	0.017	0.486	0.495
"Valine-5-Aminopentanoic-acid"	0.125	0.728	0.812	0.38	0.084	0.775
"Succinate-Methylmalonic-acid"	0.813	0.38	3.672	0.072	1.093	0.311
"Threonine-Homoserine"	0.125	0.728	2.315	0.147	0.001	0.973
"Cysteine"	0.188	0.67	0.272	0.609	0.346	0.564
"Nicotinate"	0.137	0.716	0.264	0.614	0.063	0.805
"Taurine"	0.138	0.714	1.782	0.2	0.101	0.755
"Pyroglutamic-acid"	0.539	0.473	3.248	0.089	0.22	0.645
"Pipecolic-Acid"	0.361	0.556	8.083	0.011	0.016	0.9
"Citraconic-acid"	0.319	0.58	1.841	0.193	0.9	0.356
"Ketoleucine"	0.275	0.607	2.727	0.117	0.266	0.613
"Hydroxyproline-Aminolevulinate"	0.319	0.579	4.985	0.039	7.795	0.013
"N-Acetyl-L-alanine"	0.131	0.722	2.609	0.125	0.043	0.838
"Leucine-Isoleucine"	0.265	0.613	1.716	0.208	0.168	0.687
"Asparagine"	0.057	0.815	1.2	0.289	0.026	0.875
"Hydroxyisocaproic-acid"	0.147	0.706	3.274	0.088	0.225	0.641
"Ornithine"	0.007	0.936	0.638	0.435	0.633	0.437
"Malate"	0.075	0.787	1.908	0.185	0.044	0.835
"Homocysteine-Methylcysteine"	0.022	0.883	5.697	0.029	0.053	0.821
"Anthranilate"	0.043	0.839	3.799	0.068	0.691	0.417
"Acetylphosphate"	0.422	0.525	2.226	0.154	4.049	0.06
"Alpha-ketoglutarate"	0.004	0.952	0.077	0.785	0.025	0.875
"Glutamine"	0.144	0.709	1.463	0.243	0.043	0.838
"Lysine"	0.393	0.539	0.415	0.528	0.001	0.973
"2-Oxo-4-methylthiobutanoate"	0	0.995	0.731	0.404	0	0.995
"Methionine"	0.001	0.976	0.603	0.448	0.579	0.457
"Ribose"	0.04	0.843	2.931	0.105	0.185	0.673
"3-Methylphenylacetic-acid"	0.031	0.862	2.845	0.11	0.207	0.655
"anthine"	0.083	0.777	1.534	0.232	0.018	0.895
"Hydroxyphenylacetic-acid"	0.66	0.428	1.485	0.24	0.956	0.342
"2-3-Dihydroxybenzoic-acid"	0.213	0.65	1.829	0.194	0.385	0.543
"Histidine"	0.407	0.532	1.297	0.27	0.124	0.729
"2-Aminooctanoic-acid"	0.032	0.859	1.899	0.186	0.187	0.671
"Indole-3-carboxylic-acid"	0.061	0.808	3.673	0.072	0.56	0.465
"Phenylpyruvate"	0.341	0.567	0.058	0.812	0.732	0.404
"Phenylalanine"	0.039	0.845	1.789	0.199	0	0.99
"Phenyllactic-acid"	0.547	0.47	1.868	0.19	0.41	0.53
"Quinolinate"	7.556	0.014	9.96	0.006	0.604	0.448
"Phosphoenolpyruvate"	0.883	0.361	0.606	0.447	0.001	0.972
"Uric-acid"	0.447	0.513	1.303	0.269	1.693	0.211
"Dihydroxy-acetone-phosphate"	0.13	0.723	0.265	0.613	0.225	0.641
"Glyceraldehdye-3-phosphate"	0.423	0.524	1.205	0.288	1.09	0.311
"sn-Glycerol-3-phosphate"	0.08	0.781	0.007	0.937	0.349	0.562
"Aconitate"	0.123	0.73	1.21	0.287	0.003	0.957
"N-Acetyl-L-ornithine"	1.833	0.194	2.637	0.123	0.537	0.474
"Arginine"	0	0.985	2.837	0.11	2.639	0.123
"Acetyl-aspartate"	3.656	0.073	8.518	0.01	0.646	0.433
"Citrulline"	0.495	0.491	1.563	0.228	5.16	0.036
"Ascorbic-acid"	0.115	0.739	0.56	0.465	0.02	0.89
"N-Carbamoyl-L-aspartate"	1.165	0.296	0.363	0.555	0.471	0.502
"Allantoate"	0.182	0.675	4.39	0.051	2.405	0.139
"2-Isopropylmalic-acid"	0.087	0.772	2.106	0.165	0.231	0.637
"Glucono-_-lactone"	0.411	0.53	1.652	0.216	0.251	0.623
"Hydroxyphenylpyruvate"	0.026	0.874	0.044	0.836	0.11	0.744
"Glucose"	1.081	0.313	14.547	0.001	1.432	0.248
"4-Pyridoxic-acid"	0.14	0.712	1.304	0.269	0.216	0.648
"3-Phospho-serine"	0.028	0.868	2.581	0.127	0.013	0.912
"3-Phosphoglycerate"	0.002	0.965	1.492	0.239	1.079	0.314
"N-Acetyl-glutamine"	0.873	0.363	2.903	0.107	0.169	0.687
"Acetyllysine"	0.03	0.865	0.219	0.645	0.449	0.512
"Kynurenic-acid"	0.024	0.878	0.942	0.345	1.361	0.259
"N-Acetyl-glutamate"	0.054	0.819	1.039	0.322	0.474	0.5
"Citrate-isocitrate"	0.642	0.434	0.06	0.809	0.836	0.373
"2-Keto-D-gluconate"	0.009	0.926	1.42	0.25	0.003	0.958
"Erythrose-4-phosphate"	0	0.99	1.497	0.238	0.072	0.791
"Tryptophan"	0.196	0.664	0.551	0.468	0.144	0.709
"anthurenic-acid"	0.001	0.972	0.822	0.377	0.384	0.544
"Glucarate"	2.708	0.118	0.015	0.902	0.709	0.411
"Deoxyribose-phosphate"	1.156	0.297	0.576	0.458	0.411	0.53
"Pantothenate"	0.142	0.711	0.05	0.825	0.207	0.655
"Cystathionine"	3.537	0.077	2.294	0.148	0.653	0.43
"Deoxyuridine"	0.011	0.917	0.032	0.86	0.161	0.693
"Ribulose-5-phosphate"	0.986	0.335	0.211	0.652	0.04	0.844
"Ribose-5-phosphate"	0.41	0.531	2.378	0.141	0.01	0.923
"Pro-Asp--PD-"	0.625	0.44	0.846	0.37	0.201	0.659
"Val-Asp--VD-"	0.001	0.98	0.749	0.399	0.443	0.515
"Uridine"	0.063	0.805	0.137	0.716	0.132	0.72
"Leu-Asp--LD-"	0.04	0.845	1.623	0.22	0.309	0.585
"Glucosamine-1-6-phosphate"	1.96	0.179	0.685	0.419	0.13	0.723
"Glucose-1-6-phosphate"	0.122	0.731	1.675	0.213	0.058	0.812
"Fructose-6-phosphate"	0.091	0.767	2.279	0.15	0.033	0.859
"Inosine"	0.026	0.875	0.778	0.39	1.094	0.31
"6-Phospho-D-gluconate"	0.036	0.852	6.113	0.024	0.203	0.658
"Chlorpropamide"	0.35	0.562	2.178	0.158	0.067	0.799
"Pantetheine"	0.055	0.817	7.155	0.016	0.209	0.653
"anthosine"	0.156	0.698	2.812	0.112	0.685	0.419
"D-Sedoheptulose-1-7-phosphate"	0.309	0.585	1.311	0.268	0.651	0.431
"S-Methyl-5--thioadenosine"	0.341	0.567	0.022	0.884	0.164	0.691
"4-Phosphopantothenate"	0.345	0.565	5.369	0.033	0.275	0.607
"N-Acetyl-glucosamine-1-6-phosphate"	0.142	0.711	0.917	0.352	0.128	0.725
"dCMP"	0.548	0.469	1.27	0.275	0	0.997
"Glutathione"	0.24	0.631	3.203	0.091	0.091	0.766
"dTMP"	0.151	0.702	2.577	0.127	3.961	0.063
"CMP"	0.162	0.692	1.436	0.247	1.535	0.232
"UMP"	0.033	0.859	1.306	0.269	0.428	0.522
"Cyclic-AMP"	0	0.999	3.191	0.092	0.311	0.584
"dAMP"	0.512	0.484	2.666	0.121	0.97	0.339
"Fructose-1-6-bisphosphate"	0.026	0.874	1.216	0.286	0.551	0.468
"Trehalose-Sucrose"	0.332	0.572	0.064	0.803	0.378	0.547
"AMP"	0.952	0.343	0.424	0.524	1.059	0.318
"IMP"	0.345	0.565	0.011	0.916	3.04	0.099
"GMP"	0.044	0.836	1.213	0.286	1.949	0.181
"anthosine-5-phosphate"	0.065	0.801	0.136	0.717	0.613	0.444
"Sedoheptoluse-bisphosphate"	0.058	0.812	0.98	0.336	0.097	0.759
"Riboflavin"	0.139	0.714	1.065	0.317	0.602	0.449
"S-Adenosyl-L-homocysteine"	3.16	0.093	1.251	0.279	0.973	0.338
"Octoluse-bisphosphate"	0.148	0.706	0.001	0.979	0.586	0.454
"CDP"	0.38	0.546	2.999	0.101	0.851	0.369
"UDP"	0.619	0.442	1.582	0.225	2.464	0.135
"Trehalose-6-Phosphate"	0.897	0.357	0.061	0.809	0.706	0.412
"ADP"	1.672	0.213	5.716	0.029	1.316	0.267
"GDP"	0.006	0.938	0	0.998	0.7	0.414
"CDP-ethanolamine"	0.495	0.491	4.292	0.054	0	0.986
"FMN"	0.007	0.933	0.254	0.62	0.101	0.754
"5-Methyl-THF"	0.172	0.683	0.016	0.902	1.533	0.232
"UTP"	0.057	0.814	4.316	0.053	0	0.984
"CDP-choline"	0.299	0.592	1.052	0.32	0.073	0.791
"UDP-D-glucose"	0.067	0.799	1.999	0.175	0.162	0.692
"UDP-D-glucuronate"	0.006	0.939	1.351	0.261	0.117	0.736
"ADP-D-glucose"	0.05	0.825	0.203	0.658	0.095	0.761
"UDP-N-acetyl-glucosamine"	0.353	0.56	3.176	0.093	0.641	0.435
"Glutathione-disulfide"	0	0.986	3.521	0.078	0.292	0.596
"FAD"	0.661	0.427	1.456	0.244	2.987	0.102
