"metabolite"	"comparison"	"contrast"	"diff"	"lwr"	"upr"	"p.adj"
"Alanine-Sacrosine"	"Weight"	"ER-AL"	0.689092272810813	0.060326859543601	1.31785768607802	0.0335562005584786
"Acetyl-glycine"	"Weight"	"ER-AL"	-1.20654398474971	-2.17012861564552	-0.242959353853899	0.0171304264502206
"Pipecolic-Acid"	"Weight"	"ER-AL"	-1.24945936144896	-2.17805749207307	-0.320861230824861	0.0113385997758249
"Hydroxyproline-Aminolevulinate"	"Weight"	"ER-AL"	-0.512214662361578	-0.996991309577328	-0.0274380151458279	0.0395768590808681
"Hydroxyproline-Aminolevulinate"	"Interaction"	"EX:ER-EX:AL"	-1.26028936034512	-2.26305528960892	-0.257523431081312	0.0113750731622538
"Homocysteine-Methylcysteine"	"Weight"	"ER-AL"	-0.934564087424146	-1.7618793092051	-0.107248865643194	0.0290905367417864
"Quinolinate"	"Exercise"	"SED-EX"	1.48402849739602	0.344999706520294	2.62305728827174	0.0137008078409432
"Quinolinate"	"Weight"	"ER-AL"	-1.68569943264121	-2.81432591621208	-0.557072949070332	0.00582809554032648
"Quinolinate"	"Interaction"	"EX:ER-SED:AL"	-3.04506790104093	-5.15242228069649	-0.937713521385365	0.00371034979245244
"Quinolinate"	"Interaction"	"SED:ER-SED:AL"	-2.04931430550638	-4.05859786879081	-0.0400307422219446	0.0447447328331129
"Acetyl-aspartate"	"Weight"	"ER-AL"	0.758124866024339	0.209242287360889	1.30700744468779	0.00966896568411513
"Acetyl-aspartate"	"Interaction"	"SED:ER-EX:AL"	1.34977772009132	0.257267652305879	2.44228778787676	0.0129019646299472
"Glucose"	"Weight"	"ER-AL"	-0.557605594489468	-0.866519457666022	-0.248691731312915	0.00140521301082996
"Glucose"	"Interaction"	"EX:ER-EX:AL"	-0.763178109382902	-1.40216989838475	-0.124186320381058	0.0164318208933099
"Glucose"	"Interaction"	"EX:ER-SED:AL"	-0.696995355221235	-1.27379467012101	-0.120196040321455	0.0151328440034715
"6-Phospho-D-gluconate"	"Weight"	"ER-AL"	-1.41449229074454	-2.62332863033916	-0.205655951149931	0.0244605972176543
"Pantetheine"	"Weight"	"ER-AL"	1.2906822208178	0.271078284577802	2.31028615705779	0.016129406483006
"4-Phosphopantothenate"	"Weight"	"ER-AL"	0.746113045259283	0.0657062760248692	1.4265198144937	0.0334679467332037
"ADP"	"Weight"	"ER-AL"	1.28214124906816	0.148989364479075	2.41529313365725	0.0288625111554189
